"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Psychotropic"	"group"
"667"	"Risperidone 500microgram tablets"	"Oral tablet"	"Oral"	"Risperidone"	"500microgram"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"80290"	"Lamictal 50mg tablets (Mawdsley-Brooks & Company Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"50mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"46447"	"Paliperidone 100mg/1ml prolonged-release suspension for injection pre-filled syringes"	"Prolonged-release suspension for injection"	"Intramuscular"	"Paliperidone"	"100mg/1ml"	"Antipsychotic Depot Injections"	"Paliperidone"	"Antipsychotics"
"3775"	"Zuclopenthixol decanoate 200mg/ml oily injection"	"Oily Injection"	"Intramuscular"	"Zuclopenthixol"	"200mg/ml"	"Antipsychotic Products/Antipsychotic Depot Injections"	"Zuclopenthixol"	"Antipsychotics"
"32551"	"Prochlorperazine 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Prochlorperazine"	"5mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"	"Antipsychotics"
"56734"	"Carbamazepine 100mg tablets (Phoenix Healthcare Distribution Ltd)"	"Oral tablet"	"Oral"	"Carbamazepine"	"100mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"10111"	"Lamictal 200mg tablets (GlaxoSmithKline UK Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"200mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"65773"	"Aripiprazole 30mg tablets (Zentiva Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Aripiprazole"	"30mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"47149"	"Haloperidol 1mg/5ml oral solution"	"Oral solution"	"Oral"	"Haloperidol"	"200microgram/1ml"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"9206"	"Manerix 150mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Moclobemide"	"150mg"	"Reversible Monoamine-Oxidase Inhibitors"	"Moclobemide"	"Antidepressants"
"17227"	"Chloractil 25mg Tablet (DDSA Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"25mg"	"Antipsychotic Products/-"	"Chlorpromazine"	"Antipsychotics"
"57616"	"Olanzapine 20mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"20mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"84091"	"Fluanxol 500microgram tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Flupentixol"	"500microgram"	"Other Antidepressants"	"Flupentixol"	"Antipsychotics"
"85606"	"Venlafaxine 75mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Venlafaxine"	"15mg/1ml"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"13145"	"Trifluoperazine 1mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Trifluoperazine"	"200microgram/1ml"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"	"Antipsychotics"
"34470"	"Trazodone 150mg tablets (Zentiva Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Trazodone"	"150mg"	"Tricyclic And Related Antidepressants"	"Trazodone"	"Antidepressants"
"33058"	"Epival CR 500mg tablets (G.L. Pharma UK Ltd)"	"Modified-release tablet"	"Oral"	"Valproate"	"500mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"66578"	"Amitriptyline 10mg tablets (Mawdsley-Brooks & Company Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"53649"	"Haloperidol 2mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Haloperidol"	"400microgram/1ml"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"87061"	"Duloxetine 60mg gastro-resistant capsules (HBS Healthcare Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"60mg"	"Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy"	"Duloxetine"	"Antidepressants"
"228"	"Fentazin 5mg/ml Injection (Goldshield Pharmaceuticals Ltd)"	"Injection"	"Intramuscular"	"Perphenazine"	"5mg/ml"	"Antipsychotic Products/-"	"Perphenazine"	"Antipsychotics"
"4992"	"Solian 200 tablets (Sanofi)"	"Oral tablet"	"Oral"	"Amisulpride"	"200mg"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"	"Antipsychotics"
"73868"	"Duloxetine 60mg gastro-resistant capsules (Aspire Pharma Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"60mg"	"Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy"	"Duloxetine"	"Antidepressants"
"873"	"AMITRIPTYLINE 100 MG TAB"	"Tablet"	"Oral"	"Amitriptyline"	NA	"Unknown"	"Amitriptyline"	"Antidepressants"
"40928"	"Droperidol 2.5mg/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Droperidol"	"2.5mg/1ml"	"Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Droperidol"	"Antipsychotics"
"70867"	"Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes"	"Prolonged-release suspension for injection"	"Intramuscular"	"Paliperidone"	"200mg/1ml"	"Antipsychotic Depot Injections"	"Paliperidone"	"Antipsychotics"
"1809"	"Imipramine 25mg tablets"	"Oral tablet"	"Oral"	"Imipramine"	"25mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Imipramine"	"Antidepressants"
"66749"	"Trazodone 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Trazodone"	"2mg/1ml"	"Tricyclic And Related Antidepressants"	"Trazodone"	"Antidepressants"
"18886"	"Convulex 500mg gastro-resistant capsules (G.L. Pharma UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"500mg"	"Prophylaxis Of Migraine/Control Of Epilepsy"	"Valproic"	"Mood Stabilisers"
"36633"	"Episenta 150mg modified-release capsules (Desitin Pharma Ltd)"	"Modified-release capsule"	"Oral"	"Valproate"	"150mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"252"	"Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd)"	"Oral solution"	"Oral"	"Fluoxetine"	"4mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"75423"	"Lamotrigine 50mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Lamotrigine"	"50mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"52516"	"Alventa XL 150mg capsules (Krka UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"34355"	"Imipramine 25mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Imipramine"	"25mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Imipramine"	"Antidepressants"
"45941"	"Tegretol Prolonged Release 200mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"63973"	"Lamotrigine 25mg dispersible tablets sugar free (Actavis UK Ltd)"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"25mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"2824"	"Tegretol retard 400mg Modified-release tablet (Novartis Pharmaceuticals UK Ltd)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400mg"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"5653"	"Olanzapine 7.5mg tablets"	"Oral tablet"	"Oral"	"Olanzapine"	"7.5mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"81144"	"Risperidone 2mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"2mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"3937"	"Trifluoperazine 15mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Trifluoperazine"	"15mg"	"Unknown"	"Trifluoperazine"	"Antipsychotics"
"84231"	"Duloxetine 40mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"40mg"	"Urinary Incontinence"	"Duloxetine"	"Antidepressants"
"12630"	"Loxapine 50mg capsules"	"Oral capsule"	"Oral"	"Loxapine"	"50mg"	"Unknown"	"Loxapine"	"Antipsychotics"
"89567"	"Aripiprazole 10mg tablets (Creo Pharma Ltd)"	"Oral tablet"	"Oral"	"Aripiprazole"	"10mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"57751"	"Tonpular XL 150mg capsules (Wockhardt UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"82295"	"Sodium valproate 200mg modified-release tablets (Ennogen Healthcare Ltd)"	"Modified-release tablet"	"Oral"	"Valproate"	"200mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"40048"	"ViePax XL 75mg tablets (Dexcel-Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"16407"	"Zyprexa 15mg Velotabs (Neon Healthcare Ltd)"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"15mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"71067"	"Lofepramine 70mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Lofepramine"	"70mg"	"Unknown"	"Lofepramine"	"Antidepressants"
"48397"	"Tegretol Prolonged Release 200mg tablets (DE Pharmaceuticals)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"88510"	"Escitalopram 10mg tablets (Bristol Laboratories Ltd)"	"Oral tablet"	"Oral"	"Escitalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Escitalopram"	"Antidepressants"
"28231"	"Levinan 6mg Tablet (Link Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Levomepromazine"	"6mg"	"Antipsychotic Products"	"Levomepromazine"	"Antipsychotics"
"79580"	"Lamotrigine 100mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Lamotrigine"	"100mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"70931"	"Venlasov XL 75mg capsules (Sovereign Medical Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
