"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"AD"
"Amitriptyline 25mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"5mg/1ml"	"34224"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"10mg/1ml"	"34251"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"34274"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Wockhardt UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"34401"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg Tablet (Regent Laboratories Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"34474"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"34503"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"34634"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"34731"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"34782"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg Tablet (Berk Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"34916"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg Tablet (Berk Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"40396"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg Tablet (Celltech Pharma Europe Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"41729"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"42078"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg Tablet (Crosspharma Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"42394"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"45233"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg Tablet (Sussex Pharmaceutical Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"45242"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"2mg/1ml"	"46801"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amitriptyline hydrochloride"	"2mg/1ml"	"46818"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"46970"	"0403010B6"	"amitriptyline"
"Amitriptyline oral solution"	"Oral Liquid"	"Oral"	"Amitriptyline Hydrochloride"	""	"48065"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"52867"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"54877"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"55139"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"55491"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Phoenix Healthcare Distribution Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"57107"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"57972"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"59161"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg/5ml oral solution sugar free (Wockhardt UK Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"10mg/1ml"	"59820"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Phoenix Healthcare Distribution Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"60355"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg/5ml oral solution sugar free (Wockhardt UK Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"5mg/1ml"	"60410"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"61835"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"2mg/1ml"	"64000"	"0403010B6"	"amitriptyline"
"Amitriptyline 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"1mg/1ml"	"64141"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"64330"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"64647"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Sandoz Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"65439"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"65879"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Crescent Pharma Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"65987"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"66572"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Mawdsley-Brooks & Company Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"66578"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Mawdsley-Brooks & Company Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"66579"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg/5ml oral solution sugar free (DE Pharmaceuticals)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"5mg/1ml"	"67127"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"69712"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"2mg/1ml"	"70300"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Arrow Generics Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"70991"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Arrow Generics Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"71042"	"0403010B6"	"amitriptyline"
"Limbitrol 10 Capsule (Roche Products Ltd)"	"Capsule"	"Oral"	"Amitriptyline Hydrochloride/Chlordiazepoxide"	""	"11963"	""	"amitriptyline_chlordiazepoxide"
"Limbitrol 5 Capsule (Roche Products Ltd)"	"Capsule"	"Oral"	"Amitriptyline Hydrochloride/Chlordiazepoxide"	""	"14534"	""	"amitriptyline_chlordiazepoxide"
"Amitriptyline 25mg / Chlordiazepoxide 10mg capsules"	"Capsules"	"Oral"	"Amitriptyline Hydrochloride/Chlordiazepoxide"	"25mg + 10mg"	"18342"	""	"amitriptyline_chlordiazepoxide"
"Amitriptyline 12.5mg / Chlordiazepoxide 5mg capsules"	"Capsules"	"Oral"	"Amitriptyline Hydrochloride/Chlordiazepoxide"	"12.5mg + 5mg"	"21081"	""	"amitriptyline_chlordiazepoxide"
"Amitriptyline 25mg / Perphenazine 2mg tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride/Perphenazine"	"25mg + 2mg"	"595"	""	"amitriptyline_perphenazine"
"Triptafen tablets (AMCo)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride/Perphenazine"	"25mg + 2mg"	"1208"	""	"amitriptyline_perphenazine"
"Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride/Perphenazine"	"10mg + 2mg"	"1453"	""	"amitriptyline_perphenazine"
"Amitriptyline 10mg / Perphenazine 2mg tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride/Perphenazine"	"10mg + 2mg"	"3490"	""	"amitriptyline_perphenazine"
"Perphenazine 2mg with Amitriptyline 25mg tablet"	"Tablets"	"Oral"	"Amitriptyline Hydrochloride/Perphenazine"	"2mg + 25mg"	"6894"	""	"amitriptyline_perphenazine"
"Perphenazine 2mg with Amitriptyline 10mg tablet"	"Tablets"	"Oral"	"Amitriptyline Hydrochloride/Perphenazine"	"2mg + 10mg"	"16323"	""	"amitriptyline_perphenazine"
"Triptafen-M tablets (Mercury Pharma Group Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride/Perphenazine"	"10mg + 2mg"	"38827"	""	"amitriptyline_perphenazine"
"Amoxapine 50mg tablets"	"Tablet"	"Oral"	"Amoxapine"	"50mg"	"3351"	"0403010C0"	"amoxapine"
"Amoxapine 100mg tablets"	"Tablet"	"Oral"	"Amoxapine"	"100mg"	"3652"	"0403010C0"	"amoxapine"
"Amoxapine 150mg tablets"	"Tablets"	"Oral"	"Amoxapine"	"150mg"	"4411"	"0403010C0"	"amoxapine"
"Asendis 50mg Tablet (Wyeth Pharmaceuticals)"	"Tablet"	"Oral"	"Amoxapine"	"50mg"	"14398"	"0403010C0"	"amoxapine"
"Asendis 25mg Tablet (Wyeth Pharmaceuticals)"	"Tablet"	"Oral"	"Amoxapine"	"25mg"	"15380"	"0403010C0"	"amoxapine"
"Amoxapine 25mg tablets"	"Tablets"	"Oral"	"Amoxapine"	"25mg"	"17319"	"0403010C0"	"amoxapine"
"Asendis 100mg Tablet (Wyeth Pharmaceuticals)"	"Tablet"	"Oral"	"Amoxapine"	"100mg"	"21357"	"0403010C0"	"amoxapine"
"Asendis 150mg Tablet (Wyeth Pharmaceuticals)"	"Tablet"	"Oral"	"Amoxapine"	"150mg"	"24723"	"0403010C0"	"amoxapine"
"Asendis 50mg tablets (Mercury Pharma Group Ltd)"	"Tablet"	"Oral"	"Amoxapine"	"50mg"	"55289"	"0403010C0"	"amoxapine"
"Citalopram 20mg tablets"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"67"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"476"	"0403030D0"	"citalopram"
"Cipramil 20mg tablets (Lundbeck Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"1712"	"0403030D0"	"citalopram"
"Cipramil 40mg tablets (Lundbeck Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"2408"	"0403030D0"	"citalopram"
"Cipramil 10mg tablets (Lundbeck Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"3861"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"4770"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Sandoz Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"26016"	"0403030D0"	"citalopram"
"Paxoran 20mg Tablet (Ranbaxy (UK) Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"29756"	"0403030D0"	"citalopram"
"Paxoran 10mg Tablet (Ranbaxy (UK) Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"32546"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"32848"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"33720"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"34356"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Zentiva)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"34413"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Mylan)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"34415"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Mylan)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"34436"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (Sandoz Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"34466"	"0403030D0"	"citalopram"
"Citalopram 10mg Tablet (Neo Laboratories Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"34498"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Sandoz Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"34499"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"34586"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (Mylan)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"34603"	"0403030D0"	"citalopram"
"Citalopram 20mg Tablet (Neo Laboratories Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"34722"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Zentiva)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"34822"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"34871"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"34966"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Niche Generics Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"34970"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"36746"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"41528"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"42660"	"0403030D0"	"citalopram"
"Citalopram 40mg Tablet (Neo Laboratories Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"43519"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (Niche Generics Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"45223"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Niche Generics Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"45286"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"45304"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (Zentiva)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"46926"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"46977"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"48026"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"49165"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Arrow Generics Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"52100"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"52354"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Kent Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"52408"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Bristol Laboratories Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"52607"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (PLIVA Pharma Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"52824"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"53394"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Bristol Laboratories Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"53787"	"0403030D0"	"citalopram"
"Citalopram 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Citalopram hydrobromide"	"2mg/1ml"	"54827"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"55033"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Arrow Generics Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"56009"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"56355"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Aurobindo Pharma Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"58476"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Ranbaxy (UK) Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"59193"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Aurobindo Pharma Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"59650"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"60568"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"60839"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"60888"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Rivopharm (UK) Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"63441"	"0403030D0"	"citalopram"
"Cipramil 20mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"63953"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"64423"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"67097"	"0403030D0"	"citalopram"
