"ProdCodeId"	"dmdid"	"Term.from.EMIS"	"ProductName"	"Formulation"	"RouteOfAdministration"	"DrugSubstanceName"	"SubstanceStrength"	"BNFChapter"	"DrugIssues"	"Statin"
"836841000033112"	4566311000001105	"Lipobay 300microgram tablets (Bayer Plc)"	"Lipobay 300microgram tablets"	"Tablet"	"Oral"	"Cerivastatin sodium"	"300.000microgram"	""	2000	"Other"
"1130141000033111"	320012008	"Pravastatin 10mg tablets"	"Pravastatin 10mg tablets"	"Tablet"	"Oral"	"Pravastatin sodium"	"10.000mg"	"2120000"	3000000	"Pravastatin"
"1130241000033116"	320013003	"Pravastatin 20mg tablets"	"Pravastatin 20mg tablets"	"Tablet"	"Oral"	"Pravastatin sodium"	"20.000mg"	"2120000"	4000000	"Pravastatin"
"1136541000033116"	320014009	"Pravastatin 40mg tablets"	"Pravastatin 40mg tablets"	"Tablet"	"Oral"	"Pravastatin sodium"	"40.000mg"	"2120000"	6000000	"Pravastatin"
"1336841000033110"	319996000	"Simvastatin 10mg tablets"	"Simvastatin 10mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"10.000mg"	"2120000"	10000000	"Simvastatin"
"1336941000033119"	319997009	"Simvastatin 20mg tablets"	"Simvastatin 20mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"20.000mg"	"2120000"	50000000	"Simvastatin"
"1337541000033111"	320000009	"Simvastatin 40mg tablets"	"Simvastatin 40mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"40.000mg"	"2120000"	80000000	"Simvastatin"
"1562241000033118"	859611000001107	"Zocor 40mg tablets (Organon Pharma (UK) Ltd)"	"Zocor 40mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"40.000mg"	"2120000"	30000	"Simvastatin"
"1562841000033119"	108111000001106	"Zocor 10mg tablets (Organon Pharma (UK) Ltd)"	"Zocor 10mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"10.000mg"	"2120000"	300000	"Simvastatin"
"1562941000033110"	776811000001104	"Zocor 20mg tablets (Organon Pharma (UK) Ltd)"	"Zocor 20mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"20.000mg"	"2120000"	100000	"Simvastatin"
"1916741000033116"	4538111000001103	"Lipobay 400microgram tablets (Bayer Plc)"	"Lipobay 400microgram tablets"	"Tablet"	"Oral"	"Cerivastatin sodium"	"400.000microgram"	""	1000	"Other"
"1916841000033114"	320041004	"Cerivastatin 400microgram tablets"	"Cerivastatin 400microgram tablets"	"Tablet"	"Oral"	"Cerivastatin sodium"	"400.000microgram"	""	60000	"Other"
"2066241000033118"	320006003	"Simvastatin 80mg tablets"	"Simvastatin 80mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"80.000mg"	"2120000"	2000000	"Simvastatin"
"2066341000033111"	113211000001106	"Zocor 80mg tablets (Organon Pharma (UK) Ltd)"	"Zocor 80mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"80.000mg"	"2120000"	3000	"Simvastatin"
"2189041000033110"	36566411000001104	"Fluvastatin 80mg modified-release tablets"	"Fluvastatin 80mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Fluvastatin sodium"	"80.000mg"	"2120000"	200000	"fluvastatin"
"2189141000033114"	378111000001106	"Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Lescol XL 80mg tablets"	"Modified-release tablet"	"Oral"	"Fluvastatin sodium"	"80.000mg"	"2120000"	7000	"fluvastatin"
"2261041000033114"	39733211000001104	"Atorvastatin 80mg tablets"	"Atorvastatin 80mg tablets"	"Tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"80.000mg"	"2120000"	10000000	"Atorvastatin"
"2261141000033113"	756111000001109	"Lipitor 80mg tablets (Viatris UK Healthcare Ltd)"	"Lipitor 80mg tablets"	"Tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"80.000mg"	"2120000"	20000	"Atorvastatin"
"2290041000033115"	134491009	"Cerivastatin 800microgram tablets"	"Cerivastatin 800microgram tablets"	"Tablet"	"Oral"	"Cerivastatin sodium"	"800.000microgram"	""	100	"Other"
"2290141000033116"	4568511000001103	"Lipobay 800microgram tablets (Bayer Plc)"	"Lipobay 800microgram tablets"	"Tablet"	"Oral"	"Cerivastatin sodium"	"800.000microgram"	""	1	"Other"
"2891541000033111"	408036003	"Rosuvastatin 10mg tablets"	"Rosuvastatin 10mg tablets"	"Tablet"	"Oral"	"Rosuvastatin calcium"	"10.000mg"	"2120000"	4000000	"Rosuvastatin"
"2891641000033112"	408037007	"Rosuvastatin 20mg tablets"	"Rosuvastatin 20mg tablets"	"Tablet"	"Oral"	"Rosuvastatin calcium"	"20.000mg"	"2120000"	2000000	"Rosuvastatin"
"2891741000033115"	408024009	"Rosuvastatin 40mg tablets"	"Rosuvastatin 40mg tablets"	"Tablet"	"Oral"	"Rosuvastatin calcium"	"40.000mg"	"2120000"	400000	"Rosuvastatin"
"2891841000033113"	4171011000001104	"Crestor 10mg tablets (AstraZeneca UK Ltd)"	"Crestor 10mg tablets"	"Tablet"	"Oral"	"Rosuvastatin calcium"	"10.000mg"	"2120000"	100000	"Rosuvastatin"
"2891941000033117"	4171311000001101	"Crestor 20mg tablets (AstraZeneca UK Ltd)"	"Crestor 20mg tablets"	"Tablet"	"Oral"	"Rosuvastatin calcium"	"20.000mg"	"2120000"	20000	"Rosuvastatin"
"2892041000033111"	4172111000001108	"Crestor 40mg tablets (AstraZeneca UK Ltd)"	"Crestor 40mg tablets"	"Tablet"	"Oral"	"Rosuvastatin calcium"	"40.000mg"	"2120000"	4000	"Rosuvastatin"
"2973941000033116"	4896211000001101	"Simvador 10mg tablets (Dexcel-Pharma Ltd)"	"Simvador 10mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"10.000mg"	"2120000"	100000	"Simvastatin"
"2974041000033119"	4896511000001103	"Simvador 20mg tablets (Dexcel-Pharma Ltd)"	"Simvador 20mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"20.000mg"	"2120000"	600000	"Simvastatin"
"2974141000033115"	4896711000001108	"Simvador 40mg tablets (Dexcel-Pharma Ltd)"	"Simvador 40mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"40.000mg"	"2120000"	1000000	"Simvastatin"
"3140841000033113"	7630211000001106	"Ranzolont 10mg tablets (Ranbaxy (UK) Ltd)"	"Ranzolont 10mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"10.000mg"	""	3	"Simvastatin"
"3140941000033117"	7631911000001109	"Ranzolont 20mg tablets (Ranbaxy (UK) Ltd)"	"Ranzolont 20mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"20.000mg"	""	4	"Simvastatin"
"3141041000033110"	7632811000001108	"Ranzolont 40mg tablets (Ranbaxy (UK) Ltd)"	"Ranzolont 40mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"40.000mg"	""	30	"Simvastatin"
"3292441000033116"	414177002	"Simvastatin 20mg / Ezetimibe 10mg tablets"	"Simvastatin 20mg / Ezetimibe 10mg tablets"	"Tablet"	"Oral"	"Ezetimibe/ Simvastatin"	"10.000mg + 20.000mg"	"2120000"	80000	"Other"
"3292541000033115"	414178007	"Simvastatin 40mg / Ezetimibe 10mg tablets"	"Simvastatin 40mg / Ezetimibe 10mg tablets"	"Tablet"	"Oral"	"Ezetimibe/ Simvastatin"	"10.000mg + 40.000mg"	"2120000"	200000	"Other"
"3292641000033119"	414179004	"Simvastatin 80mg / Ezetimibe 10mg tablets"	"Simvastatin 80mg / Ezetimibe 10mg tablets"	"Tablet"	"Oral"	"Ezetimibe/ Simvastatin"	"10.000mg + 80.000mg"	"2120000"	30000	"Other"
"3292741000033111"	9309911000001100	"Inegy 10mg/20mg tablets (Organon Pharma (UK) Ltd)"	"Inegy 10mg/20mg tablets"	"Tablet"	"Oral"	"Ezetimibe/ Simvastatin"	"10.000mg + 20.000mg"	"2120000"	8000	"Other"
"3292841000033118"	9310311000001108	"Inegy 10mg/40mg tablets (Organon Pharma (UK) Ltd)"	"Inegy 10mg/40mg tablets"	"Tablet"	"Oral"	"Ezetimibe/ Simvastatin"	"10.000mg + 40.000mg"	"2120000"	10000	"Other"
"3292941000033114"	9310611000001104	"Inegy 10mg/80mg tablets (Organon Pharma (UK) Ltd)"	"Inegy 10mg/80mg tablets"	"Tablet"	"Oral"	"Ezetimibe/ Simvastatin"	"10.000mg + 80.000mg"	"2120000"	2000	"Other"
"3304141000033110"	8722111000001104	"Simvastatin 20mg/5ml oral suspension"	"Simvastatin 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Simvastatin"	"4.000mg/1.000ml"	""	10000	"Simvastatin"
"3836041000033114"	409108001	"Rosuvastatin 5mg tablets"	"Rosuvastatin 5mg tablets"	"Tablet"	"Oral"	"Rosuvastatin calcium"	"5.000mg"	""	2000000	"Rosuvastatin"
"3836141000033113"	9747511000001108	"Crestor 5mg tablets (AstraZeneca UK Ltd)"	"Crestor 5mg tablets"	"Tablet"	"Oral"	"Rosuvastatin calcium"	"5.000mg"	""	30000	"Rosuvastatin"
"3868741000033118"	14018311000001108	"Atorvastatin 20mg/5ml oral suspension"	"Atorvastatin 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Atorvastatin calcium trihydrate"	"4.000mg/1.000ml"	""	3000	"Atorvastatin"
"4152341000033115"	13894411000001106	"Simvastatin 40mg/5ml oral suspension"	"Simvastatin 40mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Simvastatin"	"8.000mg/1.000ml"	""	7000	"Simvastatin"
"4941641000033116"	15158611000001106	"Simvador 80mg tablets (Dexcel-Pharma Ltd)"	"Simvador 80mg tablets"	"Tablet"	"Oral"	"Simvastatin"	"80.000mg"	"2120000"	4000	"Simvastatin"
"5007141000033112"	15364211000001102	"Luvinsta XL 80mg tablets (Actavis UK Ltd)"	"Luvinsta XL 80mg tablets"	"Modified-release tablet"	"Oral"	"Fluvastatin sodium"	"80.000mg"	""	30	"fluvastatin"
"5711041000033117"	15534511000001108	"Pravastatin 40mg/5ml oral suspension"	"Pravastatin 40mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Pravastatin sodium"	"8.000mg/1.000ml"	""	200	"Pravastatin"
"5817741000033114"	17369311000001104	"Simvastatin 20mg/5ml oral suspension sugar free"	"Simvastatin 20mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Simvastatin"	"4.000mg/1.000ml"	""	10000	"Simvastatin"
"5817841000033116"	17429811000001102	"Simvastatin 40mg/5ml oral suspension sugar free"	"Simvastatin 40mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Simvastatin"	"8.000mg/1.000ml"	""	20000	"Simvastatin"
"5888441000033115"	13894211000001108	"Simvastatin 20mg/5ml oral solution"	"Simvastatin 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Simvastatin"	"4.000mg/1.000ml"	""	5	"Simvastatin"
"5888541000033119"	13894311000001104	"Simvastatin 40mg/5ml oral solution"	"Simvastatin 40mg/5ml oral solution"	"Oral solution"	"Oral"	"Simvastatin"	"8.000mg/1.000ml"	""	100	"Simvastatin"
"5897741000033110"	14158711000001108	"Atorvastatin 10mg/5ml oral suspension"	"Atorvastatin 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Atorvastatin calcium trihydrate"	"2.000mg/1.000ml"	""	200	"Atorvastatin"
"5897841000033117"	14158611000001100	"Atorvastatin 10mg/5ml oral solution"	"Atorvastatin 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Atorvastatin calcium trihydrate"	"2.000mg/1.000ml"	""	600	"Atorvastatin"
"5990541000033112"	14018211000001100	"Atorvastatin 20mg/5ml oral solution"	"Atorvastatin 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Atorvastatin calcium trihydrate"	"4.000mg/1.000ml"	""	900	"Atorvastatin"
"6468641000033113"	19722411000001104	"Atorvastatin 10mg chewable tablets sugar free"	"Atorvastatin 10mg chewable tablets sugar free"	"Chewable tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"10.000mg"	"2120000"	10000	"Atorvastatin"
"6468841000033114"	19722511000001104	"Atorvastatin 20mg chewable tablets sugar free"	"Atorvastatin 20mg chewable tablets sugar free"	"Chewable tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"20.000mg"	"2120000"	30000	"Atorvastatin"
"6469041000033110"	19719311000001104	"Lipitor 10mg chewable tablets (Viatris UK Healthcare Ltd)"	"Lipitor 10mg chewable tablets"	"Chewable tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"10.000mg"	"2120000"	1000	"Atorvastatin"
"6469141000033114"	19719611000001108	"Lipitor 20mg chewable tablets (Viatris UK Healthcare Ltd)"	"Lipitor 20mg chewable tablets"	"Chewable tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"20.000mg"	"2120000"	1000	"Atorvastatin"
"7861441000033110"	20528511000001104	"Atorvastatin 30mg tablets"	"Atorvastatin 30mg tablets"	"Tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"30.000mg"	""	10000	"Atorvastatin"
"7861541000033111"	20528611000001104	"Atorvastatin 60mg tablets"	"Atorvastatin 60mg tablets"	"Tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"60.000mg"	""	20000	"Atorvastatin"
"8493841000033111"	14957711000001104	"Pravastatin 5mg/5ml oral solution"	"Pravastatin 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Pravastatin sodium"	"1.000mg/1.000ml"	""	20	"Pravastatin"
"10618641000033118"	14957811000001102	"Pravastatin 5mg/5ml oral suspension"	"Pravastatin 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Pravastatin sodium"	"1.000mg/1.000ml"	""	40	"Pravastatin"
"11241741000033119"	32234211000001100	"Fenofibrate 145mg / Simvastatin 20mg tablets"	"Fenofibrate 145mg / Simvastatin 20mg tablets"	"Tablet"	"Oral"	"Fenofibrate/ Simvastatin"	"145.000mg + 20.000mg"	"2120000"	80	"Other"
"11241841000033112"	32234311000001108	"Fenofibrate 145mg / Simvastatin 40mg tablets"	"Fenofibrate 145mg / Simvastatin 40mg tablets"	"Tablet"	"Oral"	"Fenofibrate/ Simvastatin"	"145.000mg + 40.000mg"	"2120000"	50	"Other"
"11241941000033116"	32170911000001100	"Cholib 145mg/20mg tablets (Viatris UK Healthcare Ltd)"	"Cholib 145mg/20mg tablets"	"Tablet"	"Oral"	"Fenofibrate/ Simvastatin"	"145.000mg + 20.000mg"	"2120000"	5	"Other"
"13860741000033115"	39832611000001104	"Rosuvastatin 5mg capsules"	"Rosuvastatin 5mg capsules"	"Capsule"	"Oral"	"Rosuvastatin calcium"	"5.000mg"	""	200	"Rosuvastatin"
"13860841000033113"	39832311000001104	"Rosuvastatin 10mg capsules"	"Rosuvastatin 10mg capsules"	"Capsule"	"Oral"	"Rosuvastatin calcium"	"10.000mg"	""	100	"Rosuvastatin"
"13860941000033117"	39832411000001104	"Rosuvastatin 20mg capsules"	"Rosuvastatin 20mg capsules"	"Capsule"	"Oral"	"Rosuvastatin calcium"	"20.000mg"	""	100	"Rosuvastatin"
"13861041000033110"	39832511000001104	"Rosuvastatin 40mg capsules"	"Rosuvastatin 40mg capsules"	"Capsule"	"Oral"	"Rosuvastatin calcium"	"40.000mg"	""	40	"Rosuvastatin"
