"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"12680"	"8CR4.00"	4797	0	1	0	"hypertension clinical management plan"	"February 2009"
"73293"	"G240z00"	10	0	0	0	"secondary malignant hypertension nos"	"February 2009"
"30776"	"6629.00"	6662	0	2	0	"hypertension:follow-up default"	"February 2009"
"59383"	"G240000"	27	0	1	0	"secondary malignant renovascular hypertension"	"February 2009"
"101649"	"7Q01y00"	1	0	0	0	"other specified high cost hypertension drugs"	"February 2011"
"4668"	"G22..00"	2583	0	61	0	"hypertensive renal disease"	"February 2009"
"32423"	"G222.00"	109	0	0	0	"hypertensive renal disease with renal failure"	"February 2009"
"97533"	"Gyu2100"	12	0	0	0	"[x]hypertension secondary to other renal disorders"	"August 2009"
"31816"	"G672.11"	392	0	15	0	"hypertensive crisis"	"February 2009"
"13186"	"662P.00"	1502423	0	1386	21	"hypertension monitoring"	"February 2009"
"22333"	"8I3N.00"	514	0	5	0	"hypertension treatment refused"	"February 2009"
"63466"	"G23..00"	77	0	0	0	"hypertensive heart and renal disease"	"February 2009"
"18482"	"662c.00"	190303	0	175	0	"hypertension six month review"	"February 2009"
"28684"	"G233.00"	58	0	3	0	"hypertensive heart and renal disease with renal failure"	"February 2009"
"10818"	"G20z.00"	273666	0	2695	9	"essential hypertension nos"	"February 2009"
"8732"	"G2...11"	45553	0	242	0	"bp - hypertensive disease"	"February 2009"
"351"	"G20..11"	264333	0	7145	336	"high blood pressure"	"February 2009"
"13188"	"662G.00"	38218	0	38	0	"hypertensive treatm.changed"	"February 2009"
"27634"	"9N1y200"	44927	0	10	0	"seen in hypertension clinic"	"February 2009"
"5129"	"J623.00"	8887	0	88	0	"portal hypertension"	"February 2009"
"109942"	"9OIB.00"	49	0	1	0	"borderline hypertension monitoring first letter"	"July 2015"
"12948"	"662H.00"	3195	0	7	5	"hypertension treatm.stopped"	"February 2009"
"34744"	"G244.00"	206	0	2	0	"hypertension secondary to endocrine disorders"	"February 2009"
"98230"	"67H8.00"	730505	0	99	0	"lifestyle advice regarding hypertension"	"December 2009"
"10961"	"9h31.00"	108651	0	11	0	"excepted from hypertension qual indicators: patient unsuit"	"February 2009"
"16565"	"6627.00"	91836	0	33	0	"good hypertension control"	"February 2009"
"22356"	"1JD..00"	23013	0	448	0	"suspected hypertension"	"February 2009"
"102458"	"Gyu2000"	18	0	0	0	"[x]other secondary hypertension"	"June 2011"
"42229"	"G24zz00"	344	0	0	0	"secondary hypertension nos"	"February 2009"
"43220"	"9OI2.00"	962	0	0	0	"refuses hypertension monitor."	"February 2009"
"34281"	"9N4L.00"	39499	0	6	0	"dna - did not attend hypertension clinic"	"February 2009"
"27511"	"6628.00"	53145	0	128	1	"poor hypertension control"	"February 2009"
"31755"	"G240.00"	126	0	7	0	"secondary malignant hypertension"	"February 2009"
"18590"	"662b.00"	4970	0	19	0	"moderate hypertension control"	"February 2009"
"19070"	"662d.00"	1105419	0	93	0	"hypertension annual review"	"February 2009"
"39649"	"G220.00"	158	0	11	0	"malignant hypertensive renal disease"	"February 2009"
"2666"	"14A2.00"	203746	0	2766	16	"h/o: hypertension"	"February 2009"
"63000"	"G231.00"	7	0	0	0	"benign hypertensive heart and renal disease"	"February 2009"
"3712"	"G20z.11"	99255	0	723	7	"hypertension nos"	"February 2009"
"105316"	"G25..11"	8941	0	9	0	"stage 1 hypertension"	"December 2012"
"67232"	"G230.00"	16	0	0	0	"malignant hypertensive heart and renal disease"	"February 2009"
"21837"	"G232.00"	33	0	4	0	"hypertensive heart&renal dis wth (congestive) heart failure"	"February 2009"
"16173"	"G21zz00"	558	0	28	0	"hypertensive heart disease nos"	"February 2009"
"21826"	"662F.00"	9400	0	23	0	"hypertension treatm. started"	"February 2009"
"34108"	"9h3..00"	8320	0	1	0	"exception reporting: hypertension quality indicators"	"February 2009"
"69753"	"Gyu2.00"	244	0	1	0	"[x]hypertensive diseases"	"February 2009"
"95334"	"G210000"	5	0	0	0	"malignant hypertensive heart disease without ccf"	"February 2009"
"8857"	"G21z011"	1800	0	271	1	"cardiomegaly - hypertensive"	"February 2009"
"26347"	"G8y3.00"	1036	0	16	0	"chronic peripheral venous hypertension"	"February 2009"
"95359"	"662r.00"	7	0	0	0	"trial withdrawal of antihypertensive therapy"	"February 2009"
"10632"	"246M.00"	33432	0	217	1	"white coat hypertension"	"February 2009"
"36305"	"9OIA.00"	104621	0	60	0	"hypertension monitor.chck done"	"February 2009"
"102406"	"662P000"	12414	0	5	0	"hypertension 9 month review"	"June 2011"
"15377"	"G200.00"	5233	0	469	0	"malignant essential hypertension"	"February 2009"
"3979"	"G672.00"	852	0	42	9	"hypertensive encephalopathy"	"February 2009"
"10976"	"9h32.00"	210713	0	8	0	"excepted from hypertension qual indicators: informed dissent"	"February 2009"
"204"	"G2...00"	1876342	0	23171	2210	"hypertensive disease"	"February 2009"
"105480"	"G27..00"	238	0	30	0	"hypertension resistant to drug therapy"	"December 2012"
"16059"	"G24z.00"	589	0	26	0	"secondary hypertension nos"	"February 2009"
"105274"	"G28..00"	4951	0	2	0	"stage 2 hypertension (nice - nat ins for hth clin excl 2011)"	"December 2012"
"114710"	"9OID.00"	1	0	0	0	"borderline hypertension monitoring third letter"	"March 2020"
"7329"	"G24..00"	4505	0	26	0	"secondary hypertension"	"February 2009"
"4344"	"9N03.00"	165249	0	155	2	"seen in hypertension clinic"	"February 2009"
"57288"	"G241.00"	112	0	1	0	"secondary benign hypertension"	"February 2009"
"44350"	"U60C51A"	120	0	0	0	"[x] adverse reaction to antihypertensives nos"	"February 2009"
"30770"	"U60C511"	87	0	0	0	"[x] adverse reaction to other antihypertensives"	"February 2009"
"114781"	"9OIC.00"	15	0	0	0	"borderline hypertension monitoring second letter"	"April 2020"
"112611"	"SyuFT00"	1	0	0	0	"[x]poisoning by other antihypertensive drugs, nec"	"April 2018"
"43935"	"G221.00"	67	0	0	0	"benign hypertensive renal disease"	"February 2009"
"52427"	"G211.00"	67	0	0	0	"benign hypertensive heart disease"	"February 2009"
"4444"	"662..12"	3577617	0	18693	110	"hypertension monitoring"	"February 2009"
"61166"	"G21z000"	108	0	1	0	"hypertensive heart disease nos without ccf"	"February 2009"
"105487"	"G26..11"	523	0	21	0	"severe hypertension"	"December 2012"
"110631"	"661N600"	285	0	0	0	"hypertension self-management plan review"	"March 2016"
"7057"	"G2z..00"	68537	0	231	0	"hypertensive disease nos"	"February 2009"
"20497"	"TJC7z00"	1426	0	2	0	"adverse reaction to antihypertensives nos"	"February 2009"
"99259"	"662q.00"	12	0	0	0	"trial reduction of antihypertensive therapy"	"May 2010"
"103046"	"G210z00"	14	0	0	0	"malignant hypertensive heart disease nos"	"October 2011"
"25371"	"G241000"	184	0	1	0	"secondary benign renovascular hypertension"	"February 2009"
"16292"	"G21..00"	4766	0	60	1	"hypertensive heart disease"	"February 2009"
"18765"	"G2y..00"	2009	0	8	0	"other specified hypertensive disease"	"February 2009"
"6702"	"F421300"	7141	0	279	4	"hypertensive retinopathy"	"February 2009"
"63260"	"SLC6z00"	4	0	0	0	"hypertensive agent poisoning nos"	"February 2009"
"107704"	"G20..12"	153	0	0	0	"primary hypertension"	"February 2014"
"52127"	"G211100"	94	0	0	0	"benign hypertensive heart disease with ccf"	"February 2009"
"105371"	"G25..00"	3790	0	2	0	"stage 1 hypertension (nice - nat ins for hth clin excl 2011)"	"December 2012"
"15106"	"G22z.00"	401	0	13	0	"hypertensive renal disease nos"	"February 2009"
"45149"	"9OI1.00"	49383	0	2	0	"attends hypertension monitor."	"February 2009"
