"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Mood Stabiliser"
"10111"	86592	"Lamictal 200mg tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"200mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"33058"	405	"Epival CR 500mg tablets (G.L. Pharma UK Ltd)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"18886"	1464	"Convulex 500mg gastro-resistant capsules (G.L. Pharma UK Ltd)"	"Valproic"	"500mg"	"Gastro-resistant capsule"	"Oral"	"Prophylaxis Of Migraine/Control Of Epilepsy"	"Valproic"
"36633"	3776	"Episenta 150mg modified-release capsules (Desitin Pharma Ltd)"	"Valproate"	"150mg"	"Modified-release capsule"	"Oral"	"Control Of Epilepsy"	"Valproate"
"75423"	0	"Lamotrigine 50mg tablets (DE Pharmaceuticals)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"45941"	446356	"Tegretol Prolonged Release 200mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"63973"	0	"Lamotrigine 25mg dispersible tablets sugar free (Actavis UK Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"2824"	474732	"Tegretol retard 400mg Modified-release tablet (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"82295"	1	"Sodium valproate 200mg modified-release tablets (Ennogen Healthcare Ltd)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"48397"	90	"Tegretol Prolonged Release 200mg tablets (DE Pharmaceuticals)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"79580"	0	"Lamotrigine 100mg tablets (Sigma Pharmaceuticals Plc)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"61377"	0	"Carbamazepine 100mg tablets (Kent Pharma (UK) Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"60102"	34	"Sodium valproate 500mg modified-release tablets (J M McGill Ltd)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"11075"	21750	"Sodium valproate with valproic acid 500mg modified release tablets"	"Valproate/Valproic"	"500mg"	"Modified Release Tablet"	"Oral"	"Control Of Epilepsy"	"Valproate/Valproic"
"17978"	199	"Teril Retard 200mg tablets (Taro Pharmaceuticals (UK) Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"80973"	0	"Sodium valproate 500mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"60578"	0	"Lamotrigine 200mg tablets (Waymade Healthcare Plc)"	"Lamotrigine"	"200mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"42038"	6112	"Epilim Chronosphere MR 1000mg granules sachets (Sanofi)"	"Valproate"	"1gram"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"12402"	53624	"Camcolit 250 tablets (Essential Pharma Ltd)"	"Lithium"	"250mg"	"Oral tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"64600"	0	"Lamotrigine 100mg tablets (Kent Pharma (UK) Ltd)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"15660"	124	"LITHIUM 10.8 MMOLS/5MLS LIQ"	"Lithium"	NA	NA	NA	"Unknown"	"Lithium"
"22018"	1039	"Li-Liquid 509mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Lithium"	"101.8mg/1ml"	"Oral solution"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"13524"	11790	"Tegretol 100mg Chewtabs (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"100mg"	"Chewable tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"40404"	247	"Carbamazepine 400mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"45344"	3	"Sodium valproate 200mg/5ml Oral solution (Hillcross Pharmaceuticals Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"4502"	163518	"Sodium valproate 100mg tablets"	"Valproate"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"83016"	4	"Carbamazepine 200mg tablets (Sigma Pharmaceuticals Plc)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"652"	339899	"Carbamazepine 400mg tablets"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"38939"	353768	"Epilim 200 gastro-resistant tablets (Sanofi)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"82294"	5	"Sodium valproate 200mg modified-release tablets (DE Pharmaceuticals)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"35732"	14	"Lamotrigine 25mg dispersible tablets sugar free (Arrow Generics Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"13601"	1271	"Lithium citrate 564mg modified-release tablets"	"Lithium"	"564mg"	"Modified-release tablet"	"Oral"	"Unknown"	"Lithium"
"80573"	21	"Lamotrigine 100mg dispersible tablets sugar free (Viatris UK Healthcare Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"75360"	0	"Lithium chloride 1.5mmol/10ml solution for injection ampoules"	"Lithium"	".15mmol/1ml"	"Solution for injection"	"Intravenous"	"Cardiac Stress Test"	"Lithium"
"84145"	1	"Sodium valproate 500mg/5ml oral solution"	"Valproate"	"100mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"67633"	5	"Lamotrigine 25mg dispersible tablets sugar free (PLIVA Pharma Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"53501"	1	"Epilim Chrono 500 tablets (Lexon (UK) Ltd)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"76477"	2	"Depakote 125mg sprinkle gastro-resistant capsules (Imported (United States))"	"Valproate"	"125mg"	"Gastro-resistant capsule"	"Oral"	"Control Of Epilepsy"	"Valproate"
"53195"	2	"Epilim Chrono 200 tablets (DE Pharmaceuticals)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"11445"	29467	"Lamictal 25mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"27221"	2	"LAMICTAL NON-VALPROATE ADD-ON START PACK TAB 25 mg"	"Valproate/Lamotrigine"	NA	"Tablet"	"Oral"	"Unknown"	"Valproate/Lamotrigine"
"57863"	171	"Lamotrigine 50mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"37306"	0	"Sodium valproate 200mg/5ml Oral solution (Sterwin Medicines)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"60804"	95	"Lamotrigine 50mg/5ml oral suspension"	"Lamotrigine"	"10mg/1ml"	"Oral suspension"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"2079"	817419	"Lamotrigine 25mg tablets"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"4195"	144657	"Epilim 100mg crushable tablets (Sanofi)"	"Valproate"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"74819"	90	"Tegretol Prolonged Release 400mg tablets (Lexon (UK) Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"72018"	205	"Carbamazepine 100mg/5ml oral suspension sugar free (Accord-UK Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"67631"	34	"Lamotrigine 5mg dispersible tablets sugar free (PLIVA Pharma Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"68457"	66	"Sodium valproate 300mg suppositories"	"Valproate"	"300mg"	"Suppository"	"Rectal"	"Control Of Epilepsy"	"Valproate"
"7023"	195445	"Lamictal 100mg tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"37800"	78	"Carbamazepine 200mg Modified-release tablet (Lagap)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"4066"	291732	"Tegretol 400mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"16609"	19	"Sodium valproate 400mg powder and solvent for solution for injection vials"	"Valproate"	"400mg"	"Powder and solvent for solution for injection"	"Intravenous"	"Control Of Epilepsy"	"Valproate"
"74848"	58	"Sodium valproate 500mg gastro-resistant tablets (Arrow Generics Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"9759"	326774	"Depakote 500mg gastro-resistant tablets (Sanofi)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Products Used For Mania And Hypomania/Prophylaxis Of Migraine"	"Valproate"
"71350"	595	"Tegretol Prolonged Release 200mg tablets (Necessity Supplies Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"36634"	8422	"Episenta 1000mg modified-release granules sachets (Desitin Pharma Ltd)"	"Valproate"	"1gram"	"Modified-release granules"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Valproate"
"59696"	14	"Carbamazepine 400mg tablets (Kent Pharma (UK) Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"81616"	106	"Carbamazepine 200mg tablets (Teva UK Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"13654"	1395	"Litarex 564mg modified-release tablets (Actavis UK Ltd)"	"Lithium"	"564mg"	"Modified-release tablet"	"Oral"	"Unknown"	"Lithium"
"51401"	2	"Priadel 400mg modified-release tablets (Necessity Supplies Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"29619"	14	"Lamotrigine 25mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"63930"	0	"Tegretol 100mg/5ml liquid (DE Pharmaceuticals)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"67622"	186	"Lamotrigine 100mg dispersible tablets sugar free (PLIVA Pharma Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"34150"	72	"Valproate sodium 200mg Gastro-resistant tablet (IVAX Pharmaceuticals UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"3569"	212500	"Carbamazepine 400mg modified-release tablets"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"8885"	1795	"Orlept 500mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"39506"	3	"Lamotrigine 50mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"87023"	0	"Lamotrigine 25mg dispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"65965"	0	"Lamictal 50mg tablets (DE Pharmaceuticals)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"81647"	58	"Lamotrigine 200mg tablets (Milpharm Ltd)"	"Lamotrigine"	"200mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"30081"	181	"Sodium valproate CR 500mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Valproate"	"500mg"	"Tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"83006"	53	"Carbamazepine oral solution"	"Carbamazepine"	NA	"Oral solution"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"17428"	604	"Carbamazepine 250mg suppositories"	"Carbamazepine"	"250mg"	"Suppository"	"Rectal"	"Control Of Epilepsy"	"Carbamazepine"
"872"	1224952	"Priadel 400mg modified-release tablets (Essential Pharma Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"41137"	24	"Sodium valproate with valproic acid 100mg modified release granules"	"Valproate/Valproic"	"100mg"	"Modified Release Granules"	"Oral"	"Control Of Epilepsy"	"Valproate/Valproic"
"15126"	9995	"Lamictal 5mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"66058"	30	"Carbamazepine 200mg tablets (DE Pharmaceuticals)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"63735"	8	"Carbamazepine 400mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"90571"	1	"Episenta 300mg/3ml solution for injection ampoules (Desitin Pharma Ltd)"	"Valproate"	"100mg/1ml"	"Solution for injection"	"Intravenous"	"Control Of Epilepsy"	"Valproate"
"7022"	157296	"Lamictal 50mg tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"39427"	45	"Sodium valproate with valproic acid 750mg modified release granules"	"Valproate/Valproic"	"750mg"	"Modified Release Granules"	"Oral"	"Control Of Epilepsy"	"Valproate/Valproic"
"40395"	72	"Sodium valproate 100mg tablets (Viatris UK Healthcare Ltd)"	"Valproate"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"56076"	33	"Sodium valproate 500mg/5ml oral suspension"	"Valproate"	"100mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Valproate"
"9281"	22117	"Sodium valproate with valproic acid 200mg modified release tablets"	"Valproate/Valproic"	"200mg"	"Modified Release Tablet"	"Oral"	"Control Of Epilepsy"	"Valproate/Valproic"
"18011"	122	"Teril Retard 400mg tablets (Taro Pharmaceuticals (UK) Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"33106"	303	"Sodium valproate 200mg/5ml Oral solution (IVAX Pharmaceuticals UK Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"2080"	1233335	"Lamotrigine 50mg tablets"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"10937"	3581	"Lithium citrate 509mg/5ml oral solution"	"Lithium"	"101.8mg/1ml"	"Oral solution"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"45106"	3926	"Sodium valproate 250mg modified-release granules sachets sugar free"	"Valproate"	"250mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"71365"	386	"Tegretol Prolonged Release 400mg tablets (DE Pharmaceuticals)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"5977"	779840	"Tegretol 100mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"59745"	81	"Carbamazepine 100mg/5ml oral suspension sugar free (DE Pharmaceuticals)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"22861"	1	"LITHIUM 8% + ZINC SULPHATE 0.05%"	"Lithium"	NA	NA	NA	"Unknown"	"Lithium"
"39452"	12	"Sodium valproate with valproic acid 500mg modified release granules"	"Valproate/Valproic"	"500mg"	"Modified Release Granules"	"Oral"	"Control Of Epilepsy"	"Valproate/Valproic"
"10809"	20881	"Priadel 520mg/5ml liquid (Essential Pharma Ltd)"	"Lithium"	"104mg/1ml"	"Oral solution"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"34120"	2303	"Sodium valproate 200mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"15650"	4015	"Valproic acid 300mg gastro-resistant capsules"	"Valproic"	"300mg"	"Gastro-resistant capsule"	"Oral"	"Prophylaxis Of Migraine/Control Of Epilepsy"	"Valproic"
"18614"	1802	"Valproic acid 150mg gastro-resistant capsules"	"Valproic"	"150mg"	"Gastro-resistant capsule"	"Oral"	"Prophylaxis Of Migraine/Control Of Epilepsy"	"Valproic"
"3886"	477422	"Lamotrigine 200mg tablets"	"Lamotrigine"	"200mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"65046"	51	"Lamotrigine 15mg/5ml oral suspension"	"Lamotrigine"	"3mg/1ml"	"Oral suspension"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"42090"	158	"Sodium valproate 200mg/5ml oral solution sugar free (Zentiva Pharma UK Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"67477"	0	"Lamotrigine 25mg tablets (DE Pharmaceuticals)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"432"	1344381	"Carbamazepine 100mg tablets"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"49833"	553	"Tegretol 200mg tablets (Lexon (UK) Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"66248"	2	"Lithium carbonate 400mg modified-release tablets (Ennogen Healthcare Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"760"	224511	"Lithium carbonate 200mg modified-release tablets"	"Lithium"	"200mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"38507"	9272	"Epilim Chronosphere MR 100mg granules sachets (Sanofi)"	"Valproate"	"100mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"54828"	1	"Sodium valproate 600mg/5ml oral solution"	"Valproate"	"120mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"61623"	117	"Lamotrigine 50mg tablets (Accord-UK Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"72851"	6	"Valproic acid 250mg/5ml oral solution"	"Valproate/Valproic"	"50mg/1ml"	"Oral solution"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Valproate/Valproic"
"73632"	0	"Lamotrigine 25mg tablets (Consilient Health Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"57898"	11	"Carbamazepine 100mg/5ml oral suspension"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"60268"	205	"Lamotrigine 200mg tablets (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"200mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"85888"	12	"Dyzantil 500mg modified-release tablets (Aspire Pharma Ltd)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"10292"	1225	"LITHIUM 250 MG CAP"	"Lithium"	NA	NA	NA	"Unknown"	"Lithium"
"85031"	0	"Lamotrigine 50mg tablets (Torrent Pharma (UK) Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"39715"	111	"Lamotrigine 100mg tablets (Teva UK Ltd)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"39714"	94	"Lamotrigine 25mg tablets (Teva UK Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"2077"	21800	"TEGRETOL liq 100 MG/5ML LIQ"	"Carbamazepine"	NA	NA	NA	"Unknown"	"Carbamazepine"
"71442"	6	"Epilim 200mg/5ml syrup (Lexon (UK) Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"6305"	158686	"Valproic acid 500mg gastro-resistant tablets"	"Valproate/Valproic"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Products Used For Mania And Hypomania/Prophylaxis Of Migraine"	"Valproate/Valproic"
