"MedCodeId"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"Term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"Release"	"EmisCodeCategoryId"	"SH"	"Group"
"334643017"	2000	"U202-1"	"U202.11"	"sedative overdose"	296015009	436404012	NA	32	1	"unknown intent"
"334644011"	2000	"U202-3"	"U202.13"	"overdose of temazepam"	296125001	436518019	NA	32	1	"unknown intent"
"334645012"	20	"U202-4"	"U202.14"	"flurazepam overdose"	296058008	436449010	NA	32	1	"unknown intent"
"334668015"	900	"U204-3"	"U204.13"	"selective serotonin re-uptake inhibitor overdose"	295918002	436303019	NA	32	1	"unknown intent"
"334669011"	10000	"U204-1"	"U204.11"	"overdose of antidepressant drug"	295830007	436211014	NA	32	1	"unknown intent"
"334670012"	3000	"U204-2"	"U204.12"	"amitriptyline overdose"	295835002	436216016	NA	32	1	"unknown intent"
"334743014"	200	"U20A-1"	"U20A.11"	"[x]self poisoning from glue solvent"	271982007	407014015	NA	32	1	"self harm"
"334805018"	200	"U22"	"U22..00"	"[x]intentional self harm by drowning and submersion"	446891000000101	1016781000000114	NA	32	1	"self harm"
"334817016"	20	"U23"	"U23..00"	"[x]intentional self harm by handgun discharge"	472701000000102	801081000000117	NA	32	1	"self harm"
"334853019"	7	"U26"	"U26..00"	"[x]intentional self harm by explosive material"	418420002	2576648017	NA	32	1	"self harm"
"334864016"	300	"U27"	"U27..00"	"[x]intentional self harm by smoke, fire and flames"	418420002	2576648017	NA	32	1	"self harm"
"334886015"	100000	"U29"	"U29..00"	"[x]intentional self harm by sharp object"	248073004	370357011	NA	32	1	"self harm"
"334897015"	300	"U2A"	"U2A..00"	"[x]intentional self harm by blunt object"	418420002	2576648017	NA	32	1	"self harm"
"334908015"	900	"U2B"	"U2B..00"	"attempted suicide - jumping from a high place"	287186005	426705017	NA	32	1	"attempted suicide"
"334931015"	200	"U2D"	"U2D..00"	"[x]intentional self harm by crashing of motor vehicle"	418420002	2576648017	NA	32	1	"self harm"
"334942012"	6000	"U2E"	"U2E..00"	"self-mutilation"	130968006	210603011	NA	32	1	"self harm"
"334943019"	60000	"U2y"	"U2y..00"	"intentionally harming self"	418420002	2576648017	NA	32	1	"self harm"
"334956014"	30000	"U2z"	"U2z..00"	"[x]intentional self harm by unspecified means"	418420002	2576648017	NA	32	1	"self harm"
"335253019"	80	"U4"	"U4...00"	"[x]event of undetermined intent"	419048002	2576906010	NA	32	1	"unknown intent"
"335437015"	30	"U42"	"U42..00"	"[x]drowning and submersion, undetermined intent"	219333004	331760017	NA	32	1	"unknown intent"
"335449019"	1	"U43"	"U43..00"	"[x]handgun discharge, undetermined intent"	419048002	2576906010	NA	32	1	"unknown intent"
"335482016"	1	"U46"	"U46..00"	"[x]contact with explosive material, undetermined intent"	419048002	2576906010	NA	32	1	"unknown intent"
"335495014"	20	"U47"	"U47..00"	"[x]exposure to smoke, fire and flames, undetermined intent"	419048002	2576906010	NA	32	1	"unknown intent"
"335518010"	40	"U49"	"U49..00"	"[x]contact with sharp object, undetermined intent"	419048002	2576906010	NA	32	1	"unknown intent"
"335529014"	50	"U4A"	"U4A..00"	"[x]contact with blunt object, undetermined intent"	419048002	2576906010	NA	32	1	"unknown intent"
"335573013"	30	"U4y"	"U4y..00"	"[x]other specified events, undetermined intent"	419048002	2576906010	NA	32	1	"unknown intent"
"335584018"	40	"U4z"	"U4z..00"	"[x]unspecified event, undetermined intent"	419048002	2576906010	NA	32	1	"unknown intent"
"336131016"	90	"U720"	"U720.00"	"[x]sequelae of intentional self-harm"	362977000	482109012	NA	32	1	"self harm"
"404265013"	40000	"TK"	"TK...00"	"suicide and selfinflicted injury"	248062006	370336015	NA	32	1	"self harm"
"404266014"	10000	"TK-4"	"TK...14"	"suicide and self harm"	248062006	370336015	NA	32	1	"self harm"
"404287016"	100000	"U2"	"U2...00"	"self-injurious behaviour"	248062006	370336015	NA	32	1	"self harm"
"410813016"	40	"U20C-1"	"U20C.11"	"[x]self poisoning with weedkiller"	274912004	410813016	NA	32	1	"self harm"
"413175018"	9000	"TK-2"	"TK...12"	"injury - self-inflicted"	276853009	413175018	NA	32	1	"self harm"
"2475831012"	5	"TK014-1"	"TK01411"	"suicide and self inflicted injury by phenobarbital"	296036006	436427016	NA	32	1	"self harm"
"119501000006119"	200	"TK3z"	"TK3z.00"	"suicide + selfinflicted inj by hang/strangle/suffocate nos"	248062006	370336015	NA	32	1	"self harm"
"119511000006116"	100	"TK3y"	"TK3y.00"	"suicide + selfinflicted inj oth mean hang/strangle/suffocate"	248062006	370335016	NA	32	1	"self harm"
"119521000006112"	10	"TKx0z"	"TKx0z00"	"suicide + selfinflicted inj-jump/lie before moving obj nos"	418420002	2576648017	NA	32	1	"self harm"
"119531000006110"	600	"TK3"	"TK3..00"	"suicide + selfinflicted injury by hang/strangulate/suffocate"	248062006	370335016	NA	32	1	"self harm"
"119541000006117"	70	"TK31"	"TK31.00"	"suicide + selfinflicted injury by suffocation by plastic bag"	248062006	370335016	NA	32	1	"self harm"
"119551000006115"	30	"TKx0"	"TKx0.00"	"suicide + selfinflicted injury-jump/lie before moving object"	418420002	2576648017	NA	32	1	"self harm"
"119561000006118"	70	"TKx00"	"TKx0000"	"suicide + selfinflicted injury-jumping before moving object"	418420002	2576648017	NA	32	1	"self harm"
"119571000006113"	20	"TKx01"	"TKx0100"	"suicide + selfinflicted injury-lying before moving object"	418420002	2576648017	NA	32	1	"self harm"
"119581000006111"	30	"TK06"	"TK06.00"	"suicide + selfinflicted poisoning by agricultural chemical"	274912004	410812014	NA	32	1	"self harm"
"119591000006114"	8000	"TK00"	"TK00.00"	"suicide + selfinflicted poisoning by analgesic/antipyretic"	219108005	331520016	NA	32	1	"self harm"
"119601000006118"	2	"TK08"	"TK08.00"	"suicide + selfinflicted poisoning by arsenic + its compounds"	219123000	331537011	NA	32	1	"self harm"
"119611000006115"	300	"TK01"	"TK01.00"	"suicide + selfinflicted poisoning by barbiturates"	296036006	436427016	NA	32	1	"self harm"
"119621000006111"	300	"TK07"	"TK07.00"	"suicide + selfinflicted poisoning by corrosive/caustic subst"	219122005	331536019	NA	32	1	"self harm"
"119631000006114"	30	"TK1z"	"TK1z.00"	"suicide + selfinflicted poisoning by domestic gases nos"	219125007	331539014	NA	32	1	"self harm"
"119641000006116"	100000	"TK05"	"TK05.00"	"intentional self poisoning"	271982007	2871916017	NA	32	1	"self harm"
"119651000006119"	20	"TK10"	"TK10.00"	"suicide and selfinflicted poisoning by gas distributed by pipeline"	219126008	331540011	NA	32	1	"self harm"
"119661000006117"	20	"TK2z"	"TK2z.00"	"suicide + selfinflicted poisoning by gases and vapours nos"	242839001	363271015	NA	32	1	"self harm"
"119671000006112"	300	"TK1"	"TK1..00"	"suicide + selfinflicted poisoning by gases in domestic use"	219125007	331539014	NA	32	1	"self harm"
"119681000006110"	10	"TK11"	"TK11.00"	"suicide and selfinflicted poisoning by liquefied petroleum gas distributed in mobile containers"	219127004	331541010	NA	32	1	"self harm"
"119691000006113"	800	"TK20"	"TK20.00"	"suicide + selfinflicted poisoning by motor veh exhaust gas"	219131005	331545018	NA	32	1	"self harm"
"119701000006113"	1000	"TK02"	"TK02.00"	"suicide + selfinflicted poisoning by oth sedatives/hypnotics"	431307001	2746479017	NA	32	1	"self harm"
"119711000006111"	3000	"TK04"	"TK04.00"	"intentional poisoning by drug"	431307001	2767650016	NA	32	1	"self harm"
"119721000006115"	100	"TK2"	"TK2..00"	"suicide + selfinflicted poisoning by other gases and vapours"	242839001	363271015	NA	32	1	"self harm"
"119731000006117"	9	"TK2y"	"TK2y.00"	"suicide + selfinflicted poisoning by other gases and vapours"	242839001	363271015	NA	32	1	"self harm"
"119741000006110"	500	"TK0z"	"TK0z.00"	"suicide + selfinflicted poisoning by solid/liquid subst nos"	242836008	363268011	NA	32	1	"self harm"
"119751000006112"	10000	"TK0"	"TK0..00"	"self poisoning by non-drug solid or liquid agents"	242836008	363268011	NA	32	1	"self harm"
"119761000006114"	1000	"TK03"	"TK03.00"	"suicide + selfinflicted poisoning tranquilliser/psychotropic"	431307001	2746479017	NA	32	1	"self harm"
"119861000006116"	300	"TKx1"	"TKx1.00"	"suicide and selfinflicted injury by burns or fire"	418420002	2576648017	NA	32	1	"self harm"
"119871000006111"	40	"TKx5"	"TKx5.00"	"suicide and selfinflicted injury by crashing motor vehicle"	418420002	2576648017	NA	32	1	"self harm"
"119891000006112"	3000	"TK60"	"TK60.00"	"suicide and selfinflicted injury by cutting"	219151009	331565013	NA	32	1	"self harm"
"119901000006111"	2000	"TK6"	"TK6..00"	"suicide and selfinflicted injury by cutting and stabbing"	219150005	331564012	NA	32	1	"self harm"
"119911000006114"	100	"TK6z"	"TK6z.00"	"suicide and selfinflicted injury by cutting and stabbing nos"	248062006	370335016	NA	32	1	"self harm"
"119931000006115"	30	"TKx4"	"TKx4.00"	"suicide and selfinflicted injury by electrocution"	219168008	331582010	NA	32	1	"self harm"
"119941000006113"	1	"TK55"	"TK55.00"	"suicide and selfinflicted injury by explosives"	418420002	2576648017	NA	32	1	"self harm"
"119951000006110"	2	"TKx3"	"TKx3.00"	"suicide and selfinflicted injury by extremes of cold"	418420002	2576648017	NA	32	1	"self harm"
"119961000006112"	80	"TK5"	"TK5..00"	"suicide and selfinflicted injury by firearms and explosives"	287184008	426703012	NA	32	1	"self harm"
"119971000006117"	3	"TK5z"	"TK5z.00"	"suicide and selfinflicted injury by firearms/explosives nos"	287184008	426703012	NA	32	1	"self harm"
"119981000006119"	7	"TK50"	"TK50.00"	"suicide and selfinflicted injury by handgun"	287184008	426703012	NA	32	1	"self harm"
"119991000006116"	6000	"TK30"	"TK30.00"	"attempted suicide - hanging"	287181000	426700010	NA	32	1	"attempted suicide"
"120011000006112"	900	"TK7"	"TK7..00"	"suicide and selfinflicted injury by jumping from high place"	287186005	426705017	NA	32	1	"self harm"
"120071000006115"	40	"TKx2"	"TKx2.00"	"suicide and selfinflicted injury by scald"	418420002	2576648017	NA	32	1	"self harm"
"120081000006117"	90	"TK51"	"TK51.00"	"suicide and selfinflicted injury by shotgun"	287184008	426703012	NA	32	1	"self harm"
"120091000006119"	500	"TK61"	"TK61.00"	"suicide and selfinflicted injury by stabbing"	219153007	331567017	NA	32	1	"self harm"
"120101000006113"	9	"TKx7"	"TKx7.00"	"suicide and selfinflicted injury caustic subst, excl poison"	403582001	1782601011	NA	32	1	"self harm"
"120161000006114"	100	"TK7z"	"TK7z.00"	"suicide+selfinflicted injury-jump from high place nos"	287186005	426705017	NA	32	1	"self harm"
"120171000006119"	20	"TK72"	"TK72.00"	"suicide+selfinflicted injury-jump from natural sites"	287186005	426705017	NA	32	1	"self harm"
"120181000006116"	70	"TK71"	"TK71.00"	"suicide+selfinflicted injury-jump from oth manmade structure"	287186005	426705017	NA	32	1	"self harm"
"120191000006118"	90	"TK70"	"TK70.00"	"suicide+selfinflicted injury-jump from residential premises"	287186005	426705017	NA	32	1	"self harm"
"136541000006115"	4000	"TK601-1"	"TK60111"	"slashed wrists self inflicted"	219152002	331566014	NA	32	1	"self harm"
"220641000006117"	9000	"TK-3"	"TK...13"	"deliberate self poisoning"	271982007	407014015	NA	32	1	"self harm"
"222681000000117"	1000000	"SL-5"	"SL...15"	"od - overdose of drug"	55680006	1231513018	NA	32	1	"unknown intent"
"222791000000110"	30	"U20C"	"U20C.00"	"[x]intentional self poisoning by and exposure to pesticides"	461331000000108	927281000000119	NA	32	1	"self harm"
"250291000006113"	6000	"TK-7"	"TK...17"	"parasuicide"	48981002	81600011	NA	32	1	"attempted suicide"
"253981000006114"	4000	"SL-4"	"SL...14"	"overdose of biological substance"	275385007	411360010	NA	32	1	"unknown intent"
"345851000000113"	3	"TK010-1"	"TK01011"	"suicide and self inflicted injury by amobarbital"	296039004	436430011	NA	32	1	"self harm"
"366461000006115"	6000	"U2-4"	"U2...14"	"[x]attempted suicide"	82313006	136534019	NA	32	1	"attempted suicide"
"372171000006110"	3	"U4A4"	"U4A4.00"	"[x]contact with blunt object, undetermined intent, occurrence on street and highway"	425359009	2646071014	NA	32	1	"unknown intent"
"372181000006113"	7	"U4Az"	"U4Az.00"	"[x]contact with blunt object, undetermined intent, occurrence at unspecified place"	425359009	2646071014	NA	32	1	"unknown intent"
"372221000006116"	1	"U460"	"U460.00"	"[x]contact with explosive material, undetermined intent, occurrence at home"	219340003	331767019	NA	32	1	"unknown intent"
"372231000006118"	1	"U467"	"U467.00"	"[x]contact with explosive material, undetermined intent, occurrence on farm"	219340003	331767019	NA	32	1	"unknown intent"
"373831000006113"	10	"U49y"	"U49y.00"	"[x]contact with sharp object, undetermined intent, occurrence at other specified place"	69129000	114822011	NA	32	1	"unknown intent"
"373841000006115"	2	"U494"	"U494.00"	"[x]contact with sharp object, undetermined intent, occurrence on street and highway"	69129000	114822011	NA	32	1	"unknown intent"
"373851000006118"	6	"U49z"	"U49z.00"	"[x]contact with sharp object, undetermined intent, occurrence at unspecified place"	69129000	114822011	NA	32	1	"unknown intent"
"373901000006111"	1	"U48y"	"U48y.00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent, occurrence at other specified place"	218130004	330432011	NA	32	1	"unknown intent"
"373911000006114"	1	"U484"	"U484.00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent, occurrence on street and highway"	218130004	330432011	NA	32	1	"unknown intent"
"373921000006118"	1	"U48z"	"U48z.00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent, occurrence at unspecified place"	218130004	330432011	NA	32	1	"unknown intent"
"373931000006115"	1	"U487"	"U487.00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent, occurrence on farm"	218130004	330432011	NA	32	1	"unknown intent"
"373941000006113"	3	"U480"	"U480.00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent, occurrence at home"	218130004	330432011	NA	32	1	"unknown intent"
"373951000006110"	1	"U481"	"U481.00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent, occurrence in residential institution"	218130004	330432011	NA	32	1	"unknown intent"
"373961000006112"	1	"U48"	"U48..00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent"	419048002	2576906010	NA	32	1	"unknown intent"
"374251000006115"	8	"U4A0"	"U4A0.00"	"[x]contact with blunt object, undetermined intent, occurrence at home"	425359009	2646071014	NA	32	1	"unknown intent"
"374261000006118"	5	"U4A7"	"U4A7.00"	"[x]contact with blunt object, undetermined intent, occurrence on farm"	425359009	2646071014	NA	32	1	"unknown intent"
"374441000006116"	5	"U490"	"U490.00"	"[x]contact with sharp object, undetermined intent, occurrence at home"	69129000	114822011	NA	32	1	"unknown intent"
"374451000006119"	1	"U497"	"U497.00"	"[x]contact with sharp object, undetermined intent, occurrence on farm"	69129000	114822011	NA	32	1	"unknown intent"
"374581000006114"	1	"U483"	"U483.00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent, occurrence at sports and athletics area"	218130004	330432011	NA	32	1	"unknown intent"
"374591000006112"	1	"U485"	"U485.00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent, occurrence at trade and service area"	218130004	330432011	NA	32	1	"unknown intent"
"374601000006116"	1	"U462"	"U462.00"	"[x]contact with explosive material, undetermined intent, occurrence at school, other institution and public administrative area"	219340003	331767019	NA	32	1	"unknown intent"
"374631000006112"	1	"U482"	"U482.00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent, occurrence at school, other institution and public administrative area"	218130004	330432011	NA	32	1	"unknown intent"
"374641000006119"	1	"U486"	"U486.00"	"[x]contact with steam, hot vapours and hot objects, undetermined intent, occurrence at industrial and construction area"	218130004	330432011	NA	32	1	"unknown intent"
"374891000006110"	1	"U461"	"U461.00"	"[x]contact with explosive material, undetermined intent, occurrence in residential institution"	219340003	331767019	NA	32	1	"unknown intent"
"374901000006114"	1	"U464"	"U464.00"	"[x]contact with explosive material, undetermined intent, occurrence on street and highway"	219340003	331767019	NA	32	1	"unknown intent"
"374911000006112"	1	"U46y"	"U46y.00"	"injury of unknown intent by explosive"	219340003	331767019	NA	32	1	"unknown intent"
"375041000006111"	5	"U4A2"	"U4A2.00"	"[x]contact with blunt object, undetermined intent, occurrence at school, other institution and public administrative area"	425359009	2646071014	NA	32	1	"unknown intent"
"375051000006113"	2	"U4A6"	"U4A6.00"	"[x]contact with blunt object, undetermined intent, occurrence at industrial and construction area"	425359009	2646071014	NA	32	1	"unknown intent"
"375061000006110"	4	"U4A3"	"U4A3.00"	"[x]contact with blunt object, undetermined intent, occurrence at sports and athletics area"	425359009	2646071014	NA	32	1	"unknown intent"
"375071000006115"	6	"U4A5"	"U4A5.00"	"[x]contact with blunt object, undetermined intent, occurrence at trade and service area"	425359009	2646071014	NA	32	1	"unknown intent"
"375081000006117"	1	"U4A1"	"U4A1.00"	"[x]contact with blunt object, undetermined intent, occurrence in residential institution"	425359009	2646071014	NA	32	1	"unknown intent"
"375141000006110"	2	"U46z"	"U46z.00"	"[x]contact with explosive material, undetermined intent, occurrence at unspecified place"	219340003	331767019	NA	32	1	"unknown intent"
"375151000006112"	2	"U466"	"U466.00"	"[x]contact with explosive material, undetermined intent, occurrence at industrial and construction area"	219340003	331767019	NA	32	1	"unknown intent"
"375161000006114"	1	"U463"	"U463.00"	"[x]contact with explosive material, undetermined intent, occurrence at sports and athletics area"	219340003	331767019	NA	32	1	"unknown intent"
"375171000006119"	1	"U465"	"U465.00"	"[x]contact with explosive material, undetermined intent, occurrence at trade and service area"	219340003	331767019	NA	32	1	"unknown intent"
"375491000006114"	1	"U493"	"U493.00"	"[x]contact with sharp object, undetermined intent, occurrence at sports and athletics area"	69129000	114822011	NA	32	1	"unknown intent"
"375501000006118"	1	"U495"	"U495.00"	"[x]contact with sharp object, undetermined intent, occurrence at trade and service area"	69129000	114822011	NA	32	1	"unknown intent"
"375511000006115"	3	"U491"	"U491.00"	"[x]contact with sharp object, undetermined intent, occurrence in residential institution"	69129000	114822011	NA	32	1	"unknown intent"
"375521000006111"	7	"U492"	"U492.00"	"[x]contact with sharp object, undetermined intent, occurrence at school, other institution and public administrative area"	69129000	114822011	NA	32	1	"unknown intent"
"375861000006115"	3	"U4D2"	"U4D2.00"	"[x]crashing of motor vehicle, undetermined intent, occurrence at school, other institution and public administrative area"	299221000000104	529491000000119	NA	32	1	"unknown intent"
"375871000006110"	3	"U4D6"	"U4D6.00"	"[x]crashing of motor vehicle, undetermined intent, occurrence at industrial and construction area"	299221000000104	529491000000119	NA	32	1	"unknown intent"
"375881000006113"	3	"U4D3"	"U4D3.00"	"[x]crashing of motor vehicle, undetermined intent, occurrence at sports and athletics area"	299221000000104	529491000000119	NA	32	1	"unknown intent"
"375891000006111"	1	"U4D5"	"U4D5.00"	"[x]crashing of motor vehicle, undetermined intent, occurrence at trade and service area"	299221000000104	529491000000119	NA	32	1	"unknown intent"
"375911000006113"	1	"U4Dy"	"U4Dy.00"	"[x]crashing of motor vehicle, undetermined intent, occurrence at other specified place"	299221000000104	529491000000119	NA	32	1	"unknown intent"
"375921000006117"	1	"U4D1"	"U4D1.00"	"[x]crashing of motor vehicle, undetermined intent, occurrence in residential institution"	299221000000104	529491000000119	NA	32	1	"unknown intent"
"375931000006119"	50	"U4D4"	"U4D4.00"	"[x]crashing of motor vehicle, undetermined intent, occurrence on street and highway"	299221000000104	529491000000119	NA	32	1	"unknown intent"
"375941000006112"	5	"U4Dz"	"U4Dz.00"	"[x]crashing of motor vehicle, undetermined intent, occurrence at unspecified place"	299221000000104	529491000000119	NA	32	1	"unknown intent"
"375951000006114"	1	"U4D0"	"U4D0.00"	"[x]crashing of motor vehicle, undetermined intent, occurrence at home"	299221000000104	529491000000119	NA	32	1	"unknown intent"
"375961000006111"	1	"U4D7"	"U4D7.00"	"[x]crashing of motor vehicle, undetermined intent, occurrence on farm"	299221000000104	529491000000119	NA	32	1	"unknown intent"
"376401000006114"	200000	"U20-1"	"U20..11"	"[x]deliberate drug overdose / other poisoning"	461371000000105	849391000000112	NA	32	1	"self harm"
"376411000006112"	1000	"U30-1"	"U30..11"	"[x]deliberate drug poisoning"	219187002	331607012	NA	32	1	"self harm"
"378741000006118"	3	"U422"	"U422.00"	"[x]drowning and submersion, undetermined intent, occurrence at school, other institution and public administrative area"	219333004	331760017	NA	32	1	"unknown intent"
"379061000006113"	1	"U426"	"U426.00"	"[x]drowning and submersion, undetermined intent, occurrence at industrial and construction area"	219333004	331760017	NA	32	1	"unknown intent"
"379071000006118"	1	"U421"	"U421.00"	"[x]drowning and submersion, undetermined intent, occurrence in residential institution"	219333004	331760017	NA	32	1	"unknown intent"
"379081000006115"	1	"U424"	"U424.00"	"[x]drowning and submersion, undetermined intent, occurrence on street and highway"	219333004	331760017	NA	32	1	"unknown intent"
"379091000006117"	1	"U423"	"U423.00"	"[x]drowning and submersion, undetermined intent, occurrence at sports and athletics area"	219333004	331760017	NA	32	1	"unknown intent"
"379101000006111"	1	"U425"	"U425.00"	"[x]drowning and submersion, undetermined intent, occurrence at trade and service area"	219333004	331760017	NA	32	1	"unknown intent"
"379111000006114"	1	"U420"	"U420.00"	"[x]drowning and submersion, undetermined intent, occurrence at home"	219333004	331760017	NA	32	1	"unknown intent"
"379121000006118"	1	"U427"	"U427.00"	"[x]drowning and submersion, undetermined intent, occurrence on farm"	219333004	331760017	NA	32	1	"unknown intent"
"379231000006114"	1	"U42y"	"U42y.00"	"[x]drowning and submersion, undetermined intent, occurrence at other specified place"	219333004	331760017	NA	32	1	"unknown intent"
"379241000006116"	1	"U42z"	"U42z.00"	"[x]drowning and submersion, undetermined intent, occurrence at unspecified place"	219333004	331760017	NA	32	1	"unknown intent"
"381281000006119"	3	"U472"	"U472.00"	"[x]exposure to smoke, fire and flames, undetermined intent, occurrence at school, other institution and public administrative area"	242434000	362757017	NA	32	1	"unknown intent"
"381981000006113"	1	"U476"	"U476.00"	"[x]exposure to smoke, fire and flames, undetermined intent, occurrence at industrial and construction area"	217176002	329384019	NA	32	1	"unknown intent"
"381991000006111"	2	"U473"	"U473.00"	"[x]exposure to smoke, fire and flames, undetermined intent, occurrence at sports and athletics area"	217176002	329384019	NA	32	1	"unknown intent"
"382001000006113"	1	"U475"	"U475.00"	"[x]exposure to smoke, fire and flames, undetermined intent, occurrence at trade and service area"	217176002	329384019	NA	32	1	"unknown intent"
"382011000006111"	2	"U47y"	"U47y.00"	"[x]exposure to smoke, fire and flames, undetermined intent, occurrence at other specified place"	217176002	329384019	NA	32	1	"unknown intent"
"382021000006115"	1	"U47z"	"U47z.00"	"[x]exposure to smoke, fire and flames, undetermined intent, occurrence at unspecified place"	217176002	329384019	NA	32	1	"unknown intent"
"382031000006117"	2	"U471"	"U471.00"	"[x]exposure to smoke, fire and flames, undetermined intent, occurrence in residential institution"	217176002	329384019	NA	32	1	"unknown intent"
"382041000006110"	2	"U474"	"U474.00"	"[x]exposure to smoke, fire and flames, undetermined intent, occurrence on street and highway"	217176002	329384019	NA	32	1	"unknown intent"
"383871000006117"	8	"U470"	"U470.00"	"[x]exposure to smoke, fire and flames, undetermined intent, occurrence at home"	217176002	329384019	NA	32	1	"unknown intent"
"383881000006119"	1	"U477"	"U477.00"	"[x]exposure to smoke, fire and flames, undetermined intent, occurrence on farm"	217176002	329384019	NA	32	1	"unknown intent"
"385651000006110"	9	"U4B1"	"U4B1.00"	"[x]falling, jumping or pushed from a high place, undetermined intent, occurrence in residential institution"	429482004	2694478011	NA	32	1	"unknown intent"
"385661000006112"	9	"U4B4"	"U4B4.00"	"[x]falling, jumping or pushed from a high place, undetermined intent, occurrence on street and highway"	429482004	2694478011	NA	32	1	"unknown intent"
"385671000006117"	2	"U4B6"	"U4B6.00"	"[x]falling, jumping or pushed from a high place, undetermined intent, occurrence at industrial and construction area"	429482004	2694478011	NA	32	1	"unknown intent"
"385681000006119"	20	"U4By"	"U4By.00"	"[x]falling, jumping or pushed from a high place, undetermined intent, occurrence at other specified place"	429482004	2694478011	NA	32	1	"unknown intent"
"385691000006116"	10	"U4Bz"	"U4Bz.00"	"[x]falling, jumping or pushed from a high place, undetermined intent, occurrence at unspecified place"	429482004	2694478011	NA	32	1	"unknown intent"
"385701000006116"	1	"U4B3"	"U4B3.00"	"[x]falling, jumping or pushed from a high place, undetermined intent, occurrence at sports and athletics area"	429482004	2694478011	NA	32	1	"unknown intent"
"385711000006118"	9	"U4B5"	"U4B5.00"	"[x]falling, jumping or pushed from a high place, undetermined intent, occurrence at trade and service area"	429482004	2694478011	NA	32	1	"unknown intent"
"385721000006114"	1	"U4B2"	"U4B2.00"	"[x]falling, jumping or pushed from a high place, undetermined intent, occurrence at school, other institution and public administrative area"	429482004	2694478011	NA	32	1	"unknown intent"
"385731000006112"	2	"U4C2"	"U4C2.00"	"[x]falling, lying or running before or into moving object, undetermined intent, occurrence at school, other institution and public administrative area"	219352005	331779019	NA	32	1	"unknown intent"
"385741000006119"	1	"U4C6"	"U4C6.00"	"[x]falling, lying or running before or into moving object, undetermined intent, occurrence at industrial and construction area"	219352005	331779019	NA	32	1	"unknown intent"
"385751000006117"	1	"U4Cy"	"U4Cy.00"	"[x]falling, lying or running before or into moving object, undetermined intent, occurrence at other specified place"	219352005	331779019	NA	32	1	"unknown intent"
"385761000006115"	1	"U4C1"	"U4C1.00"	"[x]falling, lying or running before or into moving object, undetermined intent, occurrence in residential institution"	219352005	331779019	NA	32	1	"unknown intent"
