"chapter"	"code"	"title"	"primary_only"	"type"
"05"	"F13.0"	"Mental and behavioural disorders due to use of sedatives or hypnotics: Acute intoxication"	TRUE	"psych_primary"
"05"	"F13.1"	"Mental and behavioural disorders due to use of sedatives or hypnotics: Harmful use"	TRUE	"psych_primary"
"05"	"F13.2"	"Mental and behavioural disorders due to use of sedatives or hypnotics: Dependence syndrome"	TRUE	"psych_primary"
"05"	"F13.3"	"Mental and behavioural disorders due to use of sedatives or hypnotics: Withdrawal state"	TRUE	"psych_primary"
"05"	"F13.4"	"Mental and behavioural disorders due to use of sedatives or hypnotics: Withdrawal state with delirium"	TRUE	"psych_primary"
"05"	"F13.5"	"Mental and behavioural disorders due to use of sedatives or hypnotics: Psychotic disorder"	TRUE	"psych_primary"
"05"	"F13.6"	"Mental and behavioural disorders due to use of sedatives or hypnotics: Amnesic syndrome"	TRUE	"psych_primary"
"05"	"F13.7"	"Mental and behavioural disorders due to use of sedatives or hypnotics: Residual and late-onset psychotic disorder"	TRUE	"psych_primary"
"05"	"F13.8"	"Mental and behavioural disorders due to use of sedatives or hypnotics: Other mental and behavioural disorders"	TRUE	"psych_primary"
"05"	"F13.9"	"Mental and behavioural disorders due to use of sedatives or hypnotics: Unspecified mental and behavioural disorder"	TRUE	"psych_primary"
"05"	"F14.-"	"Mental and behavioural disorders due to use of cocaine"	TRUE	"group_heading"
"05"	"F14.0"	"Mental and behavioural disorders due to use of cocaine: Acute intoxication"	TRUE	"psych_primary"
"05"	"F14.1"	"Mental and behavioural disorders due to use of cocaine: Harmful use"	TRUE	"psych_primary"
"05"	"F14.2"	"Mental and behavioural disorders due to use of cocaine: Dependence syndrome"	TRUE	"psych_primary"
"05"	"F14.3"	"Mental and behavioural disorders due to use of cocaine: Withdrawal state"	TRUE	"psych_primary"
"05"	"F14.4"	"Mental and behavioural disorders due to use of cocaine: Withdrawal state with delirium"	TRUE	"psych_primary"
"05"	"F14.5"	"Mental and behavioural disorders due to use of cocaine: Psychotic disorder"	TRUE	"psych_primary"
"05"	"F14.6"	"Mental and behavioural disorders due to use of cocaine: Amnesic syndrome"	TRUE	"psych_primary"
"05"	"F14.7"	"Mental and behavioural disorders due to use of cocaine: Residual and late-onset psychotic disorder"	TRUE	"psych_primary"
"05"	"F14.8"	"Mental and behavioural disorders due to use of cocaine: Other mental and behavioural disorders"	TRUE	"psych_primary"
"05"	"F14.9"	"Mental and behavioural disorders due to use of cocaine: Unspecified mental and behavioural disorder"	TRUE	"psych_primary"
"05"	"F15.-"	"Mental and behavioural disorders due to use of other stimulants, including caffeine"	TRUE	"group_heading"
"05"	"F15.0"	"Mental and behavioural disorders due to use of other stimulants, including caffeine: Acute intoxication"	TRUE	"psych_primary"
"05"	"F15.1"	"Mental and behavioural disorders due to use of other stimulants, including caffeine: Harmful use"	TRUE	"psych_primary"
"05"	"F15.2"	"Mental and behavioural disorders due to use of other stimulants, including caffeine: Dependence syndrome"	TRUE	"psych_primary"
"05"	"F15.3"	"Mental and behavioural disorders due to use of other stimulants, including caffeine: Withdrawal state"	TRUE	"psych_primary"
"05"	"F15.4"	"Mental and behavioural disorders due to use of other stimulants, including caffeine: Withdrawal state with delirium"	TRUE	"psych_primary"
"05"	"F15.5"	"Mental and behavioural disorders due to use of other stimulants, including caffeine: Psychotic disorder"	TRUE	"psych_primary"
"05"	"F15.6"	"Mental and behavioural disorders due to use of other stimulants, including caffeine: Amnesic syndrome"	TRUE	"psych_primary"
"05"	"F15.7"	"Mental and behavioural disorders due to use of other stimulants, including caffeine: Residual and late-onset psychotic disorder"	TRUE	"psych_primary"
"05"	"F15.8"	"Mental and behavioural disorders due to use of other stimulants, including caffeine: Other mental and behavioural disorders"	TRUE	"psych_primary"
"05"	"F15.9"	"Mental and behavioural disorders due to use of other stimulants, including caffeine: Unspecified mental and behavioural disorder"	TRUE	"psych_primary"
"05"	"F16.-"	"Mental and behavioural disorders due to use of hallucinogens"	TRUE	"group_heading"
"05"	"F16.0"	"Mental and behavioural disorders due to use of hallucinogens: Acute intoxication"	TRUE	"psych_primary"
"05"	"F16.1"	"Mental and behavioural disorders due to use of hallucinogens: Harmful use"	TRUE	"psych_primary"
"05"	"F16.2"	"Mental and behavioural disorders due to use of hallucinogens: Dependence syndrome"	TRUE	"psych_primary"
"05"	"F16.3"	"Mental and behavioural disorders due to use of hallucinogens: Withdrawal state"	TRUE	"psych_primary"
"05"	"F16.4"	"Mental and behavioural disorders due to use of hallucinogens: Withdrawal state with delirium"	TRUE	"psych_primary"
"05"	"F16.5"	"Mental and behavioural disorders due to use of hallucinogens: Psychotic disorder"	TRUE	"psych_primary"
"05"	"F16.6"	"Mental and behavioural disorders due to use of hallucinogens: Amnesic syndrome"	TRUE	"psych_primary"
"05"	"F16.7"	"Mental and behavioural disorders due to use of hallucinogens: Residual and late-onset psychotic disorder"	TRUE	"psych_primary"
"05"	"F16.8"	"Mental and behavioural disorders due to use of hallucinogens: Other mental and behavioural disorders"	TRUE	"psych_primary"
"05"	"F16.9"	"Mental and behavioural disorders due to use of hallucinogens: Unspecified mental and behavioural disorder"	TRUE	"psych_primary"
"05"	"F17.-"	"Mental and behavioural disorders due to use of tobacco"	TRUE	"group_heading"
"05"	"F17.0"	"Mental and behavioural disorders due to use of tobacco: Acute intoxication"	TRUE	"psych_primary"
"05"	"F17.1"	"Mental and behavioural disorders due to use of tobacco: Harmful use"	TRUE	"psych_primary"
"05"	"F17.2"	"Mental and behavioural disorders due to use of tobacco: Dependence syndrome"	TRUE	"psych_primary"
"05"	"F17.3"	"Mental and behavioural disorders due to use of tobacco: Withdrawal state"	TRUE	"psych_primary"
"05"	"F17.4"	"Mental and behavioural disorders due to use of tobacco: Withdrawal state with delirium"	TRUE	"psych_primary"
"05"	"F17.5"	"Mental and behavioural disorders due to use of tobacco: Psychotic disorder"	TRUE	"psych_primary"
"05"	"F17.6"	"Mental and behavioural disorders due to use of tobacco: Amnesic syndrome"	TRUE	"psych_primary"
"05"	"F17.7"	"Mental and behavioural disorders due to use of tobacco: Residual and late-onset psychotic disorder"	TRUE	"psych_primary"
"05"	"F17.8"	"Mental and behavioural disorders due to use of tobacco: Other mental and behavioural disorders"	TRUE	"psych_primary"
"05"	"F17.9"	"Mental and behavioural disorders due to use of tobacco: Unspecified mental and behavioural disorder"	TRUE	"psych_primary"
"05"	"F18.-"	"Mental and behavioural disorders due to use of volatile solvents"	TRUE	"group_heading"
"05"	"F18.0"	"Mental and behavioural disorders due to use of volatile solvents: Acute intoxication"	TRUE	"psych_primary"
"05"	"F18.1"	"Mental and behavioural disorders due to use of volatile solvents: Harmful use"	TRUE	"psych_primary"
"05"	"F18.2"	"Mental and behavioural disorders due to use of volatile solvents: Dependence syndrome"	TRUE	"psych_primary"
"05"	"F18.3"	"Mental and behavioural disorders due to use of volatile solvents: Withdrawal state"	TRUE	"psych_primary"
"05"	"F18.4"	"Mental and behavioural disorders due to use of volatile solvents: Withdrawal state with delirium"	TRUE	"psych_primary"
"05"	"F18.5"	"Mental and behavioural disorders due to use of volatile solvents: Psychotic disorder"	TRUE	"psych_primary"
"05"	"F18.6"	"Mental and behavioural disorders due to use of volatile solvents: Amnesic syndrome"	TRUE	"psych_primary"
"05"	"F18.7"	"Mental and behavioural disorders due to use of volatile solvents: Residual and late-onset psychotic disorder"	TRUE	"psych_primary"
"05"	"F18.8"	"Mental and behavioural disorders due to use of volatile solvents: Other mental and behavioural disorders"	TRUE	"psych_primary"
"05"	"F18.9"	"Mental and behavioural disorders due to use of volatile solvents: Unspecified mental and behavioural disorder"	TRUE	"psych_primary"
"05"	"F19.-"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances"	TRUE	"group_heading"
"05"	"F19.0"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Acute intoxication"	TRUE	"psych_primary"
"05"	"F19.1"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Harmful use"	TRUE	"psych_primary"
"05"	"F19.2"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Dependence syndrome"	TRUE	"psych_primary"
"05"	"F19.3"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state"	TRUE	"psych_primary"
"05"	"F19.4"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state with delirium"	TRUE	"psych_primary"
"05"	"F19.5"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Psychotic disorder"	TRUE	"psych_primary"
"05"	"F19.6"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Amnesic syndrome"	TRUE	"psych_primary"
"05"	"F19.7"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Residual and late-onset psychotic disorder"	TRUE	"psych_primary"
"05"	"F19.8"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Other mental and behavioural disorders"	TRUE	"psych_primary"
"05"	"F19.9"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Unspecified mental and behavioural disorder"	TRUE	"psych_primary"
"05"	"F20.-"	"Schizophrenia"	TRUE	"group_heading"
"05"	"F20.0"	"Paranoid schizophrenia"	TRUE	"psych_primary"
"05"	"F20.1"	"Hebephrenic schizophrenia"	TRUE	"psych_primary"
"05"	"F20.2"	"Catatonic schizophrenia"	TRUE	"psych_primary"
"05"	"F20.3"	"Undifferentiated schizophrenia"	TRUE	"psych_primary"
"05"	"F20.4"	"Post-schizophrenic depression"	TRUE	"psych_primary"
"05"	"F20.5"	"Residual schizophrenia"	TRUE	"psych_primary"
"05"	"F20.6"	"Simple schizophrenia"	TRUE	"psych_primary"
"05"	"F20.8"	"Other schizophrenia"	TRUE	"psych_primary"
"05"	"F20.9"	"Schizophrenia, unspecified"	TRUE	"psych_primary"
"05"	"F21"	"Schizotypal disorder"	TRUE	"psych_primary"
"05"	"F22.-"	"Persistent delusional disorders"	TRUE	"group_heading"
"05"	"F22.0"	"Delusional disorder"	TRUE	"psych_primary"
"05"	"F22.8"	"Other persistent delusional disorders"	TRUE	"psych_primary"
"05"	"F22.9"	"Persistent delusional disorder, unspecified"	TRUE	"psych_primary"
"05"	"F23.-"	"Acute and transient psychotic disorders"	TRUE	"group_heading"
"05"	"F23.0"	"Acute polymorphic psychotic disorder without symptoms of schizophrenia"	TRUE	"psych_primary"
"05"	"F23.1"	"Acute polymorphic psychotic disorder with symptoms of schizophrenia"	TRUE	"psych_primary"
"05"	"F23.2"	"Acute schizophrenia-like psychotic disorder"	TRUE	"psych_primary"
"05"	"F23.3"	"Other acute predominantly delusional psychotic disorders"	TRUE	"psych_primary"
"05"	"F23.8"	"Other acute and transient psychotic disorders"	TRUE	"psych_primary"
"05"	"F23.9"	"Acute and transient psychotic disorder, unspecified"	TRUE	"psych_primary"
"05"	"F24"	"Induced delusional disorder"	TRUE	"psych_primary"
"05"	"F25.-"	"Schizoaffective disorders"	TRUE	"group_heading"
"05"	"F25.0"	"Schizoaffective disorder, manic type"	TRUE	"psych_primary"
"05"	"F25.1"	"Schizoaffective disorder, depressive type"	TRUE	"psych_primary"
"05"	"F25.2"	"Schizoaffective disorder, mixed type"	TRUE	"psych_primary"
"05"	"F25.8"	"Other schizoaffective disorders"	TRUE	"psych_primary"
"05"	"F25.9"	"Schizoaffective disorder, unspecified"	TRUE	"psych_primary"
"05"	"F28"	"Other nonorganic psychotic disorders"	TRUE	"psych_primary"
"05"	"F29"	"Unspecified nonorganic psychosis"	TRUE	"psych_primary"
"05"	"F30.-"	"Manic episode"	TRUE	"group_heading"
"05"	"F30.0"	"Hypomania"	TRUE	"psych_primary"
"05"	"F30.1"	"Mania without psychotic symptoms"	TRUE	"psych_primary"
"05"	"F30.2"	"Mania with psychotic symptoms"	TRUE	"psych_primary"
"05"	"F30.8"	"Other manic episodes"	TRUE	"psych_primary"
"05"	"F30.9"	"Manic episode, unspecified"	TRUE	"psych_primary"
"05"	"F31.-"	"Bipolar affective disorder"	TRUE	"group_heading"
"05"	"F31.0"	"Bipolar affective disorder, current episode hypomanic"	TRUE	"psych_primary"
"05"	"F31.1"	"Bipolar affective disorder, current episode manic without psychotic symptoms"	TRUE	"psych_primary"
"05"	"F31.2"	"Bipolar affective disorder, current episode manic with psychotic symptoms"	TRUE	"psych_primary"
"05"	"F31.3"	"Bipolar affective disorder, current episode mild or moderate depression"	TRUE	"psych_primary"
"05"	"F31.4"	"Bipolar affective disorder, current episode severe depression without psychotic symptoms"	TRUE	"psych_primary"
"05"	"F31.5"	"Bipolar affective disorder, current episode severe depression with psychotic symptoms"	TRUE	"psych_primary"
"05"	"F31.6"	"Bipolar affective disorder, current episode mixed"	TRUE	"psych_primary"
"05"	"F31.7"	"Bipolar affective disorder, currently in remission"	TRUE	"psych_primary"
"05"	"F31.8"	"Other bipolar affective disorders"	TRUE	"psych_primary"
"05"	"F31.9"	"Bipolar affective disorder, unspecified"	TRUE	"psych_primary"
"05"	"F32.-"	"Depressive episode"	TRUE	"group_heading"
"05"	"F32.0"	"Mild depressive episode"	TRUE	"psych_primary"
"05"	"F32.1"	"Moderate depressive episode"	TRUE	"psych_primary"
"05"	"F32.2"	"Severe depressive episode without psychotic symptoms"	TRUE	"psych_primary"
"05"	"F32.3"	"Severe depressive episode with psychotic symptoms"	TRUE	"psych_primary"
"05"	"F32.8"	"Other depressive episodes"	TRUE	"psych_primary"
"05"	"F32.9"	"Depressive episode, unspecified"	TRUE	"psych_primary"
"05"	"F33.-"	"Recurrent depressive disorder"	TRUE	"group_heading"
"05"	"F33.0"	"Recurrent depressive disorder, current episode mild"	TRUE	"psych_primary"
"05"	"F33.1"	"Recurrent depressive disorder, current episode moderate"	TRUE	"psych_primary"
"05"	"F33.2"	"Recurrent depressive disorder, current episode severe without psychotic symptoms"	TRUE	"psych_primary"
"05"	"F33.3"	"Recurrent depressive disorder, current episode severe with psychotic symptoms"	TRUE	"psych_primary"
"05"	"F33.4"	"Recurrent depressive disorder, currently in remission"	TRUE	"psych_primary"
"05"	"F33.8"	"Other recurrent depressive disorders"	TRUE	"psych_primary"
"05"	"F33.9"	"Recurrent depressive disorder, unspecified"	TRUE	"psych_primary"
"05"	"F34.-"	"Persistent mood [affective] disorders"	TRUE	"group_heading"
"05"	"F34.0"	"Cyclothymia"	TRUE	"psych_primary"
"05"	"F34.1"	"Dysthymia"	TRUE	"psych_primary"
"05"	"F34.8"	"Other persistent mood [affective] disorders"	TRUE	"psych_primary"
"05"	"F34.9"	"Persistent mood [affective] disorder, unspecified"	TRUE	"psych_primary"
"05"	"F38.-"	"Other mood [affective] disorders"	TRUE	"group_heading"
"05"	"F38.0"	"Other single mood [affective] disorders"	TRUE	"psych_primary"
"05"	"F38.1"	"Other recurrent mood [affective] disorders"	TRUE	"psych_primary"
"05"	"F38.8"	"Other specified mood [affective] disorders"	TRUE	"psych_primary"
"05"	"F39"	"Unspecified mood [affective] disorder"	TRUE	"psych_primary"
"05"	"F40.-"	"Phobic anxiety disorders"	TRUE	"group_heading"
"05"	"F40.0"	"Agoraphobia"	TRUE	"psych_primary"
"05"	"F40.1"	"Social phobias"	TRUE	"psych_primary"
"05"	"F40.2"	"Specific (isolated) phobias"	TRUE	"psych_primary"
"05"	"F40.8"	"Other phobic anxiety disorders"	TRUE	"psych_primary"
"05"	"F40.9"	"Phobic anxiety disorder, unspecified"	TRUE	"psych_primary"
"05"	"F41.-"	"Other anxiety disorders"	TRUE	"group_heading"
"05"	"F41.0"	"Panic disorder [episodic paroxysmal anxiety]"	TRUE	"psych_primary"
"05"	"F41.1"	"Generalized anxiety disorder"	TRUE	"psych_primary"
"05"	"F41.2"	"Mixed anxiety and depressive disorder"	TRUE	"psych_primary"
"05"	"F41.3"	"Other mixed anxiety disorders"	TRUE	"psych_primary"
"05"	"F41.8"	"Other specified anxiety disorders"	TRUE	"psych_primary"
"05"	"F41.9"	"Anxiety disorder, unspecified"	TRUE	"psych_primary"
"05"	"F42.-"	"Obsessive-compulsive disorder"	TRUE	"group_heading"
"05"	"F42.0"	"Predominantly obsessional thoughts or ruminations"	TRUE	"psych_primary"
"05"	"F42.1"	"Predominantly compulsive acts [obsessional rituals]"	TRUE	"psych_primary"
"05"	"F42.2"	"Mixed obsessional thoughts and acts"	TRUE	"psych_primary"
"05"	"F42.8"	"Other obsessive-compulsive disorders"	TRUE	"psych_primary"
"05"	"F42.9"	"Obsessive-compulsive disorder, unspecified"	TRUE	"psych_primary"
"05"	"F43.-"	"Reaction to severe stress, and adjustment disorders"	TRUE	"group_heading"
"05"	"F43.0"	"Acute stress reaction"	TRUE	"psych_primary"
"05"	"F43.1"	"Post-traumatic stress disorder"	TRUE	"psych_primary"
"05"	"F43.2"	"Adjustment disorders"	TRUE	"psych_primary"
"05"	"F43.8"	"Other reactions to severe stress"	TRUE	"psych_primary"
"05"	"F43.9"	"Reaction to severe stress, unspecified"	TRUE	"psych_primary"
"05"	"F44.-"	"Dissociative [conversion] disorders"	TRUE	"group_heading"
"05"	"F44.0"	"Dissociative amnesia"	TRUE	"psych_primary"
"05"	"F44.1"	"Dissociative fugue"	TRUE	"psych_primary"
"05"	"F44.2"	"Dissociative stupor"	TRUE	"psych_primary"
"05"	"F44.3"	"Trance and possession disorders"	TRUE	"psych_primary"
"05"	"F44.4"	"Dissociative motor disorders"	TRUE	"psych_primary"
"05"	"F44.5"	"Dissociative convulsions"	TRUE	"psych_primary"
"05"	"F44.6"	"Dissociative anaesthesia and sensory loss"	TRUE	"psych_primary"
"05"	"F44.7"	"Mixed dissociative [conversion] disorders"	TRUE	"psych_primary"
"05"	"F44.8"	"Other dissociative [conversion] disorders"	TRUE	"psych_primary"
"05"	"F44.9"	"Dissociative [conversion] disorder, unspecified"	TRUE	"psych_primary"
"05"	"F45.-"	"Somatoform disorders"	TRUE	"group_heading"
"05"	"F45.0"	"Somatization disorder"	TRUE	"psych_primary"
"05"	"F45.1"	"Undifferentiated somatoform disorder"	TRUE	"psych_primary"
"05"	"F45.2"	"Hypochondriacal disorder"	TRUE	"psych_primary"
"05"	"F45.3"	"Somatoform autonomic dysfunction"	TRUE	"psych_primary"
"05"	"F45.4"	"Persistent somatoform pain disorder"	TRUE	"psych_primary"
"05"	"F45.8"	"Other somatoform disorders"	TRUE	"psych_primary"
"05"	"F45.9"	"Somatoform disorder, unspecified"	TRUE	"psych_primary"
"05"	"F48.-"	"Other neurotic disorders"	TRUE	"group_heading"
"05"	"F48.0"	"Neurasthenia"	TRUE	"psych_primary"
"05"	"F48.1"	"Depersonalization-derealization syndrome"	TRUE	"psych_primary"
"05"	"F48.8"	"Other specified neurotic disorders"	TRUE	"psych_primary"
"05"	"F48.9"	"Neurotic disorder, unspecified"	TRUE	"psych_primary"
"05"	"F50.-"	"Eating disorders"	TRUE	"group_heading"
"05"	"F50.0"	"Anorexia nervosa"	TRUE	"psych_primary"
"05"	"F50.1"	"Atypical anorexia nervosa"	TRUE	"psych_primary"
"05"	"F50.2"	"Bulimia nervosa"	TRUE	"psych_primary"
"05"	"F50.3"	"Atypical bulimia nervosa"	TRUE	"psych_primary"
"05"	"F50.4"	"Overeating associated with other psychological disturbances"	TRUE	"psych_primary"
"05"	"F50.5"	"Vomiting associated with other psychological disturbances"	TRUE	"psych_primary"
"05"	"F50.8"	"Other eating disorders"	TRUE	"psych_primary"
"05"	"F50.9"	"Eating disorder, unspecified"	TRUE	"psych_primary"
"05"	"F51.-"	"Nonorganic sleep disorders"	TRUE	"group_heading"
"05"	"F51.0"	"Nonorganic insomnia"	TRUE	"psych_primary"
"05"	"F51.1"	"Nonorganic hypersomnia"	TRUE	"psych_primary"
"05"	"F51.2"	"Nonorganic disorder of the sleep-wake schedule"	TRUE	"psych_primary"
"05"	"F51.3"	"Sleepwalking [somnambulism]"	TRUE	"psych_primary"
"05"	"F51.4"	"Sleep terrors [night terrors]"	TRUE	"psych_primary"
"05"	"F51.5"	"Nightmares"	TRUE	"psych_primary"
"05"	"F51.8"	"Other nonorganic sleep disorders"	TRUE	"psych_primary"
"05"	"F51.9"	"Nonorganic sleep disorder, unspecified"	TRUE	"psych_primary"
"05"	"F52.-"	"Sexual dysfunction, not caused by organic disorder or disease"	TRUE	"group_heading"
