"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Other Antidiabetic"
"2996041000033119"	"Actos 45mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"45.000mg"	NA	"Pioglitazone"
"3191341000033115"	"Rosiglitazone 1mg / Metformin 500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"500.000mg + 1.000mg"	"06010203"	"Rosiglitazone"
"3191441000033114"	"Rosiglitazone 2mg / Metformin 500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"500.000mg + 2.000mg"	"06010203"	"Rosiglitazone"
"3200541000033116"	"Rosiglitazone 2mg / Metformin 1g tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"1.000gram + 2.000mg"	"06010203"	"Rosiglitazone"
"3200641000033115"	"Rosiglitazone 4mg / Metformin 1g tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"1.000gram + 4.000mg"	"06010203"	"Rosiglitazone"
"3200741000033112"	"Avandamet 2mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"1.000gram + 2.000mg"	NA	"Rosiglitazone"
"3200841000033119"	"Avandamet 4mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"1.000gram + 4.000mg"	NA	"Rosiglitazone"
"3983941000033115"	"Pioglitazone 15mg / Metformin 850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"850.000mg + 15.000mg"	"06010203"	"Pioglitazone"
"3984241000033114"	"Competact 15mg/850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"850.000mg + 15.000mg"	NA	"Pioglitazone"
"3993941000033119"	"Prandin 0.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"500.000microgram"	NA	"Repaglinide"
"3994041000033117"	"Prandin 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"1.000mg"	NA	"Repaglinide"
"3994141000033118"	"Prandin 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"2.000mg"	NA	"Repaglinide"
"6391141000033118"	"Enyglid 0.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"500.000microgram"	NA	"Repaglinide"
"6391341000033115"	"Enyglid 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"2.000mg"	NA	"Repaglinide"
"6526041000033117"	"Glizofar 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"30.000mg"	NA	"Pioglitazone"
"8839341000033116"	"Glidipion 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"30.000mg"	NA	"Pioglitazone"
"10251341000033112"	"Glidipion 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"15.000mg"	NA	"Pioglitazone"
"10336941000033112"	"Diabiom 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"15.000mg"	NA	"Pioglitazone"
"10337041000033113"	"Diabiom 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"30.000mg"	NA	"Pioglitazone"
