"medcode"	"readcode"	"desc"
"5513"	"8HT5.00"	"referral to hypertension clinic"
"57288"	"G241.00"	"secondary benign hypertension"
"57987"	"G234.00"	"hyperten heart&renal dis+both(congestv)heart and renal fail"
"59383"	"G240000"	"secondary malignant renovascular hypertension"
"61166"	"G21z000"	"hypertensive heart disease nos without ccf"
"62718"	"G21z100"	"hypertensive heart disease nos with ccf"
"63000"	"G231.00"	"benign hypertensive heart and renal disease"
"63466"	"G23..00"	"hypertensive heart and renal disease"
"6702"	"F421300"	"hypertensive retinopathy"
"67232"	"G230.00"	"malignant hypertensive heart and renal disease"
"68659"	"G23z.00"	"hypertensive heart and renal disease nos"
"69753"	"Gyu2.00"	"[x]hypertensive diseases"
"7057"	"G2z..00"	"hypertensive disease nos"
"72668"	"G210100"	"malignant hypertensive heart disease with ccf"
"7329"	"G24..00"	"secondary hypertension"
"73293"	"G240z00"	"secondary malignant hypertension nos"
"799"	"G20..00"	"essential hypertension"
"83473"	"G203.00"	"diastolic hypertension"
"8732"	"G2...11"	"bp - hypertensive disease"
"8857"	"G21z011"	"cardiomegaly - hypertensive"
"95334"	"G210000"	"malignant hypertensive heart disease without ccf"
"97533"	"Gyu2100"	"[x]hypertension secondary to other renal disorders"
"98230"	"67H8.00"	"lifestyle advice regarding hypertension"
"99259"	"662q.00"	"trial reduction of antihypertensive therapy"
"4344"	"9N03.00"	"seen in hypertension clinic"
"4668"	"G22..00"	"hypertensive renal disease"
"10961"	"9h31.00"	"excepted from hypertension qual indicators: patient unsuit"
"10976"	"9h32.00"	"excepted from hypertension qual indicators: informed dissent"
"12948"	"662H.00"	"hypertension treatm.stopped"
"20497"	"TJC7z00"	"adverse reaction to antihypertensives nos"
"21660"	"TJC7.00"	"adverse reaction to other antihypertensives"
"22356"	"1JD..00"	"suspected hypertension"
"28684"	"G233.00"	"hypertensive heart and renal disease with renal failure"
"28874"	"9OI8.00"	"hypertens.monitor phone invite"
"29310"	"G22z.11"	"renal hypertension"
"31117"	"9OI4.00"	"hypertens.monitor.1st letter"
"31127"	"9OI5.00"	"hypertens.monitor 2nd letter"
"31175"	"9OI6.00"	"hypertens.monitor 3rd letter"
"34108"	"9h3..00"	"exception reporting: hypertension quality indicators"
"34192"	"9OIZ.00"	"hypertens.monitoring admin.nos"
"34281"	"9N4L.00"	"dna - did not attend hypertension clinic"
"36305"	"9OIA.00"	"hypertension monitor.chck done"
"41634"	"9OI7.00"	"hypertens.monitor verbal inv."
"43220"	"9OI2.00"	"refuses hypertension monitor."
"45149"	"9OI1.00"	"attends hypertension monitor."
"61660"	"G211000"	"benign hypertensive heart disease without ccf"
"63260"	"SLC6z00"	"hypertensive agent poisoning nos"
"72226"	"SLC6.00"	"other hypertensive agent poisoning"
"85944"	"7Q01.00"	"high cost hypertension drugs"
"95359"	"662r.00"	"trial withdrawal of antihypertensive therapy"
"109771"	"662P100"	"telehealth hypertension monitoring"
"109942"	"9OIB.00"	"borderline hypertension monitoring first letter"
"110631"	"661N600"	"hypertension self-management plan review"
"112611"	"SyuFT00"	"[x]poisoning by other antihypertensive drugs, nec"
"113762"	"8OAH.11"	"provision of written information about diabetes & hypertensn"
"114710"	"9OID.00"	"borderline hypertension monitoring third letter"
"114781"	"9OIC.00"	"borderline hypertension monitoring second letter"
"8296"	"6624.00"	"borderline hyperten:yearly obs"
"28828"	"9OI3.00"	"hyperten.monitor offer default"
"108136"	"G250.00"	"stage 1 hyperten (nice 2011) without evidnce end organ damge"
"109797"	"G251.00"	"stage 1 hyperten (nice 2011) with evidnce end organ damge"
"110087"	"8OAH.00"	"provision of written information about diabetes and high bp"
