"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"	"Statin"
"9153"	409611000001108	"75341020"	"Lescol 40mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Fluvastatin sodium"	"40mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"9315"	226225001000027104	"84282020"	"Lipobay 100microgram Tablet (Bayer Plc)"	"Cerivastatin sodium"	"100microgram"	"Tablet"	"Oral"	"02120400"	"Statins"	"Other"
"9316"	226235001000027104	"84283020"	"Lipobay 200microgram Tablet (Bayer Plc)"	"Cerivastatin sodium"	"200microgram"	"Tablet"	"Oral"	"02120400"	"Statins"	"Other"
"9897"	408024009	"76618020"	"Rosuvastatin 40mg tablets"	"Rosuvastatin calcium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"9920"	4896511000001103	"87027020"	"Simvador 20mg tablets (Discovery Pharmaceuticals)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"9930"	4172111000001108	"76259020"	"Crestor 40mg tablets (AstraZeneca UK Ltd)"	"Rosuvastatin calcium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"10172"	414178007	"89246020"	"Simvastatin 40mg / Ezetimibe 10mg tablets"	"Simvastatin/Ezetimibe"	"40mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Statins"	"Other"
"10183"	240715001000027104	"89260020"	"Simvastatin 40mg with ezetimibe 10mg tablet"	"Simvastatin/Ezetimibe"	"40mg + 10mg"	"Tablets"	"Oral"	"02120200/02120400"	"Ezetimibe/Statins"	"Other"
"10206"	240725001000027104	"89262020"	"Simvastatin 80mg with ezetimibe 10mg tablet"	"Simvastatin/Ezetimibe"	"80mg + 10mg"	"Tablets"	"Oral"	"02120200/02120400"	"Ezetimibe/Statins"	"Other"
"11627"	36566411000001104	"75346020"	"Fluvastatin 80mg modified-release tablets"	"Fluvastatin sodium"	"80mg"	"Modified-release tablet"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"11815"	240705001000027104	"89258020"	"Simvastatin 20mg with ezetimibe 10mg tablet"	"Simvastatin/Ezetimibe"	"20mg + 10mg"	"Tablets"	"Oral"	"02120200/02120400"	"Ezetimibe/Statins"	"Other"
"13041"	4896211000001101	"87025020"	"Simvador 10mg tablets (Discovery Pharmaceuticals)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"14219"	414179004	"89250020"	"Simvastatin 80mg / Ezetimibe 10mg tablets"	"Simvastatin/Ezetimibe"	"80mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Statins"	"Other"
"15252"	4171311000001101	"76624020"	"Crestor 20mg tablets (AstraZeneca UK Ltd)"	"Rosuvastatin calcium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"16186"	9310611000001104	"89255020"	"Inegy 10mg/80mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin/Ezetimibe"	"80mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Statins"	"Other"
"17059"	9310311000001108	"89248020"	"Inegy 10mg/40mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin/Ezetimibe"	"40mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Statins"	"Other"
"17683"	756111000001109	"81729020"	"Lipitor 80mg tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"17688"	9747511000001108	"89883020"	"Crestor 5mg tablets (AstraZeneca UK Ltd)"	"Rosuvastatin calcium"	"5mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"18442"	201215001000027104	"76531020"	"Lipobay 400microgram Tablet (Bayer Plc)"	"Cerivastatin sodium"	"400microgram"	"Tablet"	"Oral"	"02120400"	"Statins"	"Other"
"21020"	9309911000001100	"89244020"	"Inegy 10mg/20mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin/Ezetimibe"	"20mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Statins"	"Other"
"22579"	113211000001106	"76460020"	"Zocor 80mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"24509"	NA	"!6579801"	"SIMVASTATIN"	""	""	""	""	"00000000"	"Unknown"	"Simvastatin"
"29438"	NA	"!6579802"	"SIMVASTATIN"	""	""	""	""	"00000000"	"Unknown"	"Simvastatin"
"31658"	134491009	"76528020"	"Cerivastatin 800microgram tablets"	"Cerivastatin sodium"	"800microgram"	"Tablet"	"Oral"	"00000000"	"Unknown"	"Other"
"31930"	238335001000027104	"88103020"	"Zocor heart-pro 10mg Tablet (McNeil Products Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"32909"	4579211000001101	"65854020"	"Simvastatin 80mg tablets (A A H Pharmaceuticals Ltd)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"32921"	163075001000027104	"69857020"	"Pravastatin 10mg Tablet (Dr Reddy's Laboratories (UK) Ltd)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"33082"	4578811000001107	"65848020"	"Simvastatin 20mg tablets (A A H Pharmaceuticals Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34312"	4464011000001108	"66042020"	"Simvastatin 20mg tablets (Mylan)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34316"	4380911000001108	"65879020"	"Simvastatin 20mg tablets (Teva UK Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34353"	4464211000001103	"66045020"	"Simvastatin 40mg tablets (Mylan)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34366"	4466511000001106	"65924020"	"Simvastatin 20mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34376"	4381111000001104	"65883020"	"Simvastatin 40mg tablets (Teva UK Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34381"	4466711000001101	"65927020"	"Simvastatin 40mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34476"	134095001000027104	"65672020"	"Simvastatin 20mg Tablet (Ratiopharm UK Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34481"	4466211000001108	"65920020"	"Simvastatin 10mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34502"	4579011000001106	"65851020"	"Simvastatin 40mg tablets (A A H Pharmaceuticals Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34535"	4463811000001100	"66039020"	"Simvastatin 10mg tablets (Mylan)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34545"	134145001000027104	"65677020"	"Simvastatin 40mg Tablet (Ratiopharm UK Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34560"	134055001000027104	"65668020"	"Simvastatin 10mg Tablet (Ratiopharm UK Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34746"	136355001000027104	"65949020"	"Simvastatin 20mg Tablet (Niche Generics Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34814"	4480511000001107	"65905020"	"Simvastatin 20mg tablets (Wockhardt UK Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34820"	7977111000001100	"68205020"	"Pravastatin 40mg tablets (A A H Pharmaceuticals Ltd)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"34879"	136385001000027104	"65952020"	"Simvastatin 40mg Tablet (Niche Generics Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34891"	4467111000001104	"65962020"	"Simvastatin 20mg tablets (Kent Pharmaceuticals Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34907"	4480711000001102	"65910020"	"Simvastatin 40mg tablets (Wockhardt UK Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34955"	4578011000001101	"65829020"	"Simvastatin 10mg tablets (A A H Pharmaceuticals Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"34969"	4437211000001100	"65939020"	"Simvastatin 40mg tablets (Actavis UK Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"36377"	7943411000001102	"68275020"	"Pravastatin 20mg tablets (Teva UK Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"37434"	4580311000001109	"66208020"	"Simvastatin 40mg tablets (Sandoz Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"39060"	11551511000001108	"66656020"	"Simvastatin 20mg tablets (Dexcel-Pharma Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"39652"	256505001000027104	"96566020"	"Simvastatin 40mg/5ml oral solution sugar free"	"Simvastatin"	"40mg/5ml"	"Oral Suspension Sugar-free"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"39675"	183305001000027104	"72886020"	"Simvastatin 20mg/5ml Oral suspension (Martindale Pharmaceuticals Ltd)"	"Simvastatin"	"20mg/5ml"	"Oral Suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"39870"	15158611000001106	"96704020"	"Simvador 80mg tablets (Discovery Pharmaceuticals)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"40340"	4380611000001102	"65874020"	"Simvastatin 10mg tablets (Teva UK Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"40382"	7976911000001100	"68201020"	"Pravastatin 20mg tablets (A A H Pharmaceuticals Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"40601"	4465311000001105	"69804020"	"Simvastatin 20mg tablets (Ranbaxy (UK) Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"41657"	5476111000001102	"66993020"	"Simvastatin 80mg tablets (Teva UK Ltd)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"43218"	7943211000001101	"68272020"	"Pravastatin 10mg tablets (Teva UK Ltd)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"44528"	17305411000001100	"77364020"	"Simvastatin 20mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)"	"Simvastatin"	"4mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"44650"	11551711000001102	"66659020"	"Simvastatin 40mg tablets (Dexcel-Pharma Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"44878"	7630211000001106	"88014020"	"Ranzolont 10mg tablets (Ranbaxy (UK) Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"45219"	4467311000001102	"65967020"	"Simvastatin 40mg tablets (Kent Pharmaceuticals Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"45235"	4580111000001107	"66205020"	"Simvastatin 20mg tablets (Sandoz Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"45245"	4437011000001105	"65935020"	"Simvastatin 20mg tablets (Actavis UK Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"45346"	10414211000001100	"66066020"	"Simvastatin 40mg tablets (Arrow Generics Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"46878"	9804311000001100	"71629020"	"Simvastatin 40mg tablets (Almus Pharmaceuticals Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"46956"	10414411000001102	"66069020"	"Simvastatin 80mg tablets (Arrow Generics Ltd)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"47065"	19722511000001104	"00573021"	"Atorvastatin 20mg chewable tablets sugar free"	"Atorvastatin calcium trihydrate"	"20mg"	"Chewable tablet"	"Oral"	"00000000"	"Unknown"	"Atorvastatin"
"47090"	19722411000001104	"00569021"	"Atorvastatin 10mg chewable tablets sugar free"	"Atorvastatin calcium trihydrate"	"10mg"	"Chewable tablet"	"Oral"	"00000000"	"Unknown"	"Atorvastatin"
"47630"	19719611000001108	"00575021"	"Lipitor 20mg chewable tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Chewable tablet"	"Oral"	"00000000"	"Unknown"	"Atorvastatin"
"47721"	19719311000001104	"00571021"	"Lipitor 10mg chewable tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Chewable tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"47774"	10413811000001104	"66058020"	"Simvastatin 10mg tablets (Arrow Generics Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"47948"	13762911000001108	"66323020"	"Simvastatin 10mg tablets (Tillomed Laboratories Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"47988"	8113311000001107	"68735020"	"Pravastatin 40mg tablets (Mylan)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"48018"	10414011000001106	"66063020"	"Simvastatin 20mg tablets (Arrow Generics Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"48051"	4466911000001104	"65957020"	"Simvastatin 10mg tablets (Kent Pharmaceuticals Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"48058"	4465011000001107	"69800020"	"Simvastatin 10mg tablets (Ranbaxy (UK) Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"48078"	4436811000001101	"65932020"	"Simvastatin 10mg tablets (Actavis UK Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"48097"	7943611000001104	"68278020"	"Pravastatin 40mg tablets (Teva UK Ltd)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"48221"	17369311000001104	"37402020"	"Simvastatin 20mg/5ml oral suspension sugar free"	"Simvastatin"	"4mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"48346"	20528611000001104	"41848020"	"Atorvastatin 60mg tablets"	"Atorvastatin calcium trihydrate"	"60mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"48431"	17429811000001102	"37429020"	"Simvastatin 40mg/5ml oral suspension sugar free"	"Simvastatin"	"8mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"48518"	14158611000001100	"35411020"	"Atorvastatin 10mg/5ml oral solution"	"Atorvastatin calcium trihydrate"	"2mg/1ml"	"Oral solution"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"48867"	4574811000001104	"02512020"	"Simvastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"48973"	20528511000001104	"41846020"	"Atorvastatin 30mg tablets"	"Atorvastatin calcium trihydrate"	"30mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"49061"	16067211000001108	"02518020"	"Simvastatin 40mg tablets (Bristol Laboratories Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"49062"	4574611000001103	"02496020"	"Simvastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"49558"	20491911000001108	"41345020"	"Atorvastatin 20mg tablets (A A H Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"49587"	9804011000001104	"71634020"	"Simvastatin 80mg tablets (Almus Pharmaceuticals Ltd)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"49751"	20508311000001104	"41330020"	"Atorvastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"50236"	20576911000001104	"41912020"	"Atorvastatin 10mg tablets (Zentiva)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"50272"	20978811000001104	"42161020"	"Atorvastatin 40mg tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"50483"	10297511000001106	"02514020"	"Simvastatin 40mg tablets (Relonchem Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"50564"	10297311000001100	"02501020"	"Simvastatin 20mg tablets (Relonchem Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"50670"	19197811000001108	"02524020"	"Simvastatin 40mg tablets (Milpharm Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"50703"	18468511000001108	"02523020"	"Simvastatin 40mg tablets (Accord Healthcare Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"50754"	19733411000001104	"38510020"	"Simvastatin 20mg tablets (Medreich Plc)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"50788"	20978111000001108	"42167020"	"Atorvastatin 20mg tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"50790"	20448411000001104	"41343020"	"Atorvastatin 20mg tablets (Dexcel-Pharma Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"50882"	10618911000001100	"02515020"	"Simvastatin 40mg tablets (Somex Pharma)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"50925"	15174911000001104	"02542020"	"Pravastatin 10mg tablets (Sigma Pharmaceuticals Plc)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"50963"	20494711000001108	"41328020"	"Atorvastatin 40mg tablets (Teva UK Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"51085"	19733211000001104	"38509020"	"Simvastatin 10mg tablets (Medreich Plc)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
