"ProdCodeId"	"dmdid"	"Term.from.EMIS"	"ProductName"	"Formulation"	"RouteOfAdministration"	"DrugSubstanceName"	"SubstanceStrength"	"BNFChapter"	"DrugIssues"	"Gen"	"AP"
"242341000033113"	NA	"Chlorpromazine Hydrochloride Injection 25 mg/ml"	""	""	""	""	""	""	1000	1	"Chlorpromazine"
"246541000033119"	NA	"Chlorpromazine Hydrochloride Suppositories 100 mg"	""	""	""	""	""	""	400	1	"Chlorpromazine"
"246641000033118"	36137911000001104	"Chlorpromazine 100mg/5ml oral suspension sugar free"	"Chlorpromazine 100mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Chlorpromazine embonate"	"20.000mg/1.000ml"	""	10000	1	"Chlorpromazine"
"249041000033117"	321365003	"Chlorpromazine 10mg tablets"	"Chlorpromazine 10mg tablets"	"Tablet"	"Oral"	"Chlorpromazine hydrochloride"	"10.000mg"	"4060000"	100000	1	"Chlorpromazine"
"249141000033118"	321368001	"Chlorpromazine 100mg tablets"	"Chlorpromazine 100mg tablets"	"Tablet"	"Oral"	"Chlorpromazine hydrochloride"	"100.000mg"	"4060000"	600000	1	"Chlorpromazine"
"249241000033113"	321366002	"Chlorpromazine 25mg tablets"	"Chlorpromazine 25mg tablets"	"Tablet"	"Oral"	"Chlorpromazine hydrochloride"	"25.000mg"	"4060000"	1000000	1	"Chlorpromazine"
"249341000033115"	321367006	"Chlorpromazine 50mg tablets"	"Chlorpromazine 50mg tablets"	"Tablet"	"Oral"	"Chlorpromazine hydrochloride"	"50.000mg"	"4060000"	1000000	1	"Chlorpromazine"
"273641000033114"	4129911000001100	"Clopixol Acuphase 50mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Clopixol Acuphase 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol acetate"	"50.000mg/1.000ml"	"4020100"	700	1	"Zuclopenthixol"
"274841000033112"	4130411000001101	"Clopixol Acuphase 100mg/2ml solution for injection ampoules (Lundbeck Ltd)"	"Clopixol Acuphase 100mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol acetate"	"50.000mg/1.000ml"	"4020100"	600	1	"Zuclopenthixol"
"276041000033113"	178611000001106	"Clopixol 200mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Clopixol 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol decanoate"	"200.000mg/1.000ml"	"4020200"	100000	1	"Zuclopenthixol"
"276141000033112"	32911000001106	"Clopixol Conc 500mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Clopixol Conc 500mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol decanoate"	"500.000mg/1.000ml"	"4020200"	40000	1	"Zuclopenthixol"
"284941000033113"	3830311000001101	"Clozaril 25mg tablets (Viatris UK Healthcare Ltd)"	"Clozaril 25mg tablets"	"Tablet"	"Oral"	"Clozapine"	"25.000mg"	"4020100"	2000	2	"Clozapine"
"285041000033113"	3832011000001100	"Clozaril 100mg tablets (Viatris UK Healthcare Ltd)"	"Clozaril 100mg tablets"	"Tablet"	"Oral"	"Clozapine"	"100.000mg"	"4020100"	4000	2	"Clozapine"
"286941000033115"	827511000001102	"Clopixol 10mg tablets (Lundbeck Ltd)"	"Clopixol 10mg tablets"	"Tablet"	"Oral"	"Zuclopenthixol dihydrochloride"	"10.000mg"	"4020100"	80000	1	"Zuclopenthixol"
"287041000033119"	153611000001101	"Clopixol 2mg tablets (Lundbeck Ltd)"	"Clopixol 2mg tablets"	"Tablet"	"Oral"	"Zuclopenthixol dihydrochloride"	"2.000mg"	"4020100"	60000	1	"Zuclopenthixol"
"287141000033115"	618211000001102	"Clopixol 25mg tablets (Lundbeck Ltd)"	"Clopixol 25mg tablets"	"Tablet"	"Oral"	"Zuclopenthixol dihydrochloride"	"25.000mg"	"4020100"	20000	1	"Zuclopenthixol"
"287541000033112"	321574000	"Clozapine 100mg tablets"	"Clozapine 100mg tablets"	"Tablet"	"Oral"	"Clozapine"	"100.000mg"	"4020100"	50000	2	"Clozapine"
"287641000033113"	321573006	"Clozapine 25mg tablets"	"Clozapine 25mg tablets"	"Tablet"	"Oral"	"Clozapine"	"25.000mg"	"4020100"	30000	2	"Clozapine"
"419941000033113"	3104011000001105	"Depixol Low Volume 200mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Depixol Low Volume 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol decanoate"	"200.000mg/1.000ml"	"4020200"	20000	1	"Flupentixol"
"420141000033110"	3102111000001103	"Depixol 40mg/2ml solution for injection ampoules (Lundbeck Ltd)"	"Depixol 40mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol decanoate"	"20.000mg/1.000ml"	"4020200"	90000	1	"Flupentixol"
"420441000033119"	3100711000001101	"Depixol Conc 50mg/0.5ml solution for injection ampoules (Lundbeck Ltd)"	"Depixol Conc 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol decanoate"	"100.000mg/1.000ml"	"4020200"	20000	1	"Flupentixol"
"422941000033113"	3102911000001100	"Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Depixol 20mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol decanoate"	"20.000mg/1.000ml"	"4020100"	100000	1	"Flupentixol"
"423041000033115"	3101311000001105	"Depixol Conc 100mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Depixol Conc 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol decanoate"	"100.000mg/1.000ml"	"4020200"	100000	1	"Flupentixol"
"431741000033118"	3679611000001105	"Depixol 3mg tablets (Lundbeck Ltd)"	"Depixol 3mg tablets"	"Tablet"	"Oral"	"Flupentixol dihydrochloride"	"3.000mg"	"4020100"	30000	1	"Flupentixol"
"476541000033119"	463911000001104	"Dozic 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Dozic 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Haloperidol"	"1.000mg/1.000ml"	"4090300"	700	1	"Haloperidol"
"479841000033112"	416411000001101	"Dolmatil 400mg tablets (Sanofi)"	"Dolmatil 400mg tablets"	"Tablet"	"Oral"	"Sulpiride"	"400.000mg"	"4020100"	1000	1	"Sulpiride"
"480941000033116"	44411000001109	"Dolmatil 200mg tablets (Sanofi)"	"Dolmatil 200mg tablets"	"Tablet"	"Oral"	"Sulpiride"	"200.000mg"	"4020100"	20000	1	"Sulpiride"
"483141000033112"	NA	"Droperidol Injection 5mg/ml"	""	""	""	""	""	""	200	1	"Droperidol"
"483541000033115"	NA	"Droperidol Liquid 1mg/ml"	""	""	""	""	""	""	6000	1	"Droperidol"
"485041000033112"	NA	"Droperidol Tablets 10 mg"	""	""	""	""	""	""	30000	1	"Droperidol"
"529641000033116"	100011000001108	"Epilim 200mg/5ml liquid (Sanofi)"	"Epilim 200mg/5ml liquid"	"Oral solution"	"Oral"	"Sodium valproate"	"40.000mg/1.000ml"	"4080100"	500000	3	"Valproate"
"529841000033115"	489711000001100	"Epilim Chrono 200 tablets (Sanofi)"	"Epilim Chrono 200 tablets"	"Modified-release tablet"	"Oral"	"Sodium valproate"	"200.000mg"	"4080100"	1000000	3	"Valproate"
"529941000033111"	789911000001106	"Epilim Chrono 300 tablets (Sanofi)"	"Epilim Chrono 300 tablets"	"Modified-release tablet"	"Oral"	"Sodium valproate"	"300.000mg"	"4080100"	1000000	3	"Valproate"
"530041000033115"	739111000001100	"Epilim Chrono 500 tablets (Sanofi)"	"Epilim Chrono 500 tablets"	"Modified-release tablet"	"Oral"	"Sodium valproate"	"500.000mg"	"4080100"	2000000	3	"Valproate"
"532141000033115"	892411000001106	"Epilim 200mg/5ml syrup (Sanofi)"	"Epilim 200mg/5ml syrup"	"Oral solution"	"Oral"	"Sodium valproate"	"40.000mg/1.000ml"	"4080100"	100000	3	"Valproate"
"532541000033112"	552511000001100	"Epilim 100mg crushable tablets (Sanofi)"	"Epilim 100mg crushable tablets"	"Tablet"	"Oral"	"Sodium valproate"	"100.000mg"	"4080100"	300000	3	"Valproate"
"532641000033113"	889311000001108	"Epilim 200 gastro-resistant tablets (Sanofi)"	"Epilim 200 gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Sodium valproate"	"200.000mg"	"4080100"	1000000	3	"Valproate"
"532741000033116"	448711000001102	"Epilim 500 gastro-resistant tablets (Sanofi)"	"Epilim 500 gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Sodium valproate"	"500.000mg"	"4080100"	1000000	3	"Valproate"
"570941000033117"	3680311000001100	"Fentazin 2mg tablets (Advanz Pharma)"	"Fentazin 2mg tablets"	"Tablet"	"Oral"	"Perphenazine"	"2.000mg"	"4060000"	20000	1	"Perphenazine"
"571041000033110"	3680911000001104	"Fentazin 4mg tablets (Advanz Pharma)"	"Fentazin 4mg tablets"	"Tablet"	"Oral"	"Perphenazine"	"4.000mg"	"4060000"	10000	1	"Perphenazine"
"582041000033112"	36058511000001104	"Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes"	"Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine decanoate"	"25.000mg/1.000ml"	""	900	1	"Fluphenazine"
"582141000033111"	36058811000001104	"Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes"	"Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine decanoate"	"25.000mg/1.000ml"	""	500	1	"Fluphenazine"
"584641000033111"	36058411000001104	"Fluphenazine decanoate 25mg/1ml solution for injection ampoules"	"Fluphenazine decanoate 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine decanoate"	"25.000mg/1.000ml"	"4020200"	30000	1	"Fluphenazine"
"584741000033119"	NA	"Fluphenazine Enanthate Injection 25 mg/ml"	""	""	""	""	""	""	100	1	"Fluphenazine"
"584841000033112"	NA	"Fluspirilene Injection 2 mg/ ml"	""	""	""	""	""	""	700	1	"Fluspirilene"
"585041000033116"	NA	"Flupenthixol Decanoate Injection 200 mg/10 ml"	""	""	""	""	""	""	20	1	"Flupenthixol"
"585241000033112"	NA	"Flupenthixol Decanoate Injection (syringe) 20 ml/1 ml"	""	""	""	""	""	""	40	1	"Flupenthixol"
"585341000033119"	NA	"Flupenthixol Decanoate Injection (syringe) 40 mg/2 ml"	""	""	""	""	""	""	200	1	"Flupenthixol"
"585541000033114"	NA	"Flupenthixol Decanoate Injection 500 mg/5 ml"	""	""	""	""	""	""	30	1	"Flupenthixol"
"586641000033119"	36058211000001104	"Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules"	"Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine decanoate"	"25.000mg/1.000ml"	"4020200"	6000	1	"Fluphenazine"
"586741000033111"	36058311000001104	"Fluphenazine decanoate 250mg/10ml solution for injection vials"	"Fluphenazine decanoate 250mg/10ml solution for injection vials"	"Solution for injection"	"Intramuscular"	"Fluphenazine decanoate"	"25.000mg/1.000ml"	""	10	1	"Fluphenazine"
"586841000033118"	36058711000001104	"Fluphenazine decanoate 50mg/2ml solution for injection ampoules"	"Fluphenazine decanoate 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine decanoate"	"25.000mg/1.000ml"	"4020200"	4000	1	"Fluphenazine"
"586941000033114"	36058611000001104	"Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules"	"Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine decanoate"	"100.000mg/1.000ml"	"4020200"	7000	1	"Fluphenazine"
"587641000033116"	NA	"Flupenthixol Decanoate Injection 100 mg/1 ml ampoule"	""	""	""	""	""	""	70	1	"Flupenthixol"
"587741000033113"	36058111000001112	"Fluphenazine decanoate 100mg/1ml solution for injection ampoules"	"Fluphenazine decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine decanoate"	"100.000mg/1.000ml"	"4020200"	30000	1	"Fluphenazine"
"593441000033111"	843011000001101	"Fluanxol 1mg tablets (Lundbeck Ltd)"	"Fluanxol 1mg tablets"	"Tablet"	"Oral"	"Flupentixol dihydrochloride"	"1.000mg"	"4030400"	100000	1	"Flupentixol"
"593541000033112"	507511000001106	"Fluanxol 500microgram tablets (Lundbeck Ltd)"	"Fluanxol 500microgram tablets"	"Tablet"	"Oral"	"Flupentixol dihydrochloride"	"500.000microgram"	"4030400"	200000	1	"Flupentixol"
"595441000033112"	321412006	"Fluphenazine 1mg tablets"	"Fluphenazine 1mg tablets"	"Tablet"	"Oral"	"Fluphenazine hydrochloride"	"1.000mg"	"4020100"	30000	1	"Fluphenazine"
"595641000033114"	321413001	"Fluphenazine 2.5mg tablets"	"Fluphenazine 2.5mg tablets"	"Tablet"	"Oral"	"Fluphenazine hydrochloride"	"2.500mg"	""	3000	1	"Fluphenazine"
"595741000033117"	321414007	"Fluphenazine 5mg tablets"	"Fluphenazine 5mg tablets"	"Tablet"	"Oral"	"Fluphenazine hydrochloride"	"5.000mg"	""	3000	1	"Fluphenazine"
"658341000033110"	321448008	"Haloperidol 500microgram capsules"	"Haloperidol 500microgram capsules"	"Capsule"	"Oral"	"Haloperidol"	"500.000microgram"	"4090300"	700000	1	"Haloperidol"
"659241000033113"	NA	"Haloperidol Elixir 2 mg/5 ml"	""	""	""	""	""	""	1000	1	"Haloperidol"
"659441000033114"	3748011000001101	"Haldol decanoate 100mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)"	"Haldol Decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol decanoate"	"100.000mg/1.000ml"	"4020200"	20000	1	"Haloperidol"
"659541000033110"	3747311000001104	"Haldol decanoate 50mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)"	"Haldol Decanoate 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol decanoate"	"50.000mg/1.000ml"	"4020100"	10000	1	"Haloperidol"
"659641000033111"	36053411000001104	"Haloperidol 20mg/2ml solution for injection ampoules"	"Haloperidol 20mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular/ Intravenous"	"Haloperidol"	"10.000mg/1.000ml"	""	1000	1	"Haloperidol"
"659741000033119"	36053611000001104	"Haloperidol decanoate 100mg/1ml solution for injection ampoules"	"Haloperidol decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol decanoate"	"100.000mg/1.000ml"	"4020200"	20000	1	"Haloperidol"
"659841000033112"	36053711000001104	"Haloperidol decanoate 50mg/1ml solution for injection ampoules"	"Haloperidol decanoate 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol decanoate"	"50.000mg/1.000ml"	"4020200"	10000	1	"Haloperidol"
"659941000033116"	NA	"Haloperidol Injection 5 mg/ml"	""	""	""	""	""	""	30000	1	"Haloperidol"
"660341000033116"	321450000	"Haloperidol 5mg/5ml oral solution sugar free"	"Haloperidol 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Haloperidol"	"1.000mg/1.000ml"	"4090300"	100000	1	"Haloperidol"
"660441000033110"	NA	"Haloperidol Liquid 2mg/ml"	""	""	""	""	""	""	9000	1	"Haloperidol"
"661341000033112"	321420008	"Haloperidol 10mg/5ml oral solution sugar free"	"Haloperidol 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Haloperidol"	"2.000mg/1.000ml"	"4090300"	30000	1	"Haloperidol"
"661441000033118"	NA	"Haloperidol Oral liquid conc. 10 mg/ml"	""	""	""	""	""	""	600	1	"Haloperidol"
"661541000033117"	117911000001106	"Haldol 2mg/ml oral solution (Janssen-Cilag Ltd)"	"Haldol 2mg/ml oral solution"	"Oral solution"	"Oral"	"Haloperidol"	"2.000mg/1.000ml"	"4090300"	2000	1	"Haloperidol"
"662341000033115"	321416009	"Haloperidol 1.5mg tablets"	"Haloperidol 1.5mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"1.500mg"	"4090300"	600000	1	"Haloperidol"
"662441000033114"	321419002	"Haloperidol 20mg tablets"	"Haloperidol 20mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"20.000mg"	"4020100"	10000	1	"Haloperidol"
"662541000033110"	321417000	"Haloperidol 5mg tablets"	"Haloperidol 5mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"5.000mg"	"4090300"	600000	1	"Haloperidol"
"663241000033118"	321418005	"Haloperidol 10mg tablets"	"Haloperidol 10mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"10.000mg"	"4090300"	200000	1	"Haloperidol"
"663341000033111"	321451001	"Haloperidol 500microgram tablets"	"Haloperidol 500microgram tablets"	"Tablet"	"Oral"	"Haloperidol"	"500.000microgram"	"4090300"	100000	1	"Haloperidol"
"663441000033117"	271211000001102	"Haldol 10mg tablets (Janssen-Cilag Ltd)"	"Haldol 10mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"10.000mg"	""	600	1	"Haloperidol"
"663541000033116"	152111000001103	"Haldol 5mg tablets (Janssen-Cilag Ltd)"	"Haldol 5mg tablets"	"Tablet"	"Oral"	"Haloperidol"	"5.000mg"	""	1000	1	"Haloperidol"
"757541000033111"	4547611000001108	"Integrin 10mg capsules (Sterling-Winthrop)"	"Integrin 10mg capsules"	"Capsule"	"Oral"	"Oxypertine"	"10.000mg"	""	200	1	"Oxypertine"
"809341000033116"	3147211000001102	"Lamictal 100mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamictal 100mg dispersible tablets"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"100.000mg"	"4080100"	30000	3	"Lamotrigine"
"809441000033110"	3146411000001100	"Lamictal 25mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamictal 25mg dispersible tablets"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"25.000mg"	"4080100"	50000	3	"Lamotrigine"
"809541000033111"	3145811000001106	"Lamictal 5mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamictal 5mg dispersible tablets"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"5.000mg"	"4080100"	10000	3	"Lamotrigine"
"809641000033112"	322992003	"Lamotrigine 100mg dispersible tablets sugar free"	"Lamotrigine 100mg dispersible tablets sugar free"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"100.000mg"	"4080100"	200000	3	"Lamotrigine"
"809741000033115"	322991005	"Lamotrigine 25mg dispersible tablets sugar free"	"Lamotrigine 25mg dispersible tablets sugar free"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"25.000mg"	"4080100"	300000	3	"Lamotrigine"
"809841000033113"	36566611000001104	"Lamotrigine 5mg dispersible tablets sugar free"	"Lamotrigine 5mg dispersible tablets sugar free"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"5.000mg"	"4080100"	100000	3	"Lamotrigine"
"811041000033116"	869511000001104	"Largactil 50mg/2ml solution for injection ampoules (Sanofi)"	"Largactil 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Chlorpromazine hydrochloride"	"25.000mg/1.000ml"	"4060000"	2000	1	"Chlorpromazine"
"813441000033114"	2880511000001106	"Largactil Forte 100mg/5ml oral suspension (Sanofi)"	"Largactil Forte 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Chlorpromazine embonate"	"20.000mg/1.000ml"	""	4000	1	"Chlorpromazine"
"813741000033119"	379911000001101	"Largactil 25mg/5ml syrup (Sanofi)"	"Largactil 25mg/5ml syrup"	"Oral solution"	"Oral"	"Chlorpromazine hydrochloride"	"5.000mg/1.000ml"	""	10000	1	"Chlorpromazine"
"815741000033115"	911311000001102	"Largactil 10mg tablets (Sanofi)"	"Largactil 10mg tablets"	"Tablet"	"Oral"	"Chlorpromazine hydrochloride"	"10.000mg"	""	10000	1	"Chlorpromazine"
"815841000033113"	432111000001100	"Largactil 100mg tablets (Sanofi)"	"Largactil 100mg tablets"	"Tablet"	"Oral"	"Chlorpromazine hydrochloride"	"100.000mg"	""	30000	1	"Chlorpromazine"
"815941000033117"	511000001103	"Largactil 25mg tablets (Sanofi)"	"Largactil 25mg tablets"	"Tablet"	"Oral"	"Chlorpromazine hydrochloride"	"25.000mg"	""	60000	1	"Chlorpromazine"
"816041000033110"	910611000001102	"Largactil 50mg tablets (Sanofi)"	"Largactil 50mg tablets"	"Tablet"	"Oral"	"Chlorpromazine hydrochloride"	"50.000mg"	""	50000	1	"Chlorpromazine"
"816841000033115"	2928811000001105	"Lamictal 100mg tablets (GlaxoSmithKline UK Ltd)"	"Lamictal 100mg tablets"	"Tablet"	"Oral"	"Lamotrigine"	"100.000mg"	"4080100"	300000	3	"Lamotrigine"
"816941000033111"	2927711000001103	"Lamictal 50mg tablets (GlaxoSmithKline UK Ltd)"	"Lamictal 50mg tablets"	"Tablet"	"Oral"	"Lamotrigine"	"50.000mg"	"4080100"	200000	3	"Lamotrigine"
"817041000033112"	322982006	"Lamotrigine 100mg tablets"	"Lamotrigine 100mg tablets"	"Tablet"	"Oral"	"Lamotrigine"	"100.000mg"	"4080100"	3000000	3	"Lamotrigine"
"817141000033111"	322981004	"Lamotrigine 50mg tablets"	"Lamotrigine 50mg tablets"	"Tablet"	"Oral"	"Lamotrigine"	"50.000mg"	"4080100"	3000000	3	"Lamotrigine"
"817341000033114"	2925811000001101	"Lamictal 25mg tablets (GlaxoSmithKline UK Ltd)"	"Lamictal 25mg tablets"	"Tablet"	"Oral"	"Lamotrigine"	"25.000mg"	"4080100"	100000	3	"Lamotrigine"
"817441000033115"	322985008	"Lamotrigine 25mg tablets"	"Lamotrigine 25mg tablets"	"Tablet"	"Oral"	"Lamotrigine"	"25.000mg"	"4080100"	2000000	3	"Lamotrigine"
"817741000033110"	3145211000001105	"Lamictal 200mg tablets (GlaxoSmithKline UK Ltd)"	"Lamictal 200mg tablets"	"Tablet"	"Oral"	"Lamotrigine"	"200.000mg"	"4080100"	100000	3	"Lamotrigine"
"817841000033117"	322994002	"Lamotrigine 200mg tablets"	"Lamotrigine 200mg tablets"	"Tablet"	"Oral"	"Lamotrigine"	"200.000mg"	"4080100"	1000000	3	"Lamotrigine"
"832941000033117"	36040311000001104	"Lithium citrate 520mg/5ml oral solution sugar free"	"Lithium citrate 520mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Lithium citrate"	"104.000mg/1.000ml"	"4020300"	20000	3	"Lithium"
"834441000033116"	NA	"Lithium Citrate Sugar free syrup 10.8 mmol/5 ml"	""	""	""	""	""	""	400	3	"Lithium"
"834541000033115"	NA	"Lithium Citrate Sugar free syrup 5.4 mmol/5 ml"	""	""	""	""	""	""	1000	3	"Lithium"
"835641000033115"	704311000001105	"Liskonum 450mg modified-release tablets (Teofarma S.r.l.)"	"Liskonum 450mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium carbonate"	"450.000mg"	"4020300"	30000	3	"Lithium"
"835741000033112"	4543511000001104	"Litarex 564mg modified-release tablets (Actavis UK Ltd)"	"Litarex 564mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium citrate"	"564.000mg"	""	2000	3	"Lithium"
"835841000033119"	321730000	"Lithium carbonate 250mg tablets"	"Lithium carbonate 250mg tablets"	"Tablet"	"Oral"	"Lithium carbonate"	"250.000mg"	"4020300"	100000	3	"Lithium"
"835941000033110"	39110111000001104	"Lithium carbonate 400mg modified-release tablets"	"Lithium carbonate 400mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium carbonate"	"400.000mg"	"4020300"	1000000	3	"Lithium"
"837441000033112"	39110011000001104	"Lithium carbonate 200mg modified-release tablets"	"Lithium carbonate 200mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium carbonate"	"200.000mg"	"4020300"	600000	3	"Lithium"
"837541000033113"	NA	"Lithium Carbonate M/R tablets 300 mg"	""	""	""	""	""	""	5000	3	"Lithium"
"837641000033114"	36040211000001104	"Lithium carbonate 450mg modified-release tablets"	"Lithium carbonate 450mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium carbonate"	"450.000mg"	"4020300"	20000	3	"Lithium"
"837741000033117"	4559411000001104	"Lithium citrate 564mg modified-release tablets"	"Lithium citrate 564mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium citrate"	"564.000mg"	""	2000	3	"Lithium"
"840741000033115"	39699511000001104	"Loxapine 10mg capsules"	"Loxapine 10mg capsules"	"Capsule"	"Oral"	"Loxapine succinate"	"10.000mg"	""	6000	1	"Loxapine"
"840841000033113"	39699611000001104	"Loxapine 25mg capsules"	"Loxapine 25mg capsules"	"Capsule"	"Oral"	"Loxapine succinate"	"25.000mg"	""	4000	1	"Loxapine"
"840941000033117"	39699711000001104	"Loxapine 50mg capsules"	"Loxapine 50mg capsules"	"Capsule"	"Oral"	"Loxapine succinate"	"50.000mg"	""	6000	1	"Loxapine"
