"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antipsychotic"
"74782"	2	"Risperdal 1mg tablets (Lexon (UK) Ltd)"	"Risperidone"	"1mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"2714"	36884	"Trifluoperazine 10mg modified-release capsules"	"Trifluoperazine"	"10mg"	"Modified-release capsule"	"Oral"	"Unknown"	"Trifluoperazine"
"84366"	0	"Risperidone 500microgram tablets (DE Pharmaceuticals)"	"Risperidone"	"500microgram"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"89463"	285	"Risperidone 500microgram tablets (Consilient Health Ltd)"	"Risperidone"	"500microgram"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"24494"	18	"Haldol 10mg/ml Liquid (Janssen-Cilag Ltd)"	"Haloperidol"	"10mg/ml"	"Liquid"	"Oral"	"Antipsychotic Products/-"	"Haloperidol"
"86970"	2	"Aripiprazole 10mg orodispersible tablets sugar free (Accord-UK Ltd)"	"Aripiprazole"	"10mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"65938"	0	"Quetiapine 25mg tablets (Sun Pharma UK Ltd)"	"Quetiapine"	"25mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"62924"	3663	"Lurasidone 18.5mg tablets"	"Lurasidone"	"18.5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Lurasidone"
"19283"	16371	"Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Flupentixol"
"33493"	13	"Sparine 100mg Tablet (Wyeth Pharmaceuticals)"	"Promazine"	"100mg"	"Tablet"	"Oral"	"Antipsychotic Products"	"Promazine"
"73980"	0	"Abilify 5mg tablets (Lexon (UK) Ltd)"	"Aripiprazole"	"5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"19002"	447	"Largactil 100mg Suppository (Rhone-Poulenc Rorer Ltd)"	"Chlorpromazine"	"100mg"	"Suppository"	"Rectal"	"Antipsychotic Products/-"	"Chlorpromazine"
"5212"	13894	"Fluphenazine 1mg tablets"	"Fluphenazine"	"1mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Fluphenazine"
"89960"	15	"Chlorpromazine 100mg tablets (A A H Pharmaceuticals Ltd)"	"Chlorpromazine"	"100mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"12128"	22417	"Modecate concentrate 100mg/ml Injection (Sanofi-Synthelabo Ltd)"	"Fluphenazine"	"100mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"Antipsychotic Depot Injections"	"Fluphenazine"
"83072"	0	"Amisulpride 200mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Amisulpride"	"200mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"
"667"	1017399	"Risperidone 500microgram tablets"	"Risperidone"	"500microgram"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"46447"	6933	"Paliperidone 100mg/1ml prolonged-release suspension for injection pre-filled syringes"	"Paliperidone"	"100mg/1ml"	"Prolonged-release suspension for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Paliperidone"
"3775"	11138	"Zuclopenthixol decanoate 200mg/ml oily injection"	"Zuclopenthixol"	"200mg/ml"	"Oily Injection"	"Intramuscular"	"Antipsychotic Products/Antipsychotic Depot Injections"	"Zuclopenthixol"
"32551"	12816	"Prochlorperazine 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Prochlorperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"65773"	18	"Aripiprazole 30mg tablets (Zentiva Pharma UK Ltd)"	"Aripiprazole"	"30mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"47149"	303	"Haloperidol 1mg/5ml oral solution"	"Haloperidol"	"200microgram/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"17227"	19	"Chloractil 25mg Tablet (DDSA Pharmaceuticals Ltd)"	"Chlorpromazine"	"25mg"	"Oral tablet"	"Oral"	"Antipsychotic Products/-"	"Chlorpromazine"
"57616"	192	"Olanzapine 20mg tablets (Teva UK Ltd)"	"Olanzapine"	"20mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"84091"	0	"Fluanxol 500microgram tablets (Sigma Pharmaceuticals Plc)"	"Flupentixol"	"500microgram"	"Oral tablet"	"Oral"	"Other Antidepressants"	"Flupentixol"
"13145"	20897	"Trifluoperazine 1mg/5ml oral solution sugar free"	"Trifluoperazine"	"200microgram/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"
"53649"	1	"Haloperidol 2mg/5ml oral suspension"	"Haloperidol"	"400microgram/1ml"	"Oral suspension"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"228"	17	"Fentazin 5mg/ml Injection (Goldshield Pharmaceuticals Ltd)"	"Perphenazine"	"5mg/ml"	"Injection"	"Intramuscular"	"Antipsychotic Products/-"	"Perphenazine"
"4992"	2419	"Solian 200 tablets (Sanofi)"	"Amisulpride"	"200mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"
"40928"	22	"Droperidol 2.5mg/1ml solution for injection ampoules"	"Droperidol"	"2.5mg/1ml"	"Solution for injection"	"Intravenous"	"Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Droperidol"
"70867"	175	"Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes"	"Paliperidone"	"200mg/1ml"	"Prolonged-release suspension for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Paliperidone"
"5653"	237859	"Olanzapine 7.5mg tablets"	"Olanzapine"	"7.5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"81144"	2	"Risperidone 2mg tablets (A A H Pharmaceuticals Ltd)"	"Risperidone"	"2mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"3937"	17329	"Trifluoperazine 15mg modified-release capsules"	"Trifluoperazine"	"15mg"	"Modified-release capsule"	"Oral"	"Unknown"	"Trifluoperazine"
"12630"	3620	"Loxapine 50mg capsules"	"Loxapine"	"50mg"	"Oral capsule"	"Oral"	"Unknown"	"Loxapine"
"89567"	140	"Aripiprazole 10mg tablets (Creo Pharma Ltd)"	"Aripiprazole"	"10mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"16407"	819	"Zyprexa 15mg Velotabs (Neon Healthcare Ltd)"	"Olanzapine"	"15mg"	"Oral lyophilisate"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"28231"	158	"Levinan 6mg Tablet (Link Pharmaceuticals Ltd)"	"Levomepromazine"	"6mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Levomepromazine"
"3926"	46824	"Modecate 25mg/ml Injection (Sanofi-Synthelabo Ltd)"	"Fluphenazine"	"25mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"Antipsychotic Depot Injections"	"Fluphenazine"
"34339"	11	"Haloperidol 1.5mg tablets (A A H Pharmaceuticals Ltd)"	"Haloperidol"	"1.5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"36163"	615	"Zyprexa 20mg tablets (Neon Healthcare Ltd)"	"Olanzapine"	"20mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"7039"	406872	"Quetiapine 300mg tablets"	"Quetiapine"	"300mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"28862"	4	"Chloractil 100mg Tablet (DDSA Pharmaceuticals Ltd)"	"Chlorpromazine"	"100mg"	"Oral tablet"	"Oral"	"Antipsychotic Products/-"	"Chlorpromazine"
"21064"	85	"Neulactil 25mg Tablet (JHC Healthcare Ltd)"	"Pericyazine"	"25mg"	"Tablet"	"Oral"	"Antipsychotic Products"	"Pericyazine"
"53552"	0	"Quetiapine 25mg tablets (Zentiva Pharma UK Ltd)"	"Quetiapine"	"25mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"84868"	0	"Risperidone 1mg/ml oral solution sugar free (Waymade Healthcare Plc)"	"Risperidone"	"1mg/1ml"	"Oral solution"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"18453"	4413	"Zyprexa 2.5mg tablets (Neon Healthcare Ltd)"	"Olanzapine"	"2.5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"89810"	1	"Risperidone 2mg tablets (Milpharm Ltd)"	"Risperidone"	"2mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"73535"	2	"Haloperidol 2.5mg/5ml oral suspension"	"Haloperidol"	"500microgram/1ml"	"Oral suspension"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"8922"	914	"Oxypertine 10mg capsules"	"Oxypertine"	"10mg"	"Oral capsule"	"Oral"	"Unknown"	"Oxypertine"
"13820"	8169	"Zyprexa 10mg tablets (Neon Healthcare Ltd)"	"Olanzapine"	"10mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"47098"	9698	"Olanzapine 5mg orodispersible tablets sugar free"	"Olanzapine"	"5mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"1319"	38782	"Clopixol 10mg tablets (Lundbeck Ltd)"	"Zuclopenthixol"	"10mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"
"80963"	15	"Risperidone 1mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Risperidone"	"1mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"2157"	16685	"Perphenazine 4mg tablets"	"Perphenazine"	"4mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo"	"Perphenazine"
"69121"	68	"Olanzapine embonate 405mg powder and solvent for prolonged-release suspension for injection vials"	"Olanzapine"	"405mg"	"Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Second-Generation Antipsychotic Drugs/Antipsychotic Depot Injections"	"Olanzapine"
"88524"	0	"Haloperidol 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Haloperidol"	"2mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"69365"	5	"Haloperidol 1mg/ml sugar free Oral solution (Pinewood Healthcare)"	"Haloperidol"	"1mg/ml"	"Oral Solution"	"Oral"	"Antipsychotic Products/-"	"Haloperidol"
"79527"	1	"Promazine 25mg/5ml oral solution (Waymade Healthcare Plc)"	"Promazine"	"5mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Promazine"
"61748"	2580	"Ebesque XL 200mg tablets (Ethypharm UK Ltd)"	"Quetiapine"	"200mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"26660"	1	"PROMAZINE HYDROCHLORIDE"	"Promazine"	NA	NA	NA	"Unknown"	"Promazine"
"13338"	5218	"Serenace 5mg tablets (Teva UK Ltd)"	"Haloperidol"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"5510"	9873	"Prochlorperazine mesilate 12.5mg/ml injection"	"Prochlorperazine"	"12.5mg/ml"	"Injection"	"Intramuscular"	"Antipsychotic Products/-"	"Prochlorperazine"
"39887"	103272	"Stemetil 5mg tablets (Sanofi)"	"Prochlorperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"21027"	15	"Triperidol 1mg Tablet (Lagap)"	"Trifluperidol"	"1mg"	"Tablet"	"Oral"	"Antipsychotic Products"	"Trifluperidol"
"22609"	85	"Droperidol 5mg/ml injection"	"Droperidol"	"5mg/ml"	"Injection"	"Intramuscular"	"Antipsychotic Products/Benzodiazepines (Peri-Operative)"	"Droperidol"
"35235"	1880	"Piportil Depot 50mg/1ml solution for injection ampoules (Sanofi)"	"Pipotiazine"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Pipotiazine"
"8979"	11720	"Serenace 1.5mg tablets (Teva UK Ltd)"	"Haloperidol"	"1.5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"65246"	1	"Chlorpromazine 10mg/5ml oral suspension"	"Chlorpromazine"	"2mg/1ml"	"Oral suspension"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"25966"	100	"Serdolect 4mg tablets (Imported (Denmark))"	"Sertindole"	"4mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Sertindole"
"28759"	400	"Zotepine 100mg tablets"	"Zotepine"	"100mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Zotepine"
"70415"	1	"Olanzapine 15mg tablets (Teva UK Ltd)"	"Olanzapine"	"15mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"5597"	3884	"Moditen 1mg tablets (Sanofi)"	"Fluphenazine"	"1mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Fluphenazine"
"76438"	0	"Sulpiride 400mg tablets (Medreich Plc)"	"Sulpiride"	"400mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Sulpiride"
"57412"	5313	"Sondate XL 400mg tablets (Teva UK Ltd)"	"Quetiapine"	"400mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"19824"	111	"STEMETIL (1ML)"	"Prochlorperazine"	NA	NA	NA	"Unknown"	"Prochlorperazine"
"24243"	0	"STEMETIL"	"Prochlorperazine"	NA	NA	NA	"Unknown"	"Prochlorperazine"
"79024"	15	"Promazine 50mg Tablet (Teva UK Ltd)"	"Promazine"	"50mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Promazine"
"46422"	141	"Olanzapine embonate 300mg powder and solvent for prolonged-release suspension for injection vials"	"Olanzapine"	"300mg"	"Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Second-Generation Antipsychotic Drugs/Antipsychotic Depot Injections"	"Olanzapine"
"16229"	120	"FLUPHENAZINE DECANOATE 12.5 MG INJ"	"Fluphenazine"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Fluphenazine"
"18289"	113	"Stelazine 10mg/ml Concentrate (Goldshield Pharmaceuticals Ltd)"	"Trifluoperazine"	"10mg/ml"	"Concentrate"	"Oral"	"Antipsychotic Products/-"	"Trifluoperazine"
"42807"	39	"Haloperidol 500microgram Tablet (Lagap)"	"Haloperidol"	"500microgram"	"Oral tablet"	"Oral"	"Antipsychotic Products/-"	"Haloperidol"
"39237"	9451	"Seroquel XL 400mg tablets (Luye Pharma Ltd)"	"Quetiapine"	"400mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"31098"	5027	"Aripiprazole 15mg orodispersible tablets sugar free"	"Aripiprazole"	"15mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"32076"	6808	"Aripiprazole 10mg orodispersible tablets sugar free"	"Aripiprazole"	"10mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"79893"	0	"Quetiapine 25mg tablets (Viatris UK Healthcare Ltd)"	"Quetiapine"	"25mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"35929"	141	"Chlorpromazine 50mg/2ml solution for injection ampoules"	"Chlorpromazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"2276"	12077	"Flupentixol 40mg/2ml solution for injection ampoules"	"Flupentixol"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Flupentixol"
"13311"	201	"Sparine 50mg/ml Injection (Wyeth Pharmaceuticals)"	"Promazine"	"50mg/ml"	"Injection"	"Intramuscular"	"Antipsychotic Products"	"Promazine"
"70192"	5920	"Quetiapine 20mg/ml oral suspension sugar free"	"Quetiapine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"15047"	3376	"Orap 4mg tablets (Eumedica Pharma Ltd)"	"Pimozide"	"4mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Pimozide"
"15438"	226	"Prochlorperazine maleate 15mg modified release capsul"	"Prochlorperazine"	"15mg"	"Modified Release Capsules"	"Oral"	"Antipsychotic Products/-"	"Prochlorperazine"
"45281"	57	"Chlorpromazine 100mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Chlorpromazine"	"20mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"72898"	0	"Trifluoperazine 1mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Trifluoperazine"	"200microgram/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"
"89290"	0	"Risperidone 250microgram tablets (Medihealth (Northern) Ltd)"	"Risperidone"	"250microgram"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"9475"	10422	"Risperdal 4mg tablets (Janssen-Cilag Ltd)"	"Risperidone"	"4mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"43654"	6	"Promazine 50mg/ml injection"	"Promazine"	"50mg/ml"	"Injection"	"Intramuscular"	"Antipsychotic Products"	"Promazine"
"30111"	6	"Chlorprothixene 50mg tablets"	"Chlorprothixene"	"50mg"	"Tablets"	"Oral"	"Antipsychotic Products"	"Chlorprothixene"
"71367"	126	"Olanzapine 5mg orodispersible tablets sugar free (Accord-UK Ltd)"	"Olanzapine"	"5mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"10356"	611	"TRIFLUOPERAZINE TAB"	"Trifluoperazine"	NA	"Tablet"	"Oral"	"Unknown"	"Trifluoperazine"
"24069"	790	"Dolmatil 400mg tablets (Sanofi)"	"Sulpiride"	"400mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Sulpiride"
"16223"	174	"Roxiam 300mg Capsule (AstraZeneca UK Ltd)"	"Remoxipride"	"300mg"	"Capsule"	"Oral"	"Antipsychotic Products"	"Remoxipride"
"3951"	82568	"Fluanxol 1mg tablets (Lundbeck Ltd)"	"Flupentixol"	"1mg"	"Oral tablet"	"Oral"	"Other Antidepressants"	"Flupentixol"
"63598"	0	"Amisulpride 400mg tablets (Zentiva Pharma UK Ltd)"	"Amisulpride"	"400mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"
"1453"	46963	"Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Perphenazine"	"10mg + 2mg"	"Oral tablet"	"Oral"	"Antipsychotic Products/Tricyclic And Related Antidepressants"	"Perphenazine"
"2814"	46112	"Largactil 25mg Tablet (Hawgreen Ltd)"	"Chlorpromazine"	"25mg"	"Oral tablet"	"Oral"	"Antipsychotic Products/-"	"Chlorpromazine"
"57270"	209	"Olanzapine 2.5mg/5ml oral suspension"	"Olanzapine"	"500microgram/1ml"	"Oral suspension"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"14112"	2347	"Clozaril 100mg tablets (Viatris UK Healthcare Ltd)"	"Clozapine"	"100mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Clozapine"
"32051"	0	"Haloperidol 5mg Tablet (Generics (UK) Ltd)"	"Haloperidol"	"5mg"	"Oral tablet"	"Oral"	"Antipsychotic Products/-"	"Haloperidol"
"8774"	15459	"Melleril 100mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"100mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"78578"	75	"Aripiprazole 15mg tablets (A A H Pharmaceuticals Ltd)"	"Aripiprazole"	"15mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"79488"	66	"Risperidone 500microgram tablets (Almus Pharmaceuticals Ltd)"	"Risperidone"	"500microgram"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"31159"	1	"DARTALAN 5 MG TAB"	"Thiopropazate"	NA	"Tablet"	"Oral"	"Unknown"	"Thiopropazate"
"72577"	1	"Olanzapine 7.5mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Olanzapine"	"7.5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"90089"	2	"Paliperidone 700mg/3.5ml prolonged-release suspension for injection pre-filled syringes"	"Paliperidone"	"200mg/1ml"	"Prolonged-release suspension for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Paliperidone"
"1320"	996482	"Risperidone 1mg tablets"	"Risperidone"	"1mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"31537"	228	"Zuclopenthixol acetate 100mg/2ml solution for injection ampoules"	"Zuclopenthixol"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"Unknown"	"Zuclopenthixol"
"81784"	5	"Haloperidol 500microgram tablets (Crescent Pharma Ltd)"	"Haloperidol"	"500microgram"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"44326"	2074	"Seroquel XL 150mg tablets (Luye Pharma Ltd)"	"Quetiapine"	"150mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"10780"	23205	"Promazine 50mg/5ml oral solution"	"Promazine"	"50mg/5ml"	"Suspension"	"Oral"	"Antipsychotic Products"	"Promazine"
"11531"	33206	"Trifluoperazine 5mg/5ml oral solution sugar free"	"Trifluoperazine"	"1mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"
"38912"	103486	"Quetiapine 200mg modified-release tablets"	"Quetiapine"	"200mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"14356"	16697	"Stemetil 12.5mg/1ml solution for injection ampoules (Sanofi)"	"Prochlorperazine"	"12.5mg/1ml"	"Solution for injection"	"Intramuscular"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"46435"	2254	"Xeplion 150mg/1.5ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)"	"Paliperidone"	"100mg/1ml"	"Prolonged-release suspension for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Paliperidone"
"40932"	1408	"Quetiapine 100mg/5ml oral suspension"	"Quetiapine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"40586"	494	"Clozapine 50mg tablets"	"Clozapine"	"50mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Clozapine"
"63255"	11	"Risperidone 1mg tablets (Accord-UK Ltd)"	"Risperidone"	"1mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"41714"	155	"Amisulpride 50mg tablets (Zentiva Pharma UK Ltd)"	"Amisulpride"	"50mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"
"29948"	46	"Stelazine Forte 1mg/ml oral solution (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"1mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"
