"medcode"	"readcode"	"desc"	"cat"
"106352"	"9m06.00"	"excluded from diabetic retinopathy screening as deceased"	"Unknown"
"106360"	"K27y700"	"erectile dysfunction due to diabetes mellitus"	"Unknown"
"10642"	"ZC2C800"	"dietary advice for diabetes mellitus"	"Unknown"
"106445"	"9m0E.00"	"excluded from diabetic retinopathy screen physical disorder"	"Unknown"
"106528"	"C10FN11"	"type ii diabetes mellitus with ketoacidosis"	"Type 2"
"10659"	"F464000"	"diabetic cataract"	"Unknown"
"106679"	"8OA3.00"	"provision of written information about diabetes and driving"	"Unknown"
"106722"	"9Oy0300"	"diabetic foot screening invitation second letter"	"Unknown"
"106723"	"9Oy0200"	"diabetic foot screening invitation first letter"	"Unknown"
"106738"	"9Oy0000"	"diabetic foot screening invitation"	"Unknown"
"106778"	"9m0C.00"	"excluded frm diabetic retinopathy screen as terminal illness"	"Unknown"
"10692"	"C10EM00"	"type 1 diabetes mellitus with ketoacidosis"	"Type 1"
"106953"	"8IEa.00"	"referral to dafne diabetes structured educn prog declined"	"Type 1"
"107361"	"679L200"	"education about diabetes and driving"	"Unknown"
"107414"	"8I94.00"	"diabetes structured education programme not available"	"Unknown"
"107423"	"661N400"	"diabetes self-management plan review"	"Unknown"
"107452"	"66o..00"	"further diabetic monitoring"	"Unknown"
"107464"	"66AS000"	"diabetes year of care annual review"	"Unknown"
"107508"	"66AH200"	"conversion to insulin by diabetes specialist nurse"	"Unknown"
"10755"	"F420600"	"non proliferative diabetic retinopathy"	"Unknown"
"107597"	"9m0D.00"	"excluded from diabetic retinopthy screen as learn disability"	"Unknown"
"107603"	"C10P.00"	"diabetes mellitus in remission"	"Type 2"
"107701"	"C10FK11"	"hyperosmolar non-ketotic state in type ii diabetes mellitus"	"Type 2"
"107739"	"679L211"	"advice about diabetes and driving"	"Unknown"
"107793"	"9Oy0400"	"diabetic foot screening invitation third letter"	"Unknown"
"107824"	"C10P100"	"type ii diabetes mellitus in remission"	"Type 2"
"107881"	"K08yA11"	"clinical diabetic nephropathy"	"Unknown"
"108005"	"C109312"	"type 2 diabetes mellitus with multiple complications"	"Type 2"
"108007"	"C108311"	"type i diabetes mellitus with multiple complications"	"Type 1"
"10824"	"9N1i.00"	"seen in diabetic foot clinic"	"Unknown"
"108360"	"C10P000"	"type i diabetes mellitus in remission"	"Type 2"
"108634"	"9NJy.00"	"in-house diabetic foot screening"	"Unknown"
"108724"	"C10EQ11"	"type i diabetes mellitus with gastroparesis"	"Type 1"
"108993"	"661M400"	"diabetes self-management plan agreed"	"Unknown"
"109051"	"C10E612"	"insulin dependent diabetes mellitus with gangrene"	"Type 1"
"109103"	"C109911"	"type ii diabetes mellitus without complication"	"Type 2"
"109133"	"L180700"	"pre-existing malnutrition-related diabetes mellitus"	"Other"
"109197"	"C10FH11"	"type ii diabetes mellitus with neuropathic arthropathy"	"Type 2"
"109520"	"9m03.00"	"eligibility permanently inactive for diabetic retinop screen"	"Unknown"
"109521"	"9m02.00"	"eligibility temporarily inactive for diabetic retinop screen"	"Unknown"
"109628"	"C10P011"	"type 1 diabetes mellitus in remission"	"Type 2"
"10977"	"66Ac.00"	"diabetic peripheral neuropathy screening"	"Unknown"
"11018"	"8HBG.00"	"diabetic retinopathy 12 month review"	"Unknown"
"11041"	"9h41.00"	"excepted from diabetes qual indicators: patient unsuitable"	"Unknown"
"11094"	"9NND.00"	"under care of diabetic foot screener"	"Unknown"
"11129"	"2BBQ.00"	"o/e - left eye background diabetic retinopathy"	"Unknown"
"11348"	"9h42.00"	"excepted from diabetes quality indicators: informed dissent"	"Unknown"
"11433"	"2BBP.00"	"o/e - right eye background diabetic retinopathy"	"Unknown"
"11471"	"8B3l.00"	"diabetes medication review"	"Unknown"
"11551"	"C10B.00"	"diabetes mellitus induced by steroids"	"Other"
"11599"	"7276.00"	"pan retinal photocoagulation for diabetes"	"Unknown"
"11626"	"F420z00"	"diabetic retinopathy nos"	"Unknown"
"11677"	"8H7r.00"	"refer to diabetic foot screener"	"Unknown"
"11848"	"C314.11"	"renal diabetes"	"Other"
"11930"	"9NN9.00"	"under care of diabetes specialist nurse"	"Unknown"
"11977"	"ZL62500"	"referral to diabetes nurse"	"Unknown"
"12030"	"9OL6.00"	"diabetes monitoring 3rd letter"	"Unknown"
"12213"	"8BL2.00"	"patient on maximal tolerated therapy for diabetes"	"Unknown"
"12225"	"8H7C.00"	"refer, diabetic liaison nurse"	"Unknown"
"12247"	"8I6G.00"	"diabetic foot examination not indicated"	"Unknown"
"12262"	"8I3X.00"	"diabetic retinopathy screening refused"	"Unknown"
"12307"	"66AU.00"	"diabetes care by hospital only"	"Unknown"
"12455"	"C10E.11"	"type i diabetes mellitus"	"Type 1"
"12506"	"66AP.00"	"diabetes: practice programme"	"Unknown"
"12507"	"9N2i.00"	"seen by diabetic liaison nurse"	"Unknown"
"12640"	"C10FC00"	"type 2 diabetes mellitus with nephropathy"	"Type 2"
"12675"	"66AQ.00"	"diabetes: shared care programme"	"Unknown"
"12682"	"679R.00"	"patient offered diabetes structured education programme"	"Unknown"
"12703"	"3881.00"	"education score - diabetes"	"Unknown"
"12736"	"C10F500"	"type 2 diabetes mellitus with gangrene"	"Type 2"
"13057"	"679L.00"	"health education - diabetes"	"Unknown"
"13067"	"66AZ.00"	"diabetic monitoring nos"	"Unknown"
"13069"	"66A8.00"	"has seen dietician - diabetes"	"Unknown"
"13070"	"66A1.00"	"initial diabetic assessment"	"Unknown"
"13071"	"66AI.00"	"diabetic - good control"	"Unknown"
"13074"	"13B1.00"	"diabetic diet"	"Unknown"
"13078"	"13AC.00"	"diabetic weight reducing diet"	"Unknown"
"13097"	"2BBT.00"	"o/e - right eye proliferative diabetic retinopathy"	"Unknown"
"13099"	"2BBR.00"	"o/e - right eye preproliferative diabetic retinopathy"	"Unknown"
"13100"	"2BBJ.00"	"o/e - no right diabetic retinopathy"	"Unknown"
"13101"	"2BBV.00"	"o/e - left eye proliferative diabetic retinopathy"	"Unknown"
"13102"	"2BBW.00"	"o/e - right eye diabetic maculopathy"	"Unknown"
"13103"	"2BBS.00"	"o/e - left eye preproliferative diabetic retinopathy"	"Unknown"
"13104"	"2BBK.00"	"o/e - no left diabetic retinopathy"	"Unknown"
"13108"	"2BBX.00"	"o/e - left eye diabetic maculopathy"	"Unknown"
"13191"	"9OL..11"	"diabetes clinic administration"	"Unknown"
"13192"	"9OLA.00"	"diabetes monitor. check done"	"Unknown"
"13194"	"9OL4.00"	"diabetes monitoring 1st letter"	"Unknown"
"13195"	"9OL5.00"	"diabetes monitoring 2nd letter"	"Unknown"
"13197"	"9OL1.00"	"attends diabetes monitoring"	"Unknown"
"1323"	"F420.00"	"diabetic retinopathy"	"Unknown"
"13279"	"C104y00"	"other specified diabetes mellitus with renal complications"	"Other"
"13678"	"ZL62600"	"referral to diabetic liaison nurse"	"Unknown"
"14049"	"42WZ.00"	"hb. a1c - diabetic control nos"	"Unknown"
"14050"	"42c..00"	"hba1 - diabetic control"	"Unknown"
"1407"	"C10FJ00"	"insulin treated type 2 diabetes mellitus"	"Type 2"
"14803"	"C100100"	"diabetes mellitus, adult onset, no mention of complication"	"Type 2"
"14889"	"C100111"	"maturity onset diabetes"	"Other"
"1549"	"C10E.00"	"type 1 diabetes mellitus"	"Type 1"
"15690"	"C103.00"	"diabetes mellitus with ketoacidotic coma"	"Unknown"
"16230"	"C106.00"	"diabetes mellitus with neurological manifestation"	"Unknown"
"1647"	"C108.00"	"insulin dependent diabetes mellitus"	"Type 1"
"16490"	"66AH.00"	"diabetic treatment changed"	"Unknown"
"16491"	"C106.13"	"diabetes mellitus with polyneuropathy"	"Unknown"
"16502"	"C104.00"	"diabetes mellitus with renal manifestation"	"Unknown"
"1682"	"C101.00"	"diabetes mellitus with ketoacidosis"	"Unknown"
"1684"	"66A4.00"	"diabetic on oral treatment"	"Type 2"
"16881"	"ZV65312"	"[v]dietary counselling in diabetes mellitus"	"Unknown"
"16946"	"13L4.11"	"diabetic child"	"Unknown"
"17067"	"F171100"	"autonomic neuropathy due to diabetes"	"Unknown"
"17095"	"2G5A.00"	"o/e - right diabetic foot at risk"	"Unknown"
"17247"	"F35z000"	"diabetic mononeuritis nos"	"Unknown"
"17262"	"C109600"	"non-insulin-dependent diabetes mellitus with retinopathy"	"Type 2"
"17313"	"F440700"	"diabetic iritis"	"Unknown"
"17545"	"C108F11"	"type i diabetes mellitus with diabetic cataract"	"Type 1"
"17858"	"C108.12"	"type 1 diabetes mellitus"	"Type 1"
"17859"	"C109.12"	"type 2 diabetes mellitus"	"Type 2"
"17869"	"66AL.00"	"diabetic-uncooperative patient"	"Unknown"
"17886"	"66AM.00"	"diabetic - follow-up default"	"Unknown"
"18056"	"2G5C.00"	"foot abnormality - diabetes related"	"Unknown"
"18066"	"8CE0.00"	"diabetic leaflet given"	"Unknown"
"18142"	"N030000"	"diabetic cheiroarthropathy"	"Unknown"
"18143"	"C109G11"	"type ii diabetes mellitus with arthropathy"	"Type 2"
"18167"	"66AT.00"	"annual diabetic blood test"	"Unknown"
"18209"	"C109012"	"type 2 diabetes mellitus with renal complications"	"Type 2"
"18219"	"C109.13"	"type ii diabetes mellitus"	"Type 2"
"18230"	"C108J12"	"type 1 diabetes mellitus with neuropathic arthropathy"	"Type 1"
"18264"	"C109J12"	"insulin treated type ii diabetes mellitus"	"Type 2"
"18278"	"C109J00"	"insulin treated type 2 diabetes mellitus"	"Type 2"
"18311"	"68A7.00"	"diabetic retinopathy screening"	"Unknown"
"18387"	"C10E700"	"type 1 diabetes mellitus with retinopathy"	"Type 1"
"18390"	"C10FM00"	"type 2 diabetes mellitus with persistent microalbuminuria"	"Type 2"
"18425"	"C10FB00"	"type 2 diabetes mellitus with polyneuropathy"	"Type 2"
"18496"	"C10F600"	"type 2 diabetes mellitus with retinopathy"	"Type 2"
"18505"	"C108.11"	"iddm-insulin dependent diabetes mellitus"	"Type 1"
"18642"	"C10EH00"	"type 1 diabetes mellitus with arthropathy"	"Type 1"
"18662"	"8HBH.00"	"diabetic retinopathy 6 month review"	"Unknown"
"18683"	"C10E500"	"type 1 diabetes mellitus with ulcer"	"Type 1"
"18747"	"8I6F.00"	"diabetic retinopathy screening not indicated"	"Unknown"
"18777"	"C10F000"	"type 2 diabetes mellitus with renal complications"	"Type 2"
"18824"	"8I3W.00"	"diabetic foot examination declined"	"Unknown"
"19381"	"8HTk.00"	"referral to diabetic eye clinic"	"Unknown"
"19739"	"68A9.00"	"diabetic retinopathy screening offered"	"Unknown"
"20696"	"66AA.11"	"injection sites - diabetic"	"Unknown"
"20900"	"9OLA.11"	"diabetes monitored"	"Unknown"
"21472"	"Q441.00"	"neonatal diabetes mellitus"	"Other"
"21482"	"C102.00"	"diabetes mellitus with hyperosmolar coma"	"Unknown"
"21689"	"13AB.00"	"diabetic lipid lowering diet"	"Unknown"
"21983"	"C108012"	"type 1 diabetes mellitus with renal complications"	"Type 1"
"22023"	"66AJz00"	"diabetic - poor control nos"	"Unknown"
"22130"	"9OL3.00"	"diabetes monitoring default"	"Unknown"
"22487"	"C10N.00"	"secondary diabetes mellitus"	"Other"
"22573"	"C106z00"	"diabetes mellitus nos with neurological manifestation"	"Unknown"
"22823"	"66Ab.00"	"diabetic foot examination"	"Unknown"
"22871"	"C10EP00"	"type 1 diabetes mellitus with exudative maculopathy"	"Type 1"
"22884"	"C10F.11"	"type ii diabetes mellitus"	"Type 2"
"22967"	"2BBF.00"	"retinal abnormality - diabetes related"	"Unknown"
"2340"	"F381311"	"diabetic amyotrophy"	"Unknown"
"2342"	"F372.12"	"diabetic neuropathy"	"Unknown"
"23479"	"C350011"	"bronzed diabetes"	"Other"
"2378"	"66AJ.00"	"diabetic - poor control"	"Unknown"
"2379"	"9N1Q.00"	"seen in diabetic clinic"	"Unknown"
"24327"	"M271000"	"ischaemic ulcer diabetic foot"	"Unknown"
"24363"	"8A13.00"	"diabetic stabilisation"	"Unknown"
"24423"	"C108.13"	"type i diabetes mellitus"	"Type 1"
"24458"	"C109711"	"type ii diabetes mellitus - poor control"	"Type 2"
"24490"	"C100000"	"diabetes mellitus, juvenile type, no mention of complication"	"Type 1"
"24571"	"F372200"	"asymptomatic diabetic neuropathy"	"Unknown"
"24693"	"C109G00"	"non-insulin dependent diabetes mellitus with arthropathy"	"Type 2"
"24694"	"C108B00"	"insulin dependent diabetes mellitus with mononeuropathy"	"Type 1"
"2471"	"K01x100"	"nephrotic syndrome in diabetes mellitus"	"Unknown"
"2475"	"C104.11"	"diabetic nephropathy"	"Unknown"
"2478"	"66AJ100"	"brittle diabetes"	"Unknown"
"24836"	"C109C12"	"type 2 diabetes mellitus with nephropathy"	"Type 2"
"25041"	"ZC2CA00"	"dietary advice for type ii diabetes"	"Type 2"
"25591"	"C10FQ00"	"type 2 diabetes mellitus with exudative maculopathy"	"Type 2"
"25627"	"C10F700"	"type 2 diabetes mellitus - poor control"	"Type 2"
"25636"	"66Aa.00"	"diabetic diet - poor compliance"	"Unknown"
"26054"	"C10FL00"	"type 2 diabetes mellitus with persistent proteinuria"	"Type 2"
"26108"	"C10B000"	"steroid induced diabetes mellitus without complication"	"Other"
"26603"	"9OL2.00"	"refuses diabetes monitoring"	"Unknown"
"26604"	"66AY.00"	"diabetic diet - good compliance"	"Unknown"
"26605"	"9OLB.00"	"attended diabetes structured education programme"	"Unknown"
"26664"	"2G5B.00"	"o/e - left diabetic foot at risk"	"Unknown"
"26666"	"2G5E.00"	"o/e - right diabetic foot at low risk"	"Unknown"
"26667"	"2G5I.00"	"o/e - left diabetic foot at low risk"	"Unknown"
"26855"	"C108400"	"unstable insulin dependent diabetes mellitus"	"Type 1"
"27891"	"N030100"	"diabetic charcot arthropathy"	"Unknown"
"28574"	"9h4..00"	"exception reporting: diabetes quality indicators"	"Unknown"
"28769"	"66AV.00"	"diabetic on insulin and oral treatment"	"Type 2"
"28856"	"8CP2.00"	"transition of diabetes care options discussed"	"Unknown"
"28873"	"66Ai.00"	"diabetic 6 month review"	"Unknown"
"29041"	"66AN.00"	"date diabetic treatment start"	"Unknown"
"2986"	"F420200"	"preproliferative diabetic retinopathy"	"Unknown"
"29979"	"C109900"	"non-insulin-dependent diabetes mellitus without complication"	"Type 2"
"30294"	"C10EL00"	"type 1 diabetes mellitus with persistent microalbuminuria"	"Type 1"
"30323"	"C10EK00"	"type 1 diabetes mellitus with persistent proteinuria"	"Type 1"
"30477"	"F420700"	"high risk proliferative diabetic retinopathy"	"Unknown"
"30648"	"9N4p.00"	"did not attend diabetic retinopathy clinic"	"Unknown"
"31053"	"R054300"	"[d]widespread diabetic foot gangrene"	"Unknown"
"31141"	"9OL8.00"	"diabetes monitor.phone invite"	"Unknown"
"31156"	"2G5J.00"	"o/e - left diabetic foot at moderate risk"	"Unknown"
"31157"	"2G5F.00"	"o/e - right diabetic foot at moderate risk"	"Unknown"
"31171"	"2G5G.00"	"o/e - right diabetic foot at high risk"	"Unknown"
"31172"	"2G5K.00"	"o/e - left diabetic foot at high risk"	"Unknown"
"31240"	"9OL7.00"	"diabetes monitor.verbal invite"	"Unknown"
"31241"	"9OLZ.00"	"diabetes monitoring admin.nos"	"Unknown"
"31310"	"C108900"	"insulin dependent diabetes maturity onset"	"Other"
"31790"	"F372.00"	"polyneuropathy in diabetes"	"Unknown"
"32193"	"C11y000"	"steroid induced diabetes"	"Other"
"32359"	"ZRbH.00"	"perceived control of insulin-dependent diabetes"	"Type 1"
"32403"	"C107.11"	"diabetes mellitus with gangrene"	"Unknown"
"32556"	"C107.12"	"diabetes with gangrene"	"Unknown"
"32619"	"66Af.00"	"patient diabetes education review"	"Unknown"
"32627"	"C10FN00"	"type 2 diabetes mellitus with ketoacidosis"	"Type 2"
"32739"	"9N0n.00"	"seen in community diabetes specialist clinic"	"Unknown"
"32770"	"44V3.00"	"glucose tol. test diabetic"	"Unknown"
"3286"	"F420100"	"proliferative diabetic retinopathy"	"Unknown"
"33254"	"C105.00"	"diabetes mellitus with ophthalmic manifestation"	"Unknown"
"33343"	"C10y.00"	"diabetes mellitus with other specified manifestation"	"Unknown"
"33807"	"C107200"	"diabetes mellitus, adult with gangrene"	"Type 2"
"33969"	"C10A100"	"malnutrition-related diabetes mellitus with ketoacidosis"	"Other"
"34152"	"G73y000"	"diabetic peripheral angiopathy"	"Unknown"
"34268"	"C10F200"	"type 2 diabetes mellitus with neurological complications"	"Type 2"
"34283"	"C105z00"	"diabetes mellitus nos with ophthalmic manifestation"	"Unknown"
"34450"	"C10FK00"	"hyperosmolar non-ketotic state in type 2 diabetes mellitus"	"Type 2"
"34528"	"3882.00"	"diabetes well being questionnaire"	"Unknown"
"34541"	"8HVU.00"	"private referral to diabetologist"	"Unknown"
"34912"	"C109400"	"non-insulin dependent diabetes mellitus with ulcer"	"Type 2"
"35105"	"C104100"	"diabetes mellitus, adult onset, with renal manifestation"	"Type 2"
"35107"	"C104z00"	"diabetes mellitus with nephropathy nos"	"Unknown"
"35116"	"2G5L.00"	"o/e - left diabetic foot - ulcerated"	"Unknown"
"35288"	"C10E800"	"type 1 diabetes mellitus - poor control"	"Type 1"
"35316"	"2G5H.00"	"o/e - right diabetic foot - ulcerated"	"Unknown"
"35321"	"8H3O.00"	"non-urgent diabetic admission"	"Unknown"
"35383"	"9OLD.00"	"diabetic patient unsuitable for digital retinal photography"	"Unknown"
"35385"	"C10FH00"	"type 2 diabetes mellitus with neuropathic arthropathy"	"Type 2"
"35399"	"C107.00"	"diabetes mellitus with peripheral circulatory disorder"	"Unknown"
"3550"	"66A..00"	"diabetic monitoring"	"Unknown"
"35785"	"F372100"	"chronic painful diabetic neuropathy"	"Unknown"
"36633"	"C109K00"	"hyperosmolar non-ketotic state in type 2 diabetes mellitus"	"Type 2"
"36695"	"C10D.00"	"diabetes mellitus autosomal dominant type 2"	"Other"
"37315"	"F3y0.00"	"diabetic mononeuropathy"	"Unknown"
"37648"	"C109J11"	"insulin treated non-insulin dependent diabetes mellitus"	"Type 2"
"37806"	"C10FF00"	"type 2 diabetes mellitus with peripheral angiopathy"	"Type 2"
"38078"	"66A9.00"	"understands diet - diabetes"	"Unknown"
"38103"	"9N0m.00"	"seen in diabetic nurse consultant clinic"	"Unknown"
"38129"	"9N0o.00"	"seen in community diabetic specialist nurse clinic"	"Unknown"
"38130"	"ZRB6.00"	"diabetes wellbeing questionnaire"	"Unknown"
"38161"	"C108711"	"type i diabetes mellitus with retinopathy"	"Type 1"
"3837"	"F420400"	"diabetic maculopathy"	"Unknown"
"38617"	"C101y00"	"other specified diabetes mellitus with ketoacidosis"	"Other"
"38986"	"C100.00"	"diabetes mellitus with no mention of complication"	"Unknown"
"39070"	"C10EE00"	"type 1 diabetes mellitus with hypoglycaemic coma"	"Type 1"
"39317"	"C106100"	"diabetes mellitus, adult onset, + neurological manifestation"	"Type 2"
"39420"	"F381300"	"myasthenic syndrome due to diabetic amyotrophy"	"Unknown"
"39809"	"C108J00"	"insulin dependent diab mell with neuropathic arthropathy"	"Type 1"
"40023"	"C102000"	"diabetes mellitus, juvenile type, with hyperosmolar coma"	"Type 1"
"40401"	"C109500"	"non-insulin dependent diabetes mellitus with gangrene"	"Type 2"
"40682"	"C10E900"	"type 1 diabetes mellitus maturity onset"	"Other"
"40837"	"C10EN00"	"type 1 diabetes mellitus with ketoacidotic coma"	"Type 1"
"40962"	"C109H00"	"non-insulin dependent d m with neuropathic arthropathy"	"Type 2"
"41049"	"C108712"	"type 1 diabetes mellitus with retinopathy"	"Type 1"
"41389"	"C105100"	"diabetes mellitus, adult onset, + ophthalmic manifestation"	"Type 2"
"41686"	"Cyu2000"	"[x]other specified diabetes mellitus"	"Other"
"41716"	"C108C00"	"insulin dependent diabetes mellitus with polyneuropathy"	"Type 1"
"42505"	"C101z00"	"diabetes mellitus nos with ketoacidosis"	"Unknown"
"42567"	"C103000"	"diabetes mellitus, juvenile type, with ketoacidotic coma"	"Type 1"
"42729"	"C108E11"	"type i diabetes mellitus with hypoglycaemic coma"	"Type 1"
"42762"	"C109612"	"type 2 diabetes mellitus with retinopathy"	"Type 2"
"42831"	"C10E200"	"type 1 diabetes mellitus with neurological complications"	"Type 1"
"43139"	"C102100"	"diabetes mellitus, adult onset, with hyperosmolar coma"	"Type 2"
"43227"	"C10F311"	"type ii diabetes mellitus with multiple complications"	"Type 2"
"43453"	"C10C.00"	"diabetes mellitus autosomal dominant"	"Other"
"43785"	"C109D00"	"non-insulin dependent diabetes mellitus with hypoglyca coma"	"Type 2"
"43857"	"C10M.00"	"lipoatrophic diabetes mellitus"	"Other"
"43921"	"C10E400"	"unstable type 1 diabetes mellitus"	"Type 1"
"43951"	"66AK.00"	"diabetic - cooperative patient"	"Unknown"
"44033"	"F345000"	"diabetic mononeuritis multiplex"	"Unknown"
"44260"	"C108F00"	"insulin dependent diabetes mellitus with diabetic cataract"	"Type 1"
"44312"	"9M10.00"	"informed dissent for diabetes national audit"	"Unknown"
"44440"	"C108E00"	"insulin dependent diabetes mellitus with hypoglycaemic coma"	"Type 1"
"44443"	"C108500"	"insulin dependent diabetes mellitus with ulcer"	"Type 1"
"44779"	"C109E12"	"type 2 diabetes mellitus with diabetic cataract"	"Type 2"
"44982"	"C10FE00"	"type 2 diabetes mellitus with diabetic cataract"	"Type 2"
"4513"	"C109.00"	"non-insulin dependent diabetes mellitus"	"Type 2"
"45250"	"ZL22500"	"under care of diabetic liaison nurse"	"Unknown"
"45276"	"C10E312"	"insulin dependent diabetes mellitus with multiple complicat"	"Type 1"
"45467"	"C109B00"	"non-insulin dependent diabetes mellitus with polyneuropathy"	"Type 2"
"45491"	"C10z.00"	"diabetes mellitus with unspecified complication"	"Unknown"
"45913"	"C109712"	"type 2 diabetes mellitus - poor control"	"Type 2"
"45914"	"C108812"	"type 1 diabetes mellitus - poor control"	"Type 1"
"45919"	"C109212"	"type 2 diabetes mellitus with neurological complications"	"Type 2"
"46150"	"C109512"	"type 2 diabetes mellitus with gangrene"	"Type 2"
"46290"	"C108y00"	"other specified diabetes mellitus with multiple comps"	"Other"
"46301"	"C10EC00"	"type 1 diabetes mellitus with polyneuropathy"	"Type 1"
"46521"	"9N2d.00"	"seen by diabetologist"	"Unknown"
"46533"	"13Y1.00"	"diabetic association member"	"Unknown"
"46577"	"66AX.00"	"diabetes: shared care in pregnancy - diabetol and obstet"	"Poss gestational"
"46624"	"C10C.11"	"maturity onset diabetes in youth"	"Other"
"46850"	"C108811"	"type i diabetes mellitus - poor control"	"Type 1"
"46917"	"C10FD00"	"type 2 diabetes mellitus with hypoglycaemic coma"	"Type 2"
"46963"	"C108000"	"insulin-dependent diabetes mellitus with renal complications"	"Type 1"
"47011"	"8Hj0.00"	"referral to diabetes structured education programme"	"Unknown"
"47032"	"8CS0.00"	"diabetes care plan agreed"	"Unknown"
"47058"	"8Hg4.00"	"discharged from care of diabetes specialist nurse"	"Unknown"
"47144"	"2BBM.00"	"o/e - diabetic maculopathy absent both eyes"	"Unknown"
"47315"	"C10F711"	"type ii diabetes mellitus - poor control"	"Type 2"
"47321"	"C10F100"	"type 2 diabetes mellitus with ophthalmic complications"	"Type 2"
"47328"	"2BBk.00"	"o/e - right eye stable treated prolif diabetic retinopathy"	"Unknown"
"47341"	"8A12.00"	"diabetic crisis monitoring"	"Unknown"
"47370"	"8HLE.00"	"diabetology d.v. done"	"Unknown"
