"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"Term"	"AD"
"Citalopram 40mg tablets"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40.000mg"	"1583141000033116"	"0403030D0"	NA	"citalopram"
"Citalopram 40mg/ml oral drops sugar free"	"Oral drops"	"Oral"	"Citalopram hydrochloride"	"40.000mg/1.000ml"	"1900641000033112"	"0403030Z0"	NA	"citalopram"
"Cipramil 40mg/ml drops"	"Oral drops"	"Oral"	"Citalopram hydrochloride"	"40.000mg/1.000ml"	"1900741000033115"	"0403030Z0"	NA	"citalopram"
"Clomipramine 10mg capsules"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"10.000mg"	"262041000033115"	"0403010F0"	NA	"clomipramine"
"Anafranil 10mg capsules"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"10.000mg"	"61941000033115"	"0403010F0"	NA	"clomipramine"
"Anafranil 25mg capsules"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"25.000mg"	"62041000033114"	"0403010F0"	NA	"clomipramine"
"Clomipramine 25mg capsules"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"25.000mg"	"262141000033116"	"0403010F0"	NA	"clomipramine"
"Clomipramine 50mg capsules"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"50.000mg"	"262241000033111"	"0403010F0"	NA	"clomipramine"
"Anafranil 50mg capsules"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"50.000mg"	"62141000033113"	"0403010F0"	NA	"clomipramine"
"Clomipramine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Clomipramine hydrochloride"	"5.000mg/1.000ml"	"284741000033110"	"0403010F0"	NA	"clomipramine"
"Anafranil 25mg/5ml syrup"	"Oral solution"	"Oral"	"Clomipramine hydrochloride"	"5.000mg/1.000ml"	"68641000033117"	"0403010F0"	NA	"clomipramine"
"Clomipramine 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clomipramine hydrochloride"	"10.000mg/1.000ml"	"4431541000033115"	"0403010F0"	NA	"clomipramine"
"Clomipramine 75mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Clomipramine hydrochloride"	"75.000mg"	"285741000033111"	"0403010F0"	NA	"clomipramine"
"Anafranil SR 75mg tablets"	"Modified-release tablet"	"Oral"	"Clomipramine hydrochloride"	"75.000mg"	"70241000033114"	"0403010F0"	NA	"clomipramine"
"Dothapax 25 capsules"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25.000mg"	"472141000033110"	"0403010J0"	NA	"dosulepin"
"Prothiaden 25mg capsules"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25.000mg"	"1111541000033117"	"0403010J0"	NA	"dosulepin"
"Prepadine 25mg capsules"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25.000mg"	"1111641000033116"	"0403010J0"	NA	"dosulepin"
"Dosulepin 25mg capsules"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25.000mg"	"3088941000033118"	"0403010J0"	NA	"dosulepin"
"Dosulepin 75mg tablets"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75.000mg"	"3089041000033110"	"0403010J0"	NA	"dosulepin"
"Prepadine 75mg tablets"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75.000mg"	"1135941000033116"	"0403010J0"	NA	"dosulepin"
"Prothiaden 75mg tablets"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75.000mg"	"1135541000033110"	"0403010J0"	NA	"dosulepin"
"Dothapax 75 tablets"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75.000mg"	"479641000033111"	"0403010J0"	NA	"dosulepin"
"Dosulepin 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Dosulepin hydrochloride"	"15.000mg/1.000ml"	"5992241000033114"	"0403010J0"	NA	"dosulepin"
"Dosulepin 75mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin hydrochloride"	"15.000mg/1.000ml"	"3089241000033119"	"0403010J0"	NA	"dosulepin"
"Dosulepin 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Dosulepin hydrochloride"	"5.000mg/1.000ml"	"5891041000033116"	"0403010J0"	NA	"dosulepin"
"Dosulepin 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin hydrochloride"	"5.000mg/1.000ml"	"3089141000033114"	"0403010J0"	NA	"dosulepin"
"Sinequan 10mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"10.000mg"	"1294541000033115"	"0403010L0"	NA	"doxepin"
"Doxepin 10mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"10.000mg"	"473041000033119"	"0403010L0"	NA	"doxepin"
"Doxepin 25mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"25.000mg"	"473141000033115"	"0403010L0"	NA	"doxepin"
"Sinequan 25mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"25.000mg"	"1294641000033119"	"0403010L0"	NA	"doxepin"
"Sinepin 25mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"25.000mg"	"4010441000033114"	"0403010L0"	NA	"doxepin"
"Sinepin 50mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"50.000mg"	"4010541000033110"	"0403010L0"	NA	"doxepin"
"Sinequan 50mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"50.000mg"	"1294741000033111"	"0403010L0"	NA	"doxepin"
"Doxepin 50mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"50.000mg"	"473241000033110"	"0403010L0"	NA	"doxepin"
"Doxepin 75mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"75.000mg"	"473341000033117"	"0403010L0"	NA	"doxepin"
"Sinequan 75mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"75.000mg"	"1294841000033118"	"0403010L0"	NA	"doxepin"
"Doxepin 5% cream"	"Cream"	"Cutaneous"	"Doxepin hydrochloride"	"50.000mg/1.000gram"	"1603341000033112"	"0403010L0"	NA	"doxepin"
"Xepin 5% cream"	"Cream"	"Cutaneous"	"Doxepin hydrochloride"	"50.000mg/1.000gram"	"1712041000033111"	"0403010L0"	NA	"doxepin"
"Doxepin 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Doxepin hydrochloride"	"10.000mg/1.000ml"	"4954041000033114"	"0403010L0"	NA	"doxepin"
"Duciltia 60mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60.000mg"	"10701941000033111"	"0403040Y0"	NA	"duloxetine"
"Depalta 60mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60.000mg"	"12476041000033112"	"0403030Y0"	NA	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60.000mg"	"3226741000033119"	"0403030Y0"	NA	"duloxetine"
"Cymbalta 60mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60.000mg"	"3226941000033116"	"0403030Y0"	NA	"duloxetine"
"Duciltia 30mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30.000mg"	"10701841000033115"	"0403030Y0"	NA	"duloxetine"
"Depalta 30mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30.000mg"	"12475941000033119"	"0403030Y0"	NA	"duloxetine"
"Duloxetine 30mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30.000mg"	"3226641000033111"	"0403030Y0"	NA	"duloxetine"
"Cymbalta 30mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30.000mg"	"3226841000033112"	"0403030Y0"	NA	"duloxetine"
"Duloxetine 20mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"20.000mg"	"3177641000033112"	"0403030Y0"	NA	"duloxetine"
"Yentreve 20mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"20.000mg"	"3177841000033113"	"0403030Y0"	NA	"duloxetine"
"Yentreve 40mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"40.000mg"	"3177941000033117"	"0403030Y0"	NA	"duloxetine"
"Duloxetine 40mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"40.000mg"	"3177741000033115"	"0403030Y0"	NA	"duloxetine"
"Cipralex 10mg tablets"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10.000mg"	"2749641000033115"	"0403030X0"	NA	"escitalopram"
"Escitalopram 10mg tablets"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10.000mg"	"2749541000033116"	"0403030X0"	NA	"escitalopram"
"Escitalopram 20mg tablets"	"Tablet"	"Oral"	"Escitalopram oxalate"	"20.000mg"	"2951341000033116"	"0403030X0"	NA	"escitalopram"
"Cipralex 20mg tablets"	"Tablet"	"Oral"	"Escitalopram oxalate"	"20.000mg"	"2951441000033110"	"0403030X0"	NA	"escitalopram"
"Escitalopram 5mg tablets"	"Tablet"	"Oral"	"Escitalopram oxalate"	"5.000mg"	"3030341000033110"	"0403030X0"	NA	"escitalopram"
"Cipralex 5mg tablets"	"Tablet"	"Oral"	"Escitalopram oxalate"	"5.000mg"	"3030541000033115"	"0403030X0"	NA	"escitalopram"
"Cipralex 10mg/ml oral drops"	"Oral drops"	"Oral"	"Escitalopram oxalate"	"10.000mg/1.000ml"	"3928941000033119"	"0403030X0"	NA	"escitalopram"
"Escitalopram 10mg/ml oral drops sugar free"	"Oral drops"	"Oral"	"Escitalopram oxalate"	"10.000mg/1.000ml"	"3928841000033110"	"0403030X0"	NA	"escitalopram"
"Cipralex 20mg/ml oral drops"	"Oral drops"	"Oral"	"Escitalopram oxalate"	"20.000mg/1.000ml"	"5128641000033118"	"0403030X0"	NA	"escitalopram"
"Escitalopram 20mg/ml oral drops sugar free"	"Oral drops"	"Oral"	"Escitalopram oxalate"	"20.000mg/1.000ml"	"5128541000033119"	"0403030X0"	NA	"escitalopram"
"Prozac 20mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20.000mg"	"1112441000033114"	"0403030E0"	NA	"fluoxetine"
"Felicium 20mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20.000mg"	"1923141000033118"	"0403030E0"	NA	"fluoxetine"
"Oxactin 20mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20.000mg"	"2602041000033119"	"0403030E0"	NA	"fluoxetine"
"Ranflutin 20mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20.000mg"	"2710441000033119"	"0403030E0"	NA	"fluoxetine"
"Fluoxetine 20mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20.000mg"	"577841000033114"	"0403030E0"	NA	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4.000mg/1.000ml"	"2770641000033114"	"0403030E0"	NA	"fluoxetine"
"Prozac 20mg/5ml liquid"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4.000mg/1.000ml"	"1129541000033110"	"0403030E0"	NA	"fluoxetine"
"Prozit 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4.000mg/1.000ml"	"2770541000033113"	"0403030E0"	NA	"fluoxetine"
"Prozac 60mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"60.000mg"	"1111941000033111"	"0403030E0"	NA	"fluoxetine"
"Fluoxetine 60mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"60.000mg"	"579041000033111"	"0403030E0"	NA	"fluoxetine"
"Fluoxetine 10mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"10.000mg"	"11603841000033119"	"0403030E0"	NA	"fluoxetine"
"Fluoxetine 10mg tablets"	"Tablet"	"Oral"	"Fluoxetine hydrochloride"	"10.000mg"	"6496341000033116"	"0403030E0"	NA	"fluoxetine"
"Fluoxetine 40mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"40.000mg"	"11707541000033118"	"0403030E0"	NA	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4.000mg/1.000ml"	"5749441000033115"	"0403030E0"	NA	"fluoxetine"
"Prozep 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4.000mg/1.000ml"	"4498641000033115"	"0403030E0"	NA	"fluoxetine"
"Fluoxetine 20mg dispersible tablets sugar free"	"Dispersible tablet"	"Oral"	"Fluoxetine hydrochloride"	"20.000mg"	"9120641000033112"	"0403030E0"	NA	"fluoxetine"
"Olena 20mg dispersible tablets"	"Dispersible tablet"	"Oral"	"Fluoxetine hydrochloride"	"20.000mg"	"9120741000033115"	"0403030E0"	NA	"fluoxetine"
"Fluoxetine 30mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"30.000mg"	"11707441000033119"	"0403030E0"	NA	"fluoxetine"
"Motipress tablets"	"Tablet"	"Oral"	"Fluphenazine hydrochloride/ Nortriptyline hydrochloride"	"1.500mg + 30.000mg"	"938841000033118"	""	NA	"nortriptyline_fluphenazine"
"Motival 10mg/500microgram tablets"	"Tablet"	"Oral"	"Fluphenazine hydrochloride/ Nortriptyline hydrochloride"	"500.000microgram + 10.000mg"	"938941000033114"	""	NA	"nortriptyline_fluphenazine"
"Nortriptyline 10mg / Fluphenazine 500microgram tablets"	"Tablet"	"Oral"	"Fluphenazine hydrochloride/ Nortriptyline hydrochloride"	"500.000microgram + 10.000mg"	"3179941000033111"	""	NA	"nortriptyline_fluphenazine"
"Faverin 50mg tablets"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"50.000mg"	"563341000033115"	"0403030L0"	NA	"fluvoxamine"
"Fluvoxamine 50mg tablets"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"50.000mg"	"595541000033113"	"0403030L0"	NA	"fluvoxamine"
"Fluvoxamine 100mg tablets"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"100.000mg"	"592841000033116"	"0403030L0"	NA	"fluvoxamine"
"Faverin 100mg tablets"	"Tablet"	"Oral"	"Fluvoxamine maleate"	"100.000mg"	"561941000033115"	"0403030L0"	NA	"fluvoxamine"
"Imipramine 10mg tablets"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"10.000mg"	"755541000033119"	"0403010N0"	NA	"imipramine"
"Imipramine 25mg tablets"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25.000mg"	"754241000033115"	"0403010N0"	NA	"imipramine"
"Tofranil 25mg tablets"	"Tablet"	"Oral"	"Imipramine hydrochloride"	"25.000mg"	"1450841000033117"	"0403010N0"	NA	"imipramine"
"Imipramine 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Imipramine hydrochloride"	"5.000mg/1.000ml"	"5454141000033118"	"0403010N0"	NA	"imipramine"
"Imipramine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Imipramine hydrochloride"	"5.000mg/1.000ml"	"5328741000033117"	"0403010N0"	NA	"imipramine"
"Tofranil 25mg/5ml syrup"	"Oral solution"	"Oral"	"Imipramine hydrochloride"	"5.000mg/1.000ml"	"1449441000033113"	"0403010N0"	NA	"imipramine"
"Isocarboxazid 10mg tablets"	"Tablet"	"Oral"	"Isocarboxazid"	"10.000mg"	"787141000033110"	"0403020H0"	NA	"isocarboxazid"
"Gamanil 70mg tablets"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70.000mg"	"626241000033115"	"0403010R0"	NA	"lofepramine"
"Feprapax 70mg tablets"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70.000mg"	"2215541000033118"	"0403010R0"	NA	"lofepramine"
"Lofepramine 70mg tablets"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70.000mg"	"850141000033116"	"0403010R0"	NA	"lofepramine"
"Lofepramine 70mg/5ml oral solution"	"Oral solution"	"Oral"	"Lofepramine hydrochloride"	"14.000mg/1.000ml"	"5996641000033111"	"0403010R0"	NA	"lofepramine"
"Lofepramine 70mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lofepramine hydrochloride"	"14.000mg/1.000ml"	"5996741000033119"	"0403010R0"	NA	"lofepramine"
"Lofepramine 70mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Lofepramine hydrochloride"	"14.000mg/1.000ml"	"849241000033115"	"0403010R0"	NA	"lofepramine"
"Lomont 70mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lofepramine hydrochloride"	"14.000mg/1.000ml"	"2078841000033114"	"0403010R0"	NA	"lofepramine"
"Maprotiline 10mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"10.000mg"	"870441000033114"	"0403010S0"	NA	"maprotiline"
"Ludiomil 10mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"10.000mg"	"853441000033119"	"0403010S0"	NA	"maprotiline"
"Ludiomil 25mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"25.000mg"	"853541000033118"	"0403010S0"	NA	"maprotiline"
"Maprotiline 25mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"25.000mg"	"870741000033119"	"0403010S0"	NA	"maprotiline"
"Maprotiline 50mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"50.000mg"	"870841000033112"	"0403010S0"	NA	"maprotiline"
"Ludiomil 50mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"50.000mg"	"853641000033117"	"0403010S0"	NA	"maprotiline"
"Ludiomil 75mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"75.000mg"	"853741000033114"	"0403010S0"	NA	"maprotiline"
"Maprotiline 75mg tablets"	"Tablet"	"Oral"	"Maprotiline hydrochloride"	"75.000mg"	"870941000033116"	"0403010S0"	NA	"maprotiline"
"Mianserin 10mg tablets"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"10.000mg"	"917541000033110"	"0403010T0"	NA	"mianserin"
"Mianserin 20mg tablets"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"20.000mg"	"917641000033111"	"0403010T0"	NA	"mianserin"
"Mianserin 30mg tablets"	"Tablet"	"Oral"	"Mianserin hydrochloride"	"30.000mg"	"917741000033119"	"0403010T0"	NA	"mianserin"
"Mirtazapine 30mg tablets"	"Tablet"	"Oral"	"Mirtazapine"	"30.000mg"	"919641000033115"	"0403040X0"	NA	"mirtazapine"
"Zispin 30mg tablets"	"Tablet"	"Oral"	"Mirtazapine"	"30.000mg"	"1558041000033118"	"0403040X0"	NA	"mirtazapine"
"Mirtazapine 15mg tablets"	"Tablet"	"Oral"	"Mirtazapine"	"15.000mg"	"3256741000033118"	"0403040X0"	NA	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15.000mg"	"3029641000033112"	"0403040X0"	NA	"mirtazapine"
"Zispin SolTab 15mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15.000mg"	"3029841000033113"	"0403040X0"	NA	"mirtazapine"
"Zispin SolTab 30mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30.000mg"	"3078541000033115"	"0403040X0"	NA	"mirtazapine"
"Mirtazapine 30mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30.000mg"	"2974841000033114"	"0403040X0"	NA	"mirtazapine"
"Mirtazapine 45mg tablets"	"Tablet"	"Oral"	"Mirtazapine"	"45.000mg"	"3256841000033111"	"0403040X0"	NA	"mirtazapine"
"Mirtazapine 45mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45.000mg"	"3029741000033115"	"0403040X0"	NA	"mirtazapine"
"Zispin SolTab 45mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45.000mg"	"3029941000033117"	"0403040X0"	NA	"mirtazapine"
"Mirtazapine 15mg/ml oral solution sugar free"	"Oral solution"	"Oral"	"Mirtazapine"	"15.000mg/1.000ml"	"3058741000033113"	"0403040X0"	NA	"mirtazapine"
"Moclobemide 150mg tablets"	"Tablet"	"Oral"	"Moclobemide"	"150.000mg"	"937241000033118"	"0403020K0"	NA	"moclobemide"
"Manerix 150mg tablets"	"Tablet"	"Oral"	"Moclobemide"	"150.000mg"	"868841000033115"	"0403020K0"	NA	"moclobemide"
"Manerix 300mg tablets"	"Tablet"	"Oral"	"Moclobemide"	"300.000mg"	"868941000033111"	"0403020K0"	NA	"moclobemide"
"Moclobemide 300mg tablets"	"Tablet"	"Oral"	"Moclobemide"	"300.000mg"	"937841000033119"	"0403020K0"	NA	"moclobemide"
"Dutonin 100mg tablets"	"Tablet"	"Oral"	"Nefazodone hydrochloride"	"100.000mg"	"489741000033113"	"0403040T0"	NA	"nefazodone"
"Nefazodone 100mg tablets"	"Tablet"	"Oral"	"Nefazodone hydrochloride"	"100.000mg"	"966141000033116"	"0403040T0"	NA	"nefazodone"
"Nefazodone 200mg tablets"	"Tablet"	"Oral"	"Nefazodone hydrochloride"	"200.000mg"	"966241000033111"	"0403040T0"	NA	"nefazodone"
"Dutonin 200mg tablets"	"Tablet"	"Oral"	"Nefazodone hydrochloride"	"200.000mg"	"489841000033115"	"0403040T0"	NA	"nefazodone"
"Nortriptyline 10mg tablets"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"10.000mg"	"989141000033111"	"0403010V0"	NA	"nortriptyline"
"Allegron 10mg tablets"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"10.000mg"	"38741000033119"	"0403010V0"	NA	"nortriptyline"
"Allegron 25mg tablets"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"25.000mg"	"38841000033112"	"0403010V0"	NA	"nortriptyline"
"Nortriptyline 25mg tablets"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"25.000mg"	"989241000033116"	"0403010V0"	NA	"nortriptyline"
"Nortriptyline 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Nortriptyline hydrochloride"	"2.000mg/1.000ml"	"11072841000033114"	"0403010V0"	NA	"nortriptyline"
"Nortriptyline 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nortriptyline hydrochloride"	"2.000mg/1.000ml"	"12257841000033117"	"0403010V0"	NA	"nortriptyline"
"Nortriptyline 50mg tablets"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"50.000mg"	"12292341000033116"	"0403010V0"	NA	"nortriptyline"
