"medcode"	"readcode"	"desc"	"SH"	"Group"
"45166"	"U2D0.00"	"[x]intent self harm by crash of motor vehicl occurrn at home"	1	"self harm"
"45709"	"U25..00"	"[x]intent self harm by other/unspecified firearm discharge"	1	"self harm"
"45710"	"U205.00"	"[x]intent self poison/exposure to narcotic drug"	1	"self harm"
"45748"	"U202.12"	"[x]overdose - diazepam"	1	"unknown intent"
"45796"	"U72..00"	"[x]sequel intentn self-harm assault+event of undeterm intent"	1	"self harm"
"46144"	"U49..00"	"[x]contact with sharp object, undetermined intent"	1	"unknown intent"
"46154"	"ZX15.00"	"drowning self"	1	"self harm"
"46280"	"U204.11"	"[x]overdose - antidepressant"	1	"unknown intent"
"46456"	"TKx1.00"	"suicide and selfinflicted injury by burns or fire"	1	"self harm"
"46623"	"TN84.00"	"injury ?accidental, by electrocution"	1	"unknown intent"
"46747"	"U2B..00"	"[x]intentional self harm by jumping from a high place"	1	"self harm"
"47283"	"ZX11.11"	"bites self"	1	"self harm"
"47501"	"TKx..00"	"suicide and selfinflicted injury by other means"	1	"self harm"
"47623"	"ZX1..12"	"sib - self-injurious behaviour"	1	"self harm"
"48238"	"TN55.00"	"injury ?accidental, by explosive"	1	"unknown intent"
"48324"	"U202.16"	"[x]overdose - benzodiazepine"	1	"unknown intent"
"48345"	"ZX1N.00"	"stabbing self"	1	"self harm"
"48871"	"TK20.00"	"suicide + selfinflicted poisoning by motor veh exhaust gas"	1	"self harm"
"48934"	"U200000"	"[x]int self poison/exposure to nonopioid analgesic at home"	1	"self harm"
"49135"	"TK1y.00"	"suicide and selfinflicted poisoning by other utility gas"	1	"self harm"
"49552"	"U202.17"	"[x]overdose - barbiturate"	1	"unknown intent"
"50482"	"ZX1J.00"	"self-electrocution"	1	"self harm"
"50502"	"TN00.00"	"injury ?accidental, poisoning by analgesic or anti-pyretic"	1	"unknown intent"
"50601"	"ZX19200"	"slapping self"	1	"self harm"
"50877"	"U408.00"	"[x]poison/exposure, ?intent, to other/unspec drug/medicament"	1	"unknown intent"
"51046"	"U48..00"	"[x]contact with steam hot vapours+objects undetermn intent"	1	"unknown intent"
"51192"	"ZX1S.00"	"throwing self onto floor"	1	"self harm"
"51224"	"U24..00"	"[x]intent self harm by rifle shotgun/larger firearm disch"	1	"self harm"
"51292"	"U202.00"	"[x]intent self poison/exposure to sedative hypnotic"	1	"self harm"
"51309"	"U20B.00"	"[x]intent self poison/exposure to other gas/vapour"	1	"self harm"
"51328"	"TK21.00"	"suicide and selfinflicted poisoning by other carbon monoxide"	1	"self harm"
"51362"	"U20y000"	"[x]int self poison/exposure to unspecif chemical at home"	1	"self harm"
"51381"	"U202.13"	"[x]overdose - temazepam"	1	"unknown intent"
"51685"	"TK31.00"	"suicide + selfinflicted injury by suffocation by plastic bag"	1	"self harm"
"51971"	"TN87.00"	"injury ?accidental, by caustic substances, except poisoning"	1	"unknown intent"
"52004"	"TN06.00"	"injury ?accidental, poisoning by corrosive/caustic substance"	1	"unknown intent"
"52148"	"U470.00"	"[x]exposure to smoke fire+flame undeterm intent occ at home"	1	"unknown intent"
"52325"	"U4D..00"	"[x]crashing of motor vehicle, undetermined intent"	1	"unknown intent"
"52361"	"U49z.00"	"[x]contact with sharp obj undeterm intent occ unspecif place"	1	"unknown intent"
"52376"	"U42..00"	"[x]drowning and submersion, undetermined intent"	1	"unknown intent"
"52458"	"TK06.00"	"suicide + selfinflicted poisoning by agricultural chemical"	1	"self harm"
"52611"	"U40A.00"	"[x]pois/exposure,?intent,to organ solvent,halogen hydrocarb"	1	"unknown intent"
"52712"	"U205000"	"[x]int self poison/exposure to narcotic drug at home"	1	"self harm"
"52778"	"U29z.00"	"[x]intentional self harm by sharp object occ unspecif place"	1	"self harm"
"52881"	"U291.00"	"[x]intent self harm by sharp object occ resident instit'n"	1	"self harm"
"52931"	"U202.15"	"[x]overdose - nitrazepam"	1	"unknown intent"
"53004"	"U20B000"	"[x]int self poison/exposure to other gas/vapour at home"	1	"self harm"
"53204"	"U201000"	"[x]int self poison/exposure to antiepileptic at home"	1	"self harm"
"53444"	"U2A3.00"	"[x]intent self harm by blunt object occ sports/athlet area"	1	"self harm"
"54091"	"U210.00"	"[x]intent self harm by hanging strangulat/suffocat occ home"	1	"self harm"
"54695"	"U20By00"	"[x]int self poison other gas/vapour other spec place"	1	"self harm"
"54929"	"ZX1M.00"	"shooting self"	1	"self harm"
"54950"	"U44..00"	"[x]rifle shotgun+larger firearm discharge undetermin intent"	1	"unknown intent"
"55395"	"U202.11"	"[x]overdose - sleeping tabs"	1	"unknown intent"
"56075"	"U2B4.00"	"[x]intent self harm by jump from high place occ street/h'way"	1	"self harm"
"56079"	"TN2y.00"	"injury ?accidental, poisoning by other spec gas or vapour"	1	"unknown intent"
"56097"	"U4A0.00"	"[x]contact wth blunt object undetermined intent occ at home"	1	"unknown intent"
"56137"	"TK52.00"	"suicide and selfinflicted injury by hunting rifle"	1	"self harm"
"56138"	"U242.00"	"[x]int slf hrm rifl s'gun/lrg frarm dis sch/ins/pub adm area"	1	"self harm"
"56378"	"U28..00"	"[x]intentional self harm by steam hot vapours / hot objects"	1	"self harm"
"56380"	"U2D..00"	"[x]intentional self harm by crashing of motor vehicle"	1	"self harm"
"56681"	"ZX1H.00"	"self-asphyxiation"	1	"self harm"
"56877"	"TN5z.00"	"injury ?accidental, by firearm or explosive nos"	1	"unknown intent"
"57079"	"U20y.00"	"[x]intent self poison/exposure to unspecif chemical"	1	"self harm"
"57479"	"ZX1L200"	"self-mutilation of genitalia"	1	"self harm"
"58039"	"ZX1C.00"	"nipping self"	1	"self harm"
"58594"	"U20A000"	"[x]intent self pois organ solvent,halogen hydrocarb, home"	1	"self harm"
"58605"	"TK7z.00"	"suicide+selfinflicted injury-jump from high place nos"	1	"self harm"
"58831"	"TN80.00"	"injury ?accidental, by jumping or lying before moving object"	1	"unknown intent"
"59405"	"TKx0000"	"suicide + selfinflicted injury-jumping before moving object"	1	"self harm"
"59414"	"U209z00"	"[x]intent self poison alcohol unspecif place"	1	"self harm"
"60404"	"U221.00"	"[x]intent self harm by drowning/submersn occ resid instit'n"	1	"self harm"
"60559"	"U204.13"	"[x]overdose - ssri"	1	"unknown intent"
"60684"	"U2A1.00"	"[x]intent self harm by blunt object occ resident instit'n"	1	"self harm"
"60767"	"TK3z.00"	"suicide + selfinflicted inj by hang/strangle/suffocate nos"	1	"self harm"
"61113"	"TK72.00"	"suicide+selfinflicted injury-jump from natural sites"	1	"self harm"
"61177"	"U2zz.00"	"[x]intent self harm by unspecif means occ at unspecif place"	1	"self harm"
"61190"	"U409z00"	"[x]pois/expos ?intent to alcohol unspecif place"	1	"unknown intent"
"61426"	"TN8..00"	"injury ?accidental, by other means"	1	"unknown intent"
"61541"	"U408z00"	"[x]pois/expos ?intent to oth/unsp drug/medic unspecif place"	1	"unknown intent"
"61546"	"U20y200"	"[x]int self poison unspecif chemical school/pub admin area"	1	"self harm"
"61569"	"TK70.00"	"suicide+selfinflicted injury-jump from residential premises"	1	"self harm"
"61609"	"U4y3.00"	"[x]oth specif event undetermin intent occ sport/athlet area"	1	"unknown intent"
"61618"	"TK2..00"	"suicide + selfinflicted poisoning by other gases and vapours"	1	"self harm"
"62034"	"U722.00"	"[x]sequelae of events of undetermined intent"	1	"unknown intent"
"62314"	"TN04.00"	"injury ?accidental, poisoning by other spec drug/medicament"	1	"unknown intent"
"62382"	"ZX1K.00"	"self-incineration"	1	"self harm"
"62444"	"U40y400"	"[x]pois/expos ?intent unspecif chemical in street/highway"	1	"unknown intent"
"62445"	"U40B400"	"[x]pois/expos ?intent other gas/vapour in street/highway"	1	"unknown intent"
"62634"	"U405.00"	"[x]poisoning/exposure, ? intent, to narcotic drug"	1	"unknown intent"
"62950"	"U208000"	"[x]int self poison/exposure to oth/unsp drug/medicam home"	1	"self harm"
"63074"	"U2A..00"	"[x]intentional self harm by blunt object"	1	"self harm"
"63099"	"U2C4.00"	"[x]int self harm jump/lying befr mov obje occ street/highway"	1	"self harm"
"63100"	"U274.00"	"[x]intent self harm by smoke fire/flame occ street/highway"	1	"self harm"
"63222"	"U400.00"	"[x]poisoning/exposure, ? intent, to nonopioid analgesic"	1	"unknown intent"
"63483"	"U4A5.00"	"[x]contct wth blunt obj undet intent occ trade/service area"	1	"unknown intent"
"63800"	"TN0..00"	"injury ?accidental, poisoning by solid/liquid substances"	1	"unknown intent"
"63983"	"TN07.00"	"injury ?accidental, poisoning by agricultural chemicals"	1	"unknown intent"
"64200"	"ZX1L600"	"self-mutilation of ears"	1	"self harm"
"64227"	"ZX1K.11"	"setting fire to self"	1	"self harm"
"64331"	"ZX1E.00"	"pinching self"	1	"self harm"
"64364"	"U20Bz00"	"[x]intent self poison other gas/vapour unspecif place"	1	"self harm"
"64410"	"U211.00"	"[x]intent self harm by hangng strangult/suffoct resid instit"	1	"self harm"
"64744"	"TKx5.00"	"suicide and selfinflicted injury by crashing motor vehicle"	1	"self harm"
"64805"	"U4zz.00"	"[x]unspecif event undeterm intent occurrn unspecif place"	1	"unknown intent"
"65272"	"U40A300"	"[x]pois/exp ?intent org solvent,halogen hydrocarb,sport area"	1	"unknown intent"
"65309"	"TK54.00"	"suicide and selfinflicted injury by other firearm"	1	"self harm"
"65448"	"TK6z.00"	"suicide and selfinflicted injury by cutting and stabbing nos"	1	"self harm"
"65497"	"U4C..00"	"[x]falling lying running befor/into moving obj undet intent"	1	"unknown intent"
"65732"	"TN21.00"	"injury ?accidental, poisoning by other carbon monoxide"	1	"unknown intent"
"65955"	"U201.00"	"[x]intent self poison/exposure to antiepileptic"	1	"self harm"
"66063"	"TKxy.00"	"suicide and selfinflicted injury by other specified means"	1	"self harm"
"66109"	"TK01000"	"suicide and self inflicted injury by amylobarbitone"	1	"self harm"
"66117"	"U201z00"	"[x]intent self poison antiepileptic unspecif place"	1	"self harm"
"66118"	"U204z00"	"[x]intent self poison psychotropic drug unspecif place"	1	"self harm"
"66371"	"TN70.00"	"injury ?accidental, fall from residential premises"	1	"unknown intent"
"66621"	"TK0z.00"	"suicide + selfinflicted poisoning by solid/liquid subst nos"	1	"self harm"
"66634"	"U207z00"	"[x]intent self poison oth autonomic drug unspecif place"	1	"self harm"
"66788"	"U402.00"	"[x]poisoning/exposure, ? intent, to sedative hypnotic"	1	"unknown intent"
"66889"	"U40B.00"	"[x]poisoning/exposure, ? intent, to other gas/vapour"	1	"unknown intent"
"66915"	"TK5..00"	"suicide and selfinflicted injury by firearms and explosives"	1	"self harm"
"66961"	"TN20.00"	"injury ?accidental, poisoning by motor vehicle exhaust gas"	1	"unknown intent"
"67092"	"U4A3.00"	"[x]contct wth blunt obj undet intent occ sport/athletic area"	1	"unknown intent"
"67303"	"U4y..00"	"[x]other specified events, undetermined intent"	1	"unknown intent"
"67400"	"U280.00"	"[x]intent self harm by steam hot vapour/hot obj occ at home"	1	"self harm"
"67409"	"U2y0.00"	"[x]intentionl self harm by oth specif means occurrn at home"	1	"self harm"
"67586"	"U241.00"	"[x]int self harm rifl s'gun/lrg frarm disch occ resid instit"	1	"self harm"
"67717"	"U406y00"	"[x]pois/exp ?intent to hallucinogen other spec place"	1	"unknown intent"
"67874"	"U4D3.00"	"[x]crash of motor vehicle undeterm intent sport/athlet area"	1	"unknown intent"
"67956"	"U20C.12"	"[x]self poisoning with paraquat"	1	"self harm"
"67988"	"TN05.00"	"injury ?accidental, poisoning by drug or medicament nos"	1	"unknown intent"
"68091"	"U2A0.00"	"[x]intentional self harm by blunt object occurrence at home"	1	"self harm"
"68102"	"U208z00"	"[x]intent self poison oth/unsp drug/medic unspecif place"	1	"self harm"
"68159"	"U409000"	"[x]poison/exposure ?intent, to alcohol at home"	1	"unknown intent"
"68788"	"U205z00"	"[x]intent self poison narcotic drug unspecif place"	1	"self harm"
"68790"	"U202z00"	"[x]intent self poison sedative hypnotic unspecif place"	1	"self harm"
"68793"	"U207.00"	"[x]intent self poison/exposure to oth autonomic drug"	1	"self harm"
"68806"	"U20C.00"	"[x]intent self poison/exposure to pesticide"	1	"self harm"
"68893"	"U40y600"	"[x]poison/expos ?intent unspec chemic indust/construct area"	1	"unknown intent"
"68963"	"TN6..00"	"injury ?accidental, by cutting and stabbing instruments"	1	"unknown intent"
"69145"	"ZX1K.12"	"setting self alight"	1	"self harm"
"69263"	"U720.00"	"[x]sequelae of intentional self-harm"	1	"self harm"
"69297"	"TN6z.00"	"injury ?accidental, by cutting or stabbing instrument nos"	1	"unknown intent"
"69342"	"U2yz.00"	"[x]intent self harm by oth specif means occ unspecif place"	1	"self harm"
"69343"	"U202y00"	"[x]int self poison sedative hypnotic other spec place"	1	"self harm"
"69396"	"U404300"	"[x]pois/exp ?intent psychotropic drug in sport/athletic area"	1	"unknown intent"
"69407"	"U409200"	"[x]pois/exp ?intent alcohol school/pub admin area"	1	"unknown intent"
"69499"	"TN7z.00"	"injury ?accidental, fall from high place nos"	1	"unknown intent"
"69969"	"TK10.00"	"suicide + selfinflicted poisoning by gas via pipeline"	1	"self harm"
"70049"	"TN08.00"	"injury ?accidental, poisoning by arsenic or its compounds"	1	"unknown intent"
"70391"	"U205y00"	"[x]int self poison narcotic drug other spec place"	1	"self harm"
"70405"	"TK1..00"	"suicide + selfinflicted poisoning by gases in domestic use"	1	"self harm"
"70410"	"TN71.00"	"injury ?accidental, fall from other man-made structure"	1	"unknown intent"
"70414"	"U20A400"	"[x]int self poison org solvent,halogen hydrocarb,in highway"	1	"self harm"
"70946"	"TKx0.00"	"suicide + selfinflicted injury-jump/lie before moving object"	1	"self harm"
"70994"	"TN1z.00"	"injury ?accidental, poisoning by gas in domestic use nos"	1	"unknown intent"
"71159"	"TKx4.00"	"suicide and selfinflicted injury by electrocution"	1	"self harm"
"71375"	"TK11.00"	"suicide + selfinflicted poisoning by liquified petrol gas"	1	"self harm"
"71454"	"TN0z.00"	"injury ?accidental, poisoning by solid or liquid subst nos"	1	"unknown intent"
"71492"	"TN9..00"	"injury ?accidental, late effects"	1	"unknown intent"
"71661"	"ZX...11"	"self-damage"	1	"self harm"
"71843"	"TKxz.00"	"suicide and selfinflicted injury by other means nos"	1	"self harm"
"71903"	"TN8z.00"	"injury ?accidental, by means nos"	1	"unknown intent"
"72559"	"ZX19100"	"punching self"	1	"self harm"
"72734"	"U2B0.00"	"[x]intent self harm by jumping from high place occ at home"	1	"self harm"
"72747"	"U270.00"	"[x]intention self harm by smoke fire/flames occurrn at home"	1	"self harm"
"72792"	"U206400"	"[x]intent self pois hallucinogen in street/highway"	1	"self harm"
"72957"	"TN8y.00"	"injury ?accidental, by other specified means"	1	"unknown intent"
"73097"	"TN72.00"	"injury ?accidental, fall from natural site"	1	"unknown intent"
"73585"	"U29y.00"	"[x]intention self harm by sharp object occ oth specif place"	1	"self harm"
"73603"	"U28z.00"	"[x]intent self harm by steam hot vapour/obj occ unspec place"	1	"self harm"
"73628"	"TK2z.00"	"suicide + selfinflicted poisoning by gases and vapours nos"	1	"self harm"
"73666"	"U26..00"	"[x]intentional self harm by explosive material"	1	"self harm"
"73776"	"U207000"	"[x]int self poison/exposure to oth autonomic drug at home"	1	"self harm"
"73825"	"U2Cy.00"	"[x]int self harm jump/lying bef mov obje occ oth specif plce"	1	"self harm"
"87882"	"U2y1.00"	"[x]intent self harm by oth specif means occ resid instit'n"	1	"self harm"
"89429"	"U20C.11"	"[x]self poisoning with weedkiller"	1	"self harm"
"89578"	"ZX1H200"	"self-suffocation"	1	"self harm"
"90440"	"U294.00"	"[x]intention self harm by sharp object occ street/highway"	1	"self harm"
"90548"	"U4z3.00"	"[x]unspecif event undeterm intent occurrn sport/athlet area"	1	"unknown intent"
"90704"	"ZX1L300"	"self-mutilation of penis"	1	"self harm"
"90857"	"U21y.00"	"[x]intent self harm by hangng strangul/suffoct oth spec plce"	1	"self harm"
"91475"	"U4D7.00"	"[x]crashng of motor vehicle undetermined intent occ on farm"	1	"unknown intent"
"92308"	"ZX1R.00"	"throwing self in front of vehicle"	1	"self harm"
"93039"	"TN2..00"	"injury ?accidental, poisoning by other gases"	1	"unknown intent"
"93052"	"U410.00"	"[x]hanging strangulat+suffocat undet intent occurrn at home"	1	"unknown intent"
"93208"	"TN80100"	"injury ?accidental, by lying before moving object"	1	"unknown intent"
"93837"	"U2C1.00"	"[x]int self harm jump/lying befr mov obje occ resid instit'n"	1	"self harm"
"94242"	"TN11.00"	"injury ?accidental, poisoning by liquid petrol gas"	1	"unknown intent"
"94377"	"U2Bz.00"	"[x]int self harm by jump from high place occ unspecif place"	1	"self harm"
"94412"	"TK1z.00"	"suicide + selfinflicted poisoning by domestic gases nos"	1	"self harm"
"94442"	"TK01400"	"suicide and self inflicted injury by phenobarbitone"	1	"self harm"
"94637"	"U22y.00"	"[x]intent self harm by drown/submersn occ oth specif place"	1	"self harm"
"94644"	"U20Cy00"	"[x]int self poison pesticide other spec place"	1	"self harm"
"94662"	"U206.00"	"[x]intent self poison/exposure to hallucinogen"	1	"self harm"
"94725"	"U202.18"	"[x]overdose - amobarbital"	1	"unknown intent"
"95790"	"U2B6.00"	"[x]int self harm by jump from high place indust/constr area"	1	"self harm"
"95794"	"U250.00"	"[x]intent self harm oth/unspecif firearm disch occ at home"	1	"self harm"
"95812"	"ZX1L700"	"self-inducing a prolapse"	1	"self harm"
"96219"	"U409400"	"[x]pois/expos ?intent alcohol in street/highway"	1	"unknown intent"
"96224"	"U2zy.00"	"[x]intent self harm by unspecif means occ oth specif place"	1	"self harm"
"96430"	"TKx7.00"	"suicide and selfinflicted injury caustic subst, excl poison"	1	"self harm"
"96534"	"TN30.00"	"injury ?accidental, hanging"	1	"unknown intent"
"96651"	"U200y00"	"[x]int self poison nonopioid analgesic other spec place"	1	"self harm"
"96687"	"U204y00"	"[x]int self poison psychotropic drug other spec place"	1	"self harm"
"96706"	"U408000"	"[x]poison/exposure ?intent, to oth/unsp drug/medicam home"	1	"unknown intent"
"96714"	"U202400"	"[x]intent self pois sedative hypnotic in street/highway"	1	"self harm"
"96728"	"U200500"	"[x]intent self pois nonopioid analgesic trade/service area"	1	"self harm"
"96729"	"U208400"	"[x]intent self pois oth/unsp drug/medic in street/highway"	1	"self harm"
"96730"	"U200100"	"[x]intent self poison nonopioid analgesic at res institut"	1	"self harm"
"96740"	"U20C000"	"[x]int self poison/exposure to pesticide at home"	1	"self harm"
