"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"GLP-1RA"
"82709"	31385	"Semaglutide 7mg tablets"	"Semaglutide"	"7mg"	"Oral tablet"	"Oral"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"89358"	957	"Wegovy FlexTouch 1mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"90048"	9593	"Mounjaro KwikPen 2.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)"	"Tirzepatide"	"4.167mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"83130"	13953	"Dulaglutide 3mg/0.5ml solution for injection pre-filled disposable devices"	"Dulaglutide"	"6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Dulaglutide"
"76021"	38911	"Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"35251"	21194	"Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices"	"Exenatide"	"250microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"83847"	8766	"Trulicity 4.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)"	"Dulaglutide"	"9mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Dulaglutide"
"89608"	44	"Semaglutide 2.4mg/0.75ml solution for injection 3ml pre-filled disposable devices"	"Semaglutide"	"3.2mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"90536"	734	"Mounjaro KwikPen 12.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)"	"Tirzepatide"	"20.833mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"83875"	1	"Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices"	"Lixisenatide"	"33microgram/1ml + 100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin"	"Lixisenatide"
"62899"	49190	"Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Liraglutide"	"100unit/1ml + 3.6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin"	"Liraglutide"
"55729"	12903	"Lyxumia 20micrograms/0.2ml solution for injection 3ml pre-filled pens (Sanofi)"	"Lixisenatide"	"100microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Lixisenatide"
"63336"	151841	"Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)"	"Dulaglutide"	"3mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Dulaglutide"
"75938"	27620	"Ozempic 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"46458"	8624	"Exenatide 2mg powder and solvent for prolonged-release suspension for injection vials"	"Exenatide"	"2mg"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"89476"	838	"Wegovy FlexTouch 2.4mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Semaglutide"	"3.2mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"55723"	812	"Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices"	"Lixisenatide"	NA	"Not applicable"	"Route of administration not applicable"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Lixisenatide"
"91455"	0	"Rybelsus 7mg tablets (Pharmaram Ltd)"	"Semaglutide"	"7mg"	"Oral tablet"	"Oral"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"89369"	696	"Wegovy FlexTouch 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"89231"	20	"Tirzepatide 2.5mg/0.5ml solution for injection pre-filled disposable devices"	"Tirzepatide"	"5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"90254"	4065	"Mounjaro KwikPen 7.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)"	"Tirzepatide"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"85945"	0	"Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (CST Pharma Ltd)"	"Exenatide"	"2mg"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"63562"	810	"Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices"	"Liraglutide"	"100unit/1ml + 3.6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin"	"Liraglutide"
"89876"	300	"Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)"	"Tirzepatide"	"5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"82258"	8546	"Rybelsus 3mg tablets (Novo Nordisk Ltd)"	"Semaglutide"	"3mg"	"Oral tablet"	"Oral"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"64622"	0	"Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (Lexon (UK) Ltd)"	"Exenatide"	"2mg"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"90129"	10686	"Mounjaro KwikPen 5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)"	"Tirzepatide"	"8.333mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"81073"	0	"Victoza 6mg/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd)"	"Liraglutide"	"6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Liraglutide"
"89322"	1529	"Wegovy FlexTouch 0.25mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)"	"Semaglutide"	"676microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"63823"	78793	"Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices"	"Dulaglutide"	"3mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Dulaglutide"
"80810"	7527	"Bydureon BCise 2mg/0.85ml prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)"	"Exenatide"	"2.353mg/1ml"	"Prolonged-release suspension for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"90667"	54	"Tirzepatide 12.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices"	"Tirzepatide"	"20.833mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"91411"	3	"Diavic 6mg/ml solution for injection 3ml pre-filled pens (Sun Pharma UK Ltd)"	"Liraglutide"	"6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Liraglutide"
"90200"	188	"Tirzepatide 10mg/0.6ml solution for injection 2.4ml pre-filled disposable devices"	"Tirzepatide"	"16.667mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"83632"	7228	"Dulaglutide 4.5mg/0.5ml solution for injection pre-filled disposable devices"	"Dulaglutide"	"9mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Dulaglutide"
"40693"	380997	"Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices"	"Liraglutide"	"6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Liraglutide"
"90367"	682	"Mounjaro KwikPen 15mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)"	"Tirzepatide"	"25mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"90126"	959	"Tirzepatide 2.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices"	"Tirzepatide"	"4.167mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"88761"	126	"Mounjaro 5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)"	"Tirzepatide"	"10mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"55767"	730	"Lyxumia 10micrograms/20micrograms treatment initiation pack (Sanofi)"	"Lixisenatide"	NA	"Not applicable"	"Route of administration not applicable"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Lixisenatide"
"82909"	21752	"Semaglutide 14mg tablets"	"Semaglutide"	"14mg"	"Oral tablet"	"Oral"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"35150"	46781	"Byetta 10micrograms/0.04ml solution for injection 2.4ml pre-filled pens (AstraZeneca UK Ltd)"	"Exenatide"	"250microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"76624"	70254	"Semaglutide 1mg/0.74ml solution for injection 3ml pre-filled disposable devices"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"69947"	4	"Albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices"	"Albiglutide"	"30mg"	"Powder and solvent for solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Albiglutide"
"83706"	12715	"Rybelsus 14mg tablets (Novo Nordisk Ltd)"	"Semaglutide"	"14mg"	"Oral tablet"	"Oral"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"40642"	183491	"Victoza 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Liraglutide"	"6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Liraglutide"
"62904"	8905	"Exenatide 2mg powder and solvent for prolonged-release suspension for injection pre-filled disposable devices"	"Exenatide"	"2mg"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"89378"	714	"Wegovy FlexTouch 1.7mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Semaglutide"	"2.27mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"55413"	21214	"Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices"	"Lixisenatide"	"100microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Lixisenatide"
"90668"	60	"Tirzepatide 15mg/0.6ml solution for injection 2.4ml pre-filled disposable devices"	"Tirzepatide"	"25mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"89481"	123	"Semaglutide 1mg/0.75ml solution for injection 3ml pre-filled disposable devices"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"55728"	772	"Lyxumia 10micrograms/0.2ml solution for injection 3ml pre-filled pens (Sanofi)"	"Lixisenatide"	"50microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Lixisenatide"
"89962"	15	"Tirzepatide 5mg/0.5ml solution for injection pre-filled disposable devices"	"Tirzepatide"	"10mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"83262"	24386	"Trulicity 3mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)"	"Dulaglutide"	"6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Dulaglutide"
"76776"	13	"Suliqua 100units/ml / 33micrograms/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)"	"Lixisenatide"	"33microgram/1ml + 100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin"	"Lixisenatide"
"89317"	507	"Semaglutide 0.25mg/0.37ml solution for injection 1.5ml pre-filled disposable devices"	"Semaglutide"	"676microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"82697"	17306	"Rybelsus 7mg tablets (Novo Nordisk Ltd)"	"Semaglutide"	"7mg"	"Oral tablet"	"Oral"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"82174"	17405	"Semaglutide 3mg tablets"	"Semaglutide"	"3mg"	"Oral tablet"	"Oral"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"76777"	31	"Suliqua 100units/ml / 50micrograms/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)"	"Lixisenatide"	"100unit/1ml + 50microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin"	"Lixisenatide"
"63401"	38366	"Trulicity 0.75mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)"	"Dulaglutide"	"1.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Dulaglutide"
"75987"	38429	"Semaglutide 0.5mg/0.37ml solution for injection 1.5ml pre-filled disposable devices"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"90187"	2841	"Mounjaro KwikPen 10mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)"	"Tirzepatide"	"16.667mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
