medcodeid	term
905621000006113	[rfc] reason for care : diabetes
908831000006118	[rfc] reason for care : diabetes mellitus
914061000006110	type ii diabetes mellitus with ophthalmic complications
914081000006117	type ii diabetes mellitus with neurological complications
914221000006113	type 2 diabetes mellitus with mononeuropathy
914231000006111	type ii diabetes mellitus with mononeuropathy
914261000006119	diabetes type 2 with nephropathy
914271000006114	type ii diabetes mellitus with nephropathy
914391000006116	insulin treated type 2 diabetes mellitus
928551000006115	type ii diabetes mellitus with persistent proteinuria
928571000006113	type ii diabetes mellitus with persistent microalbuminuria
928591000006114	type ii diabetes mellitus with ketoacidosis
932641000006116	diabetes with coma
1177721000000112	diabetic on subcutaneous treatment
1667921000000117	type ii diabetes mellitus with gastroparesis
1694761000006113	newly diagnosed diabetes
1780981000006115	diabetic on non-insulin injectable
1823921000006119	diabetes mellitus confirmed
1954041000006119	diabetic - uses carbohydrate counting
1966311000006116	diabetic on oral treatment and glucagon-like peptide 1 receptor agonist
1966321000006112	diabetic on insulin and glucagon-like peptide 1 receptor agonist
2460251000000115	diabetic on non-insulin injectable medication
2683591000006110	unstable diabetes mellitus
3209441000006114	diabetes mellitus type 2
3690681000006114	dm - diabetes mellitus
3825721000006111	type 2 diabetes mellitus in obese
3825731000006114	diabetes mellitus type 2 in obese
4758011000006112	type 2 diabetes mellitus with hyperosmolar coma
5109461000006115	diabetes type 2 on insulin
5505651000006113	diabetes mellitus uncontrolled
6204751000006114	diabetes mellitus type 2 in nonobese
6969931000006116	diabetes type 2 with neurological disorder
6977431000006113	diabetes type 2 with ketoacidosis
7281511000006118	type 2 diabetes mellitus uncontrolled
7288191000006110	type 2 diabetes mellitus well controlled
7306751000006110	brittle type 2 diabetes mellitus
7306781000006119	unstable type ii diabetes mellitus
8012061000006117	type 2 diabetic on insulin
8012071000006112	type ii diabetes on insulin
8064411000006119	diabetic with adequate control
14757381000006119	ketosis-resistant diabetes mellitus
15498541000006112	uncontrolled type 2 diabetes mellitus
