"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Insulin"
"2221"	196695	"Mixtard 30 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Biphasic Insulins"	"Insulin"
"12840"	3189	"B-d u-100 0.5ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"71351"	1115	"Lantus 100units/ml solution for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"16142"	7336	"Insulin aspart 100units/ml solution for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"56691"	1133	"Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"200unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"31267"	2	"INSULIN PUR-IN MIX 50/50 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"24845"	155	"INSULIN PUR-IN ISOPHANE 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"14504"	1187	"INSULIN HYPURIN PROTAMINE ZINC 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"82124"	1229	"Lyumjev 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"11271"	4313	"B-d u-100 1ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin"	"1ml"	"Insulin Syringe"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"49172"	6250	"NovoPen Echo hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units Red (Novo Nordisk Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"67324"	163	"Humulin M3 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"74996"	5	"Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"14619"	1982	"Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 1.5ml cartridges"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Unknown"	"Insulin"
"53251"	2	"NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (DE Pharmaceuticals)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"70900"	37	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"65421"	19942	"TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"56983"	2020	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"18592"	76	"Insulin soluble bovine 100units/ml solution for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"7318"	427923	"Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"6958"	689610	"Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"57529"	1203	"Humalog 100units/ml solution for injection 10ml vials (Dowelhurst Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"24795"	1145	"Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"16700"	40	"Insulin zinc mixed bovine vial 100unit/ml Sterile suspension injection"	"Insulin"	"100unit/ml"	"Sterile Suspension Injection"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"84314"	518	"Lyumjev KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"200unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"69442"	407	"Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"5345"	7958	"Monoject hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.36mm/28gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 12Mm Needle(28G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"35468"	188	"Insuman Basal 100units/ml suspension for injection 5ml vials (Sanofi)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"13516"	13119	"Hypurin bovine isophane 100unit/ml Injection (C P Pharmaceuticals Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"63707"	20443	"GlucoRx FinePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"69440"	1636	"Neon Verifine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"10067"	2861	"Insulin biphasic aspart human pyr 30:70; 100 units/ml Injection"	"Insulin"	"30:70; 100 units/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"54886"	469	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"65638"	200	"Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (A. Menarini Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"69583"	417	"Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"24554"	89	"Unifine single use Insulin syringe with 30gauge needle 8mm 0.3ml (Owen Mumford Ltd)"	"Insulin"	"0.3ml"	"Insulin Syringe With 30Gauge Needle 8Mm"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"10915"	945	"Humaject m1 100iu/ml M1 pen (Eli Lilly and Company Ltd)"	"Insulin"	"100iu/ml"	"M1 Pen"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"64987"	4060	"Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"24722"	232	"INSULIN ISOPHANE 50%/NEUTRAL 50% 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"82533"	102	"Humulin S 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"72324"	7204	"GlucoRx CarePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"59793"	702	"Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Cambridge Sensors Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"1592"	312963	"Actrapid penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Penfill"	"Subcutaneous Injection"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"24002"	836	"Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"48342"	3180	"HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Burgundy (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"61562"	95	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"21554"	664	"Insuman comb 50 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"51650"	43254	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"11107"	4891	"Humulin m4 100unit/ml M4 injection (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/ml"	"M4 Injection"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"82475"	507	"NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"60938"	722	"Mixtard 30 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"12300"	470	"SYRINGE INSULIN (BS1619/1) 2ML"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"37427"	5296	"HumaPen Luxura HD hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units (Eli Lilly and Company Ltd)"	"Insulin"	"3ml/1-30 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"71804"	391	"AllStar Pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Silver (Sanofi)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"16682"	10	"Tempulin 100unit/ml Injection (Knoll Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"5634"	3050	"Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.36mm/28gauge"	"Insulin"	"1ml"	"Insulin Syringe With 12Mm Needle(28G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"87716"	7	"Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"19707"	8	"INSULIN HUMULIN S (NEUTRAL SOLUBLE)"	"Insulin"	NA	NA	NA	"Unknown"	"Insulin"
"5214"	16169	"Insulin lispro 100units/ml solution for injection 1.5ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"76660"	49	"Insulin lispro Sanofi 100units/ml solution for injection 3ml cartridges (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"3551"	45372	"Mixtard 20 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Penfill"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"1649"	15085	"Human actraphane 100iu/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"22155"	43	"Humaject m5 100iu/ml M5 pen (Eli Lilly and Company Ltd)"	"Insulin"	"100iu/ml"	"M5 Pen"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"18446"	467	"Unifine hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.33mm/29gauge (Owen Mumford Ltd)"	"Insulin"	"1ml"	"Insulin Syringe With 12Mm Needle(29G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"10145"	17636	"Humapen luxura insulin pen 3ml/1-60 units Insulin pen 3ml/1-60 units (Eli Lilly and Company Ltd)"	"Insulin"	"3ml/1-60 units"	"Insulin Pen"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"18149"	1003	"Monoject u100 insulin syringe 12mm(29g)0.5ml 12mm29G 0.5ml Insulin syringe (Covidien (UK) Commercial Ltd)"	"Insulin"	"12mm29G 0.5ml"	"Insulin Syringe"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"22823"	9	"INSULIN ISOPHANE (PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"60028"	859	"Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4mm/32gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector-Snap On"	"Insulin"
"18593"	55579	"Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"7757"	197	"INSULIN NEULENTE (ZINC SUSP)(PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"5892"	1528346	"NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"5267"	79173	"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 8Mm Needle(30G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"7349"	40358	"Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"14506"	247	"INSULIN BOVINE PROTAMINE ZINC 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"10242"	10777	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge"	"Insulin"	"6mm/31gauge"	"Hypodermic Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"66098"	93	"JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units Silver (Sanofi)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"44810"	833	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge"	"Insulin"	"5mm/32 gauge"	"Hypodermic Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"66150"	4987	"Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (A. Menarini Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"74680"	1	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (DE Pharmaceuticals)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"22058"	0	"Pur-in mix 15/85 Injection (C P Pharmaceuticals Ltd)"	"Insulin"	NA	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"55910"	62320	"Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"71395"	81	"Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"14938"	21	"Insulin soluble bovine cartridge 100unit/ml Solution for injection"	"Insulin"	"100unit/ml"	"Solution For Injection"	"Subcutaneous Injection"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"2459"	74480	"Pork Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous/Intramuscular"	"Biphasic Insulins"	"Insulin"
"36853"	1417870	"Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"87541"	1	"Klinion Soft Fine Plus Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (H & R Healthcare Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"74862"	28	"Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Mawdsley-Brooks & Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"6060"	4796	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge (Owen Mumford Ltd)"	"Insulin"	"6mm/30gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"43670"	19167	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge"	"Insulin"	"4mm/32 gauge"	"Hypodermic Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"76975"	3	"Humalog 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"55234"	25235	"Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Insulin"	"200unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"6991"	36054	"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 12Mm Needle(29G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"5649"	482	"Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units (Owen Mumford Ltd)"	"Insulin"	"1.5ml/1-16 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"27461"	3664	"Insuman Basal 100units/ml suspension for injection 3ml cartridges (Sanofi)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"33101"	366	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge"	"Insulin"	"12.7mm/29gauge"	"Hypodermic Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"33966"	14813	"Insulatard 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"1751"	34845	"Hypodermic U100 insulin syringe glass reusable 1ml"	"Insulin"	"1ml"	"Insulin Syringe"	NA	"Unknown"	"Insulin"
"8839"	567	"INSULIN SEMITARD 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"6965"	390474	"Levemir Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"82816"	1198	"Lyumjev 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
