"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"	"Gen"	"AP"
"609"	321484001	"65588020"	"Perphenazine 2mg tablets"	"Perphenazine"	"2mg"	"Tablet"	"Oral"	"04020101/04060000"	"First-generation Antipsychotic Drugs/Drugs Used In Nausea And Vertigo"	1	"Perphenazine"
"631"	526611000001101	"77749020"	"Risperdal 500microgram tablets (Janssen-Cilag Ltd)"	"Risperidone"	"500microgram"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"667"	321602009	"77912020"	"Risperidone 500microgram tablets"	"Risperidone"	"500microgram"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"760"	321729005	"64015020"	"Lithium carbonate 200mg modified-release tablets"	"Lithium carbonate"	"200mg"	"Modified-release tablet"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"840"	3680311000001100	"49428020"	"Fentazin 2mg tablets (AMCo)"	"Perphenazine"	"2mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Perphenazine"
"872"	766311000001100	"51252020"	"Priadel 400mg modified-release tablets (Sanofi)"	"Lithium carbonate"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"1159"	36143511000001104	"75978020"	"Trifluoperazine 2mg modified-release capsules"	"Trifluoperazine hydrochloride"	"2mg"	"Modified-release capsule"	"Oral"	"00000000"	"Unknown"	1	"Trifluoperazine"
"1162"	160211000001102	"50347020"	"Melleril 25mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine hydrochloride"	"25mg"	"Tablet"	"Oral"	"00000000"	"Unknown"	1	"Thioridazine"
"1192"	321530002	"67027020"	"Thioridazine 10mg tablets"	"Thioridazine hydrochloride"	"10mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Thioridazine"
"1218"	321531003	"67028020"	"Thioridazine 25mg tablets"	"Thioridazine hydrochloride"	"25mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Thioridazine"
"1234"	47911000001107	"52717020"	"Stemetil 25mg suppositories (Sanofi)"	"Prochlorperazine maleate"	"25mg"	"Suppository"	"Rectal"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"1245"	321548006	"67235020"	"Trifluoperazine 5mg tablets"	"Trifluoperazine hydrochloride"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Trifluoperazine"
"1249"	321614001	"83405020"	"Olanzapine 10mg tablets"	"Olanzapine"	"10mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"1314"	321532005	"67029020"	"Thioridazine 50mg tablets"	"Thioridazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Thioridazine"
"1316"	45811000001107	"51677020"	"Stelazine 5mg tablets (Mercury Pharma Group Ltd)"	"Trifluoperazine hydrochloride"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Trifluoperazine"
"1318"	325311000001103	"51676020"	"Stelazine 1mg tablets (Mercury Pharma Group Ltd)"	"Trifluoperazine hydrochloride"	"1mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Trifluoperazine"
"1319"	827511000001102	"48713020"	"Clopixol 10mg tablets (Lundbeck Ltd)"	"Zuclopenthixol dihydrochloride"	"10mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Zuclopenthixol"
"1320"	321589009	"53727020"	"Risperidone 1mg tablets"	"Risperidone"	"1mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"1321"	321590000	"53728020"	"Risperidone 2mg tablets"	"Risperidone"	"2mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"1434"	322149009	"66242020"	"Prochlorperazine 5mg suppositories"	"Prochlorperazine maleate"	"5mg"	"Suppository"	"Rectal"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"1447"	321734009	"64020020"	"Lithium carbonate 400mg modified-release tablets"	"Lithium carbonate"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"1550"	35928211000001108	"69212020"	"Sodium valproate 200mg/5ml oral solution"	"Sodium valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"1733"	107025001000027104	"62032020"	"Flupentixol decanoate 20mg/ml Injection"	"Flupentixol Decanoate"	"20mg/ml"	"Injection"	""	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"1735"	213711000001101	"51683020"	"Stelazine 10mg Spansules (Mercury Pharma Group Ltd)"	"Trifluoperazine hydrochloride"	"10mg"	"Modified-release capsule"	"Oral"	"00000000"	"Unknown"	1	"Trifluoperazine"
"1857"	321547001	"75976020"	"Trifluoperazine 1mg tablets"	"Trifluoperazine hydrochloride"	"1mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Trifluoperazine"
"1990"	322150009	"66241020"	"Prochlorperazine 25mg suppositories"	"Prochlorperazine maleate"	"25mg"	"Suppository"	"Rectal"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"2079"	322985008	"66061020"	"Lamotrigine 25mg tablets"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"2080"	322981004	"66059020"	"Lamotrigine 50mg tablets"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"2081"	36566611000001104	"75707020"	"Lamotrigine 5mg dispersible tablets sugar free"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"2082"	100011000001108	"69797020"	"Epilim 200mg/5ml liquid (Sanofi)"	"Sodium valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"2094"	3747311000001104	"58509020"	"Haldol decanoate 50mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)"	"Haloperidol decanoate"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101/04020200"	"First-generation Antipsychotic Drugs/Antipsychotic Depot Injections"	1	"Haloperidol"
"2135"	321514005	"66836020"	"Sulpiride 200mg tablets"	"Sulpiride"	"200mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Sulpiride"
"2136"	39945001000027104	"53030020"	"Depixol 20mg/ml Injection (Lundbeck Ltd)"	"Flupentixol Decanoate"	"20mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"2154"	321368001	"61237020"	"Chlorpromazine 100mg tablets"	"Chlorpromazine hydrochloride"	"100mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"2155"	7115001000027100	"48900020"	"Depixol -conc 100mg/ml Injection (Lundbeck Ltd)"	"Flupentixol Decanoate"	"100mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"2156"	3102111000001103	"53031020"	"Depixol 40mg/2ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol decanoate"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"2157"	321485000	"65589020"	"Perphenazine 4mg tablets"	"Perphenazine"	"4mg"	"Tablet"	"Oral"	"04020101/04060000"	"First-generation Antipsychotic Drugs/Drugs Used In Nausea And Vertigo"	1	"Perphenazine"
"2275"	321935002	"62025020"	"Flupentixol 500microgram tablets"	"Flupentixol dihydrochloride"	"500microgram"	"Tablet"	"Oral"	"04030400"	"Other Antidepressant Drugs"	1	"Flupentixol"
"2276"	36068911000001104	"68096020"	"Flupentixol 40mg/2ml solution for injection ampoules"	"Flupentixol decanoate"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"2419"	321448008	"63118020"	"Haloperidol 500microgram capsules"	"Haloperidol"	"500microgram"	"Capsule"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"2474"	321365003	"61236020"	"Chlorpromazine 10mg tablets"	"Chlorpromazine hydrochloride"	"10mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"2489"	321490002	"65797020"	"Pimozide 2mg tablets"	"Pimozide"	"2mg"	"Tablet"	"Oral"	"00000000"	"Unknown"	1	"Pimozide"
"2502"	883911000001106	"50348020"	"Melleril 50mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"00000000"	"Unknown"	1	"Thioridazine"
"2540"	321393004	"64105020"	"Benperidol 250microgram tablets"	"Benperidol"	"250microgram"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Benperidol"
"2620"	115075001000027104	"63110020"	"Haloperidol 1mg/ml Oral solution"	"Haloperidol"	"1mg/ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Haloperidol"
"2621"	321417000	"63105020"	"Haloperidol 5mg tablets"	"Haloperidol"	"5mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"2656"	321618003	"81014020"	"Olanzapine 2.5mg tablets"	"Olanzapine"	"2.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"2713"	714111000001105	"51682020"	"Stelazine 2mg Spansules (Mercury Pharma Group Ltd)"	"Trifluoperazine hydrochloride"	"2mg"	"Modified-release capsule"	"Oral"	"00000000"	"Unknown"	1	"Trifluoperazine"
"2714"	36143111000001104	"67236020"	"Trifluoperazine 10mg modified-release capsules"	"Trifluoperazine hydrochloride"	"10mg"	"Modified-release capsule"	"Oral"	"00000000"	"Unknown"	1	"Trifluoperazine"
"2786"	321599004	"49491020"	"Risperidone 6mg tablets"	"Risperidone"	"6mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"2787"	321592008	"49489020"	"Risperidone 4mg tablets"	"Risperidone"	"4mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"2801"	143935001000027104	"67037020"	"Thioridazine 10mg/5ml Oral solution"	"Thioridazine Hydrochloride"	"10mg/5ml"	"Oral Solution"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Thioridazine"
"2814"	67055001000027104	"56445020"	"Largactil 25mg Tablet (Hawgreen Ltd)"	"Chlorpromazine hydrochloride"	"25mg"	"Tablet"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Chlorpromazine"
"2822"	162725001000027104	"69792020"	"Epilim ec 500mg Gastro-resistant tablet (Sanofi)"	"Sodium valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"2972"	321498009	"72987020"	"Promazine 25mg tablets"	"Promazine hydrochloride"	"25mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Promazine"
"3021"	321533000	"67032020"	"Thioridazine 100mg tablets"	"Thioridazine hydrochloride"	"100mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Thioridazine"
"3024"	95785001000027104	"03097007"	"PROCHLORPERAZINE MALEATE 3 MG TAB"	""	""	""	""	"00000000"	"Unknown"	1	"Prochlorperazine"
"3107"	739111000001100	"74925020"	"Epilim Chrono 500 tablets (Sanofi)"	"Sodium valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"3197"	184055001000027104	"72991020"	"Promazine 100mg tablet"	"Promazine Hydrochloride"	"100mg"	"Tablets"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Promazine"
"3226"	39355001000027104	"52958020"	"Sparine 50mg Tablet (Wyeth Pharmaceuticals)"	"Promazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Promazine"
"3227"	39445001000027104	"52968020"	"Sparine 50mg/5ml Liquid (Wyeth Pharmaceuticals)"	"Promazine Hydrochloride"	"50mg/5ml"	"Liquid"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Promazine"
"3228"	321499001	"72988020"	"Promazine 50mg tablets"	"Promazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Promazine"
"3233"	115095001000027104	"63113020"	"Haloperidol 2mg/ml sugar free Liquid"	"Haloperidol"	"2mg/ml"	"Liquid"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Haloperidol"
"3246"	83015001000027104	"58525020"	"Stemetil 12.5mg/ml Injection (Castlemead Healthcare Ltd)"	"Prochlorperazine Mesilate"	"12.5mg/ml"	"Injection"	"Intramuscular Deep Injection"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Prochlorperazine"
"3281"	321612002	"83403020"	"Olanzapine 5mg tablets"	"Olanzapine"	"5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"3348"	321367006	"68532020"	"Chlorpromazine 50mg tablets"	"Chlorpromazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"3350"	322957006	"69071020"	"Sodium valproate 500mg gastro-resistant tablets"	"Sodium valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"3352"	704311000001105	"50224020"	"Liskonum 450mg modified-release tablets (Teofarma)"	"Lithium carbonate"	"450mg"	"Modified-release tablet"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"3359"	565011000001106	"51251020"	"Priadel 200mg modified-release tablets (Sanofi)"	"Lithium carbonate"	"200mg"	"Modified-release tablet"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"3579"	58711000001108	"52528020"	"Melleril 25mg/5ml oral suspension (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"5mg/1ml"	"Oral suspension"	"Oral"	"00000000"	"Unknown"	1	"Thioridazine"
"3605"	321536008	"67036020"	"Thioridazine 25mg/5ml oral solution"	"Thioridazine hydrochloride"	"5mg/1ml"	"Oral solution"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Thioridazine"
"3671"	321451001	"63103020"	"Haloperidol 500microgram tablets"	"Haloperidol"	"500microgram"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"3731"	162715001000027104	"69791020"	"Epilim ec 200mg Gastro-resistant tablet (Sanofi)"	"Sodium valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"3733"	789911000001106	"74924020"	"Epilim Chrono 300 tablets (Sanofi)"	"Sodium valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"3734"	489711000001100	"74923020"	"Epilim Chrono 200 tablets (Sanofi)"	"Sodium valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"3738"	593211000001102	"68072020"	"Stemetil Eff 5mg sachets (Sanofi)"	"Prochlorperazine mesilate"	"5mg"	"Effervescent granules"	"Oral"	"00000000"	"Unknown"	1	"Prochlorperazine"
"3772"	67065001000027104	"56446020"	"Largactil 50mg Tablet (Hawgreen Ltd)"	"Chlorpromazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Chlorpromazine"
"3773"	113485001000027104	"62878020"	"Droperidol 10mg tablets"	"Droperidol"	"10mg"	"Tablets"	"Oral"	"04020100/15010401"	"Antipsychotic Drugs/Benzodiazepines (peri-operative)"	1	"Droperidol"
"3774"	39915001000027104	"53027020"	"Clopixol 200mg/ml Oily injection (Lundbeck Ltd)"	"Zuclopenthixol Decanoate"	"200mg/ml"	"Oily Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020100/04020200"	"Antipsychotic Drugs/Antipsychotic Depot Injections"	1	"Zuclopenthixol"
"3775"	103395001000027104	"61511020"	"Zuclopenthixol decanoate 200mg/ml oily injection"	"Zuclopenthixol Decanoate"	"200mg/ml"	"Oily Injection"	""	"04020100/04020200"	"Antipsychotic Drugs/Antipsychotic Depot Injections"	1	"Zuclopenthixol"
"3845"	35928311000001100	"69211020"	"Sodium valproate 200mg/5ml oral solution sugar free"	"Sodium valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"3886"	322994002	"79266020"	"Lamotrigine 200mg tablets"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"3926"	19255001000027104	"50445020"	"Modecate 25mg/ml Injection (Sanofi-Synthelabo Ltd)"	"Fluphenazine Decanoate"	"25mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"04020200"	"Antipsychotic Depot Injections"	1	"Fluphenazine"
"3932"	322145003	"66238020"	"Prochlorperazine 25mg tablets"	"Prochlorperazine maleate"	"25mg"	"Tablet"	"Oral"	"00000000"	"Unknown"	1	"Prochlorperazine"
"3937"	36143211000001104	"67239020"	"Trifluoperazine 15mg modified-release capsules"	"Trifluoperazine hydrochloride"	"15mg"	"Modified-release capsule"	"Oral"	"00000000"	"Unknown"	1	"Trifluoperazine"
"3951"	843011000001101	"49503020"	"Fluanxol 1mg tablets (Lundbeck Ltd)"	"Flupentixol dihydrochloride"	"1mg"	"Tablet"	"Oral"	"04030400"	"Other Antidepressant Drugs"	1	"Flupentixol"
"3952"	36138311000001104	"61244020"	"Chlorpromazine 25mg/5ml oral solution"	"Chlorpromazine hydrochloride"	"5mg/1ml"	"Oral solution"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"3953"	507511000001106	"49502020"	"Fluanxol 500microgram tablets (Lundbeck Ltd)"	"Flupentixol dihydrochloride"	"500microgram"	"Tablet"	"Oral"	"04030400"	"Other Antidepressant Drugs"	1	"Flupentixol"
"4195"	552511000001100	"69793020"	"Epilim 100mg crushable tablets (Sanofi)"	"Sodium valproate"	"100mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"4232"	701911000001108	"52695020"	"Nozinan 25mg tablets (Sanofi)"	"Levomepromazine maleate"	"25mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Levomepromazine"
"4234"	179615001000027104	"72226020"	"Haloperidol 5mg/ml Injection"	"Haloperidol"	"5mg/ml"	"Injection"	"Subcutaneous Infusion"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Haloperidol"
"4401"	160885001000027104	"69516020"	"Prochlorperazine maleate 10mg modified release capsule"	"Prochlorperazine Maleate"	"10mg"	"Modified Release Capsules"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Prochlorperazine"
"4434"	8359711000001109	"61243020"	"Chlorpromazine 50mg/5ml oral solution"	"Chlorpromazine hydrochloride"	"10mg/1ml"	"Oral solution"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"4442"	4182911000001102	"52694020"	"Nozinan 25mg/1ml solution for injection ampoules (Sanofi)"	"Levomepromazine hydrochloride"	"25mg/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Levomepromazine"
"4495"	892411000001106	"69796020"	"Epilim 200mg/5ml syrup (Sanofi)"	"Sodium valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"4502"	322969003	"69210020"	"Sodium valproate 100mg tablets"	"Sodium valproate"	"100mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"4524"	4544911000001108	"58517020"	"Orap 2mg tablets (Janssen-Cilag Ltd)"	"Pimozide"	"2mg"	"Tablet"	"Oral"	"00000000"	"Unknown"	1	"Pimozide"
"4586"	2925811000001101	"66211020"	"Lamictal 25mg tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"4673"	788511000001105	"52530020"	"Melleril 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine hydrochloride"	"5mg/1ml"	"Oral solution"	"Oral"	"00000000"	"Unknown"	1	"Thioridazine"
"4769"	322143005	"69608020"	"Prochlorperazine 3mg buccal tablets"	"Prochlorperazine maleate"	"3mg"	"Buccal tablet"	"Buccal"	"04065400"	"Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"4820"	589911000001105	"49437020"	"Risperdal 1mg tablets (Janssen-Cilag Ltd)"	"Risperidone"	"1mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"4876"	321637007	"85992020"	"Amisulpride 50mg tablets"	"Amisulpride"	"50mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Amisulpride"
"4992"	319511000001103	"86000020"	"Solian 200 tablets (Sanofi)"	"Amisulpride"	"200mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Amisulpride"
"5014"	321461008	"64327020"	"Levomepromazine 25mg tablets"	"Levomepromazine maleate"	"25mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Levomepromazine"
"5039"	321625005	"85204020"	"Quetiapine 100mg tablets"	"Quetiapine fumarate"	"100mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"5040"	321635004	"85207020"	"Quetiapine 150mg tablets"	"Quetiapine fumarate"	"150mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"5071"	321638002	"85993020"	"Amisulpride 200mg tablets"	"Amisulpride"	"200mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Amisulpride"
"5076"	322982006	"66060020"	"Lamotrigine 100mg tablets"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"5192"	115115001000027104	"63115020"	"Haloperidol 1mg/5ml sugar free Oral solution"	"Haloperidol"	"1mg/5ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Haloperidol"
"5212"	321412006	"62037020"	"Fluphenazine 1mg tablets"	"Fluphenazine hydrochloride"	"1mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Fluphenazine"
"5219"	321591001	"53729020"	"Risperidone 3mg tablets"	"Risperidone"	"3mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
