"MedCodeId"	"CleansedReadCode"	"Term"	"cat"
"1488404014"	"2G5F.00"	"o/e - right diabetic foot at moderate risk"	"Unknown"
"1488394019"	"2G5G.00"	"o/e - right diabetic foot at high risk"	"Unknown"
"1488395018"	"2G5H.00"	"o/e - right diabetic foot - ulcerated"	"Unknown"
"1488397014"	"2G5I.00"	"o/e - left diabetic foot at low risk"	"Unknown"
"1488403015"	"2G5J.00"	"o/e - left diabetic foot at moderate risk"	"Unknown"
"1488398016"	"2G5K.00"	"o/e - left diabetic foot at high risk"	"Unknown"
"1488396017"	"2G5L.00"	"o/e - left diabetic foot - ulcerated"	"Unknown"
"2532977011"	"2G5V.00"	"o/e - right chronic diabetic foot ulcer"	"Unknown"
"2532976019"	"2G5W.00"	"o/e - left chronic diabetic foot ulcer"	"Unknown"
"453050019"	"3881.00"	"education score - diabetes"	"Unknown"
"616821000006116"	"3882.00"	"diabetes well being questionnaire"	"Unknown"
"408811014"	"3883.00"	"diabetes treatment satisfaction questionnaire"	"Unknown"
"453910015"	"42c..00"	"hba1 - diabetic control"	"Unknown"
"404444016"	"42W..00"	"hb. a1c - diabetic control"	"Unknown"
"257623014"	"42WZ.00"	"hb. a1c - diabetic control nos"	"Unknown"
"259365016"	"44V3.00"	"glucose tol. test diabetic"	"Unknown"
"2117891000000114"	"661M400"	"diabetes self-management plan agreed"	"Unknown"
"2115761000000117"	"661N400"	"diabetes self-management plan review"	"Unknown"
"264676010"	"66A..00"	"diabetic monitoring"	"Unknown"
"264677018"	"66A1.00"	"initial diabetic assessment"	"Unknown"
"264678011"	"66A2.00"	"follow-up diabetic assessment"	"Unknown"
"264679015"	"66A3.00"	"diabetic on diet only"	"Type 2"
"264681018"	"66A4.00"	"diabetic on oral treatment"	"Type 2"
"264682013"	"66A5.00"	"diabetic on insulin"	"Unknown"
"264693010"	"66A8.00"	"has seen dietician - diabetes"	"Unknown"
"264695015"	"66A9.00"	"understands diet - diabetes"	"Unknown"
"63041000000111"	"66Aa.00"	"diabetic diet - poor compliance"	"Unknown"
"777231000006119"	"66AA.11"	"injection sites - diabetic"	"Unknown"
"1780386019"	"66Ab.00"	"diabetic foot examination"	"Unknown"
"1780286017"	"66Ac.00"	"diabetic peripheral neuropathy screening"	"Unknown"
"2533107019"	"66Af.00"	"patient diabetes education review"	"Unknown"
"264704018"	"66AG.00"	"diabetic drug side effects"	"Unknown"
"264705017"	"66AH.00"	"diabetic treatment changed"	"Unknown"
"2262381000000117"	"66AH200"	"conversion to insulin by diabetes specialist nurse"	"Unknown"
"299261000000111"	"66Ai.00"	"diabetic 6 month review"	"Unknown"
"264707013"	"66AI.00"	"diabetic - good control"	"Unknown"
"401531012"	"66AJ.00"	"diabetic - poor control"	"Unknown"
"411891014"	"66AJ.11"	"unstable diabetes"	"Unknown"
"19931010"	"66AJ100"	"brittle diabetes"	"Unknown"
"264716012"	"66AJz00"	"diabetic - poor control nos"	"Unknown"
"301611000000118"	"66Ak.00"	"diabetic monitoring - lower risk albumin excretion"	"Unknown"
"264717015"	"66AK.00"	"diabetic - cooperative patient"	"Unknown"
"301641000000117"	"66Al.00"	"diabetic monitoring - higher risk albumin excretion"	"Unknown"
"264718013"	"66AL.00"	"diabetic-uncooperative patient"	"Unknown"
"264719017"	"66AM.00"	"diabetic - follow-up default"	"Unknown"
"479511000000117"	"66An.00"	"diabetes type 1 review"	"Type 1"
"264720011"	"66AN.00"	"date diabetic treatment start"	"Unknown"
"479571000000110"	"66Ao.00"	"diabetes type 2 review"	"Type 2"
"607851000006113"	"66AO.00"	"date diabetic treatment stopp."	"Unknown"
"264723013"	"66AP.00"	"diabetes: practice programme"	"Unknown"
"692951000000111"	"66Aq.00"	"diabetic foot screen"	"Unknown"
"264724019"	"66AQ.00"	"diabetes: shared care programme"	"Unknown"
"1139821000000110"	"66AQ000"	"unsuitable for diabetes year of care programme"	"Unknown"
"1139861000000119"	"66AQ100"	"declined consent for diabetes year of care programme"	"Unknown"
"264726017"	"66AR.00"	"diabetes management plan given"	"Unknown"
"1177721000000112"	"66As.00"	"diabetic on subcutaneous treatment"	"Unknown"
"264727014"	"66AS.00"	"diabetic annual review"	"Unknown"
"2287311000000111"	"66AS000"	"diabetes year of care annual review"	"Unknown"
"1658821000000117"	"66At.00"	"diabetic dietary review"	"Unknown"
"264728016"	"66AT.00"	"annual diabetic blood test"	"Unknown"
"1658861000000113"	"66At000"	"type i diabetic dietary review"	"Type 1"
"1665751000000119"	"66At011"	"type 1 diabetic dietary review"	"Type 1"
"1658901000000118"	"66At100"	"type ii diabetic dietary review"	"Type 2"
"1665721000000112"	"66At111"	"type 2 diabetic dietary review"	"Type 2"
"1734281000000117"	"66Au.00"	"diabetic erectile dysfunction review"	"Unknown"
"216195015"	"66AU.00"	"diabetes care by hospital only"	"Unknown"
"1734721000000114"	"66Av.00"	"diabetic assessment of erectile dysfunction"	"Unknown"
"458512016"	"66AV.00"	"diabetic on insulin and oral treatment"	"Type 2"
"1488405010"	"66AW.00"	"diabetic foot risk assessment"	"Unknown"
"845341000006111"	"66AX.00"	"diabetes: shared care in pregnancy - diabetol and obstet"	"Poss gestational"
"63021000000116"	"66AY.00"	"diabetic diet - good compliance"	"Unknown"
"264729012"	"66AZ.00"	"diabetic monitoring nos"	"Unknown"
"1884591000006118"	"66o..00"	"further diabetic monitoring"	"Unknown"
"1488406011"	"6761.00"	"diabetic pre-pregnancy counselling"	"Unknown"
"2693189019"	"679L.00"	"health education - diabetes"	"Unknown"
"1164191000000111"	"679L000"	"education in self management of diabetes"	"Unknown"
"2279261000000115"	"679L200"	"education about diabetes and driving"	"Unknown"
"2279291000000114"	"679L211"	"advice about diabetes and driving"	"Unknown"
"2549196011"	"679R.00"	"patient offered diabetes structured education programme"	"Unknown"
"2156571000000116"	"67D8.00"	"provision of diabetes clinical summary"	"Unknown"
"1767201000006118"	"67IJ100"	"pre-conception advice for diabetes mellitus"	"Unknown"
"216201011"	"68A7.00"	"diabetic retinopathy screening"	"Unknown"
"2548205017"	"68A9.00"	"diabetic retinopathy screening offered"	"Unknown"
"405561000000113"	"68AB.00"	"diabetic digital retinopathy screening offered"	"Unknown"
"2474726011"	"7276.00"	"pan retinal photocoagulation for diabetes"	"Unknown"
"282568013"	"8A12.00"	"diabetic crisis monitoring"	"Unknown"
"282570016"	"8A13.00"	"diabetic stabilisation"	"Unknown"
"1488441010"	"8B3l.00"	"diabetes medication review"	"Unknown"
"2159170012"	"8BL2.00"	"patient on maximal tolerated therapy for diabetes"	"Unknown"
"200111000006116"	"8CA4100"	"pt advised re diabetic diet"	"Unknown"
"283027015"	"8CE0.00"	"diabetic leaflet given"	"Unknown"
"2205911000000116"	"8CMW700"	"diabetes clinical pathway"	"Unknown"
"2532974016"	"8CP2.00"	"transition of diabetes care options discussed"	"Unknown"
"2474334019"	"8CR2.00"	"diabetes clinical management plan"	"Unknown"
"2548271013"	"8CS0.00"	"diabetes care plan agreed"	"Unknown"
"283544013"	"8H2J.00"	"admit diabetic emergency"	"Unknown"
"283584016"	"8H3O.00"	"non-urgent diabetic admission"	"Unknown"
"620171000000113"	"8H4e.00"	"referral to diabetes special interest general practitioner"	"Unknown"
"283709014"	"8H7C.00"	"refer, diabetic liaison nurse"	"Unknown"
"456646018"	"8H7f.00"	"referral to diabetes nurse"	"Unknown"
"1484923019"	"8H7r.00"	"refer to diabetic foot screener"	"Unknown"
"2159948010"	"8HBG.00"	"diabetic retinopathy 12 month review"	"Unknown"
"2159949019"	"8HBH.00"	"diabetic retinopathy 6 month review"	"Unknown"
"2548430017"	"8Hg4.00"	"discharged from care of diabetes specialist nurse"	"Unknown"
"1065811000000118"	"8HgC.00"	"discharged from diabetes shared care programme"	"Unknown"
"307661000000114"	"8HHy.00"	"referral to diabetic register"	"Unknown"
"2533110014"	"8Hj0.00"	"referral to diabetes structured education programme"	"Unknown"
"546871000000112"	"8Hj3.00"	"referral to dafne diabetes structured education programme"	"Type 1"
"546961000000111"	"8Hj4.00"	"referral to desmond diabetes structured education programme"	"Type 2"
"547061000000110"	"8Hj5.00"	"referral to xpert diabetes structured education programme"	"Type 2"
"283889016"	"8HKE.00"	"diabetology d.v. requested"	"Unknown"
"406351000000114"	"8Hl1.00"	"referral for diabetic retinopathy screening"	"Unknown"
"479981000000119"	"8Hl4.00"	"referral to community diabetes specialist nurse"	"Unknown"
"2116661000000116"	"8Hlc.00"	"referral to community diabetes service"	"Unknown"
"283938017"	"8HLE.00"	"diabetology d.v. done"	"Unknown"
"283974014"	"8HME.00"	"listed for diabetology admissn"	"Unknown"
"2533106011"	"8HTe.00"	"referral to diabetes preconception counselling clinic"	"Unknown"
"2182651000000118"	"8HTE100"	"referral to community diabetes clinic"	"Unknown"
"299991000000112"	"8HTi.00"	"referral to multidisciplinary diabetic clinic"	"Unknown"
"308811000000110"	"8HTk.00"	"referral to diabetic eye clinic"	"Unknown"
"284124018"	"8HVU.00"	"private referral to diabetologist"	"Unknown"
"2474309019"	"8I3W.00"	"diabetic foot examination declined"	"Unknown"
"2474671011"	"8I3X.00"	"diabetic retinopathy screening refused"	"Unknown"
"2548633012"	"8I57.00"	"patient held diabetic record declined"	"Unknown"
"2159960011"	"8I6F.00"	"diabetic retinopathy screening not indicated"	"Unknown"
"2159961010"	"8I6G.00"	"diabetic foot examination not indicated"	"Unknown"
"547331000000115"	"8I81.00"	"did not complete diabetes structured education programme"	"Unknown"
"547441000000118"	"8I82.00"	"did not complete dafne diabetes structured education program"	"Type 1"
"1627291000006113"	"8I83.00"	"did not complete desmond diabetes structured educat program"	"Type 2"
"1628311000006111"	"8I84.00"	"did not complete xpert diabetes structured education program"	"Type 2"
"2283241000000113"	"8I94.00"	"diabetes structured education programme not available"	"Unknown"
"1658941000000115"	"8IAs.00"	"diabetic dietary review declined"	"Unknown"
"1759911000000118"	"8IE2.00"	"diabetes care plan declined"	"Unknown"
"1868141000006110"	"8IEa.00"	"referral to dafne diabetes structured educn prog declined"	"Type 1"
"2176771000000110"	"8IEQ.00"	"referral to community diabetes specialist nurse declined"	"Unknown"
"2220161000000117"	"8OA3.00"	"provision of written information about diabetes and driving"	"Unknown"
"2159854012"	"918T.00"	"diabetes key contact"	"Unknown"
"2159969012"	"9360.00"	"patient held diabetic record issued"	"Unknown"
"308071000000112"	"93C4.00"	"patient consent given for addition to diabetic register"	"Unknown"
"2160025013"	"9b92000"	"diabetic medicine"	"Unknown"
"139001000000110"	"9h4..00"	"exception reporting: diabetes quality indicators"	"Unknown"
"931191000006110"	"9h41.00"	"excepted from diabetes qual indicators: patient unsuitable"	"Unknown"
"139121000000119"	"9h42.00"	"excepted from diabetes quality indicators: informed dissent"	"Unknown"
"1754911000006114"	"9h43.00"	"excepted from diabetes qual indicators: service unavailable"	"Unknown"
"1704651000006111"	"9m0..00"	"diabetic retinopathy screening administrative status"	"Unknown"
"730411000000115"	"9m00.00"	"eligible for diabetic retinopathy screening"	"Unknown"
"189831000000116"	"9M00.00"	"informed consent for diabetes national audit"	"Unknown"
"1704681000006115"	"9m02.00"	"eligibility temporarily inactive for diabetic retinop screen"	"Unknown"
"1704691000006117"	"9m03.00"	"eligibility permanently inactive for diabetic retinop screen"	"Unknown"
"737331000000117"	"9m04.00"	"excluded from diabetic retinopathy screening"	"Unknown"
"736731000000118"	"9m05.00"	"excluded from diabetic retinopathy screening as moved away"	"Unknown"
"736791000000117"	"9m06.00"	"excluded from diabetic retinopathy screening as deceased"	"Unknown"
"1704731000006113"	"9m07.00"	"excluded diabetc retinop screen as under care ophthalmolgist"	"Unknown"
"736911000000111"	"9m08.00"	"excluded from diabetic retinopathy screening as blind"	"Unknown"
"1704781000006114"	"9m0C.00"	"excluded frm diabetic retinopathy screen as terminal illness"	"Unknown"
"1704791000006112"	"9m0D.00"	"excluded from diabetic retinopthy screen as learn disability"	"Unknown"
"1704801000006113"	"9m0E.00"	"excluded from diabetic retinopathy screen physical disorder"	"Unknown"
"189841000000113"	"9M10.00"	"informed dissent for diabetes national audit"	"Unknown"
"2549778010"	"9N0m.00"	"seen in diabetic nurse consultant clinic"	"Unknown"
"2549069011"	"9N0n.00"	"seen in community diabetes specialist clinic"	"Unknown"
"2549222013"	"9N0o.00"	"seen in community diabetic specialist nurse clinic"	"Unknown"
"2159271018"	"9N1i.00"	"seen in diabetic foot clinic"	"Unknown"
"300021000000110"	"9N1o.00"	"seen in multidisciplinary diabetic clinic"	"Unknown"
"285223014"	"9N1Q.00"	"seen in diabetic clinic"	"Unknown"
"457231013"	"9N1v.00"	"seen in diabetic eye clinic"	"Unknown"
"1484875010"	"9N2d.00"	"seen by diabetologist"	"Unknown"
"448261010"	"9N2i.00"	"seen by diabetic liaison nurse"	"Unknown"
"1484954015"	"9N4I.00"	"dna - did not attend diabetic clinic"	"Unknown"
"301191000000119"	"9N4p.00"	"did not attend diabetic retinopathy clinic"	"Unknown"
"547191000000117"	"9NiA.00"	"did not attend diabetes structured education programme"	"Unknown"
"548121000000116"	"9NiC.00"	"did not attend dafne diabetes structured education programme"	"Type 1"
"1628621000006112"	"9NiD.00"	"did not attend desmond diabetes structured education program"	"Type 2"
"548131000000119"	"9NiE.00"	"did not attend xpert diabetes structured education programme"	"Type 2"
"1690631000000113"	"9NiZ.00"	"did not attend diabetes foot screening"	"Unknown"
"2249831000000111"	"9NJy.00"	"in-house diabetic foot screening"	"Unknown"
"456686014"	"9NM0.00"	"attending diabetes clinic"	"Unknown"
"2159955012"	"9NN8.00"	"under care of diabetologist"	"Unknown"
"2159956013"	"9NN9.00"	"under care of diabetes specialist nurse"	"Unknown"
"2159958014"	"9NND.00"	"under care of diabetic foot screener"	"Unknown"
"21631000000117"	"9OL..00"	"diabetes monitoring admin."	"Unknown"
"25261000000111"	"9OL..11"	"diabetes clinic administration"	"Unknown"
"285751016"	"9OL1.00"	"attends diabetes monitoring"	"Unknown"
"285752011"	"9OL2.00"	"refuses diabetes monitoring"	"Unknown"
"285753018"	"9OL3.00"	"diabetes monitoring default"	"Unknown"
"616731000006114"	"9OL4.00"	"diabetes monitoring 1st letter"	"Unknown"
"616741000006116"	"9OL5.00"	"diabetes monitoring 2nd letter"	"Unknown"
"616751000006119"	"9OL6.00"	"diabetes monitoring 3rd letter"	"Unknown"
"616711000006115"	"9OL7.00"	"diabetes monitor.verbal invite"	"Unknown"
"616701000006118"	"9OL8.00"	"diabetes monitor.phone invite"	"Unknown"
"616691000006118"	"9OLA.00"	"diabetes monitor. check done"	"Unknown"
"405057014"	"9OLA.11"	"diabetes monitored"	"Unknown"
"2533102013"	"9OLB.00"	"attended diabetes structured education programme"	"Unknown"
"2549901010"	"9OLD.00"	"diabetic patient unsuitable for digital retinal photography"	"Unknown"
"532331000000119"	"9OLF.00"	"diabetes structured education programme completed"	"Unknown"
"546001000000113"	"9OLG.00"	"attended xpert diabetes structured education programme"	"Type 2"
"546071000000117"	"9OLH.00"	"attended dafne diabetes structured education programme"	"Type 1"
"546151000000110"	"9OLJ.00"	"dafne diabetes structured education programme completed"	"Type 1"
"546221000000114"	"9OLK.00"	"desmond diabetes structured education programme completed"	"Type 2"
"546291000000112"	"9OLL.00"	"xpert diabetes structured education programme completed"	"Type 2"
"546471000000114"	"9OLM.00"	"diabetes structured education programme declined"	"Unknown"
"1755441000006119"	"9OLN.00"	"diabetes monitor invitation by sms (short message service)"	"Unknown"
"16171000000110"	"9OLZ.00"	"diabetes monitoring admin.nos"	"Unknown"
"2227781000000112"	"9Oy0000"	"diabetic foot screening invitation"	"Unknown"
"2227861000000112"	"9Oy0200"	"diabetic foot screening invitation first letter"	"Unknown"
"2227981000000110"	"9Oy0300"	"diabetic foot screening invitation second letter"	"Unknown"
"2230301000000116"	"9Oy0400"	"diabetic foot screening invitation third letter"	"Unknown"
"121589010"	"C10..00"	"diabetes mellitus"	"Unknown"
"292466013"	"C100.00"	"diabetes mellitus with no mention of complication"	"Unknown"
"616621000006115"	"C100000"	"diabetes mellitus, juvenile type, no mention of complication"	"Type 1"
"772161000006119"	"C100011"	"insulin dependent diabetes mellitus"	"Type 1"
"616511000006110"	"C100100"	"diabetes mellitus, adult onset, no mention of complication"	"Type 2"
"223291000000111"	"C100111"	"maturity onset diabetes"	"Other"
"73466011"	"C100112"	"non-insulin dependent diabetes mellitus"	"Type 2"
"292475010"	"C100z00"	"diabetes mellitus nos with no mention of complication"	"Unknown"
"2622193012"	"C101.00"	"diabetes mellitus with ketoacidosis"	"Unknown"
"616641000006110"	"C101000"	"diabetes mellitus, juvenile type, with ketoacidosis"	"Type 1"
"616531000006116"	"C101100"	"diabetes mellitus, adult onset, with ketoacidosis"	"Type 2"
"292478012"	"C101y00"	"other specified diabetes mellitus with ketoacidosis"	"Other"
"292479016"	"C101z00"	"diabetes mellitus nos with ketoacidosis"	"Unknown"
"292480018"	"C102.00"	"diabetes mellitus with hyperosmolar coma"	"Unknown"
"292482014"	"C102000"	"diabetes mellitus, juvenile type, with hyperosmolar coma"	"Type 1"
"292483016"	"C102100"	"diabetes mellitus, adult onset, with hyperosmolar coma"	"Type 2"
"292484010"	"C102z00"	"diabetes mellitus nos with hyperosmolar coma"	"Unknown"
"616381000006111"	"C103.00"	"diabetes mellitus with ketoacidotic coma"	"Unknown"
"616651000006112"	"C103000"	"diabetes mellitus, juvenile type, with ketoacidotic coma"	"Type 1"
"616541000006114"	"C103100"	"diabetes mellitus, adult onset, with ketoacidotic coma"	"Type 2"
"292488013"	"C103y00"	"other specified diabetes mellitus with coma"	"Other"
"292489017"	"C103z00"	"diabetes mellitus nos with ketoacidotic coma"	"Unknown"
"616461000006112"	"C104.00"	"diabetes mellitus with renal manifestation"	"Unknown"
"205225016"	"C104.11"	"diabetic nephropathy"	"Unknown"
"616661000006114"	"C104000"	"diabetes mellitus, juvenile type, with renal manifestation"	"Type 1"
"616551000006111"	"C104100"	"diabetes mellitus, adult onset, with renal manifestation"	"Type 2"
"292495016"	"C104y00"	"other specified diabetes mellitus with renal complications"	"Other"
"292496015"	"C104z00"	"diabetes mellitis with nephropathy nos"	"Unknown"
"616421000006118"	"C105.00"	"diabetes mellitus with ophthalmic manifestation"	"Unknown"
"616601000006113"	"C105000"	"diabetes mellitus, juvenile type, + ophthalmic manifestation"	"Type 1"
"616491000006116"	"C105100"	"diabetes mellitus, adult onset, + ophthalmic manifestation"	"Type 2"
"13771000006110"	"C105y00"	"other specified diabetes mellitus with ophthalmic complicatn"	"Other"
"292503016"	"C105z00"	"diabetes mellitus nos with ophthalmic manifestation"	"Unknown"
"616391000006114"	"C106.00"	"diabetes mellitus with neurological manifestation"	"Unknown"
"616921000006113"	"C106.11"	"diabetic amyotrophy"	"Unknown"
"345487013"	"C106.12"	"diabetes mellitus with neuropathy"	"Unknown"
"616451000006110"	"C106.13"	"diabetes mellitus with polyneuropathy"	"Unknown"
"616671000006119"	"C106000"	"diabetes mellitus, juvenile, + neurological manifestation"	"Type 1"
"616481000006119"	"C106100"	"diabetes mellitus, adult onset, + neurological manifestation"	"Type 2"
"13761000006115"	"C106y00"	"other specified diabetes mellitus with neurological comps"	"Other"
"292512019"	"C106z00"	"diabetes mellitus nos with neurological manifestation"	"Unknown"
"616441000006113"	"C107.00"	"diabetes mellitus with peripheral circulatory disorder"	"Unknown"
"616351000006115"	"C107.11"	"diabetes mellitus with gangrene"	"Unknown"
"616831000006118"	"C107.12"	"diabetes with gangrene"	"Unknown"
"616591000006117"	"C107000"	"diabetes mellitus, juvenile +peripheral circulatory disorder"	"Type 1"
"616581000006115"	"C107100"	"diabetes mellitus, adult, + peripheral circulatory disorder"	"Type 2"
"616561000006113"	"C107200"	"diabetes mellitus, adult with gangrene"	"Type 2"
"787101000006114"	"C107300"	"iddm with peripheral circulatory disorder"	"Type 1"
"674961000006118"	"C107400"	"niddm with peripheral circulatory disorder"	"Type 2"
"292523015"	"C107z00"	"diabetes mellitus nos with peripheral circulatory disorder"	"Unknown"
"772171000006114"	"C108.00"	"insulin dependent diabetes mellitus"	"Type 1"
"787111000006112"	"C108.11"	"iddm-insulin dependent diabetes mellitus"	"Type 1"
"84281000006115"	"C108.12"	"type 1 diabetes mellitus"	"Type 1"
"84651000006114"	"C108.13"	"type i diabetes mellitus"	"Type 1"
"771501000006119"	"C108000"	"insulin-dependent diabetes mellitus with renal complications"	"Type 1"
"84801000006111"	"C108011"	"type i diabetes mellitus with renal complications"	"Type 1"
"84431000006117"	"C108012"	"type 1 diabetes mellitus with renal complications"	"Type 1"
"771491000006110"	"C108100"	"insulin-dependent diabetes mellitus with ophthalmic comps"	"Type 1"
"84401000006113"	"C108112"	"type 1 diabetes mellitus with ophthalmic complications"	"Type 1"
"771481000006112"	"C108200"	"insulin-dependent diabetes mellitus with neurological comps"	"Type 1"
"84751000006116"	"C108211"	"type i diabetes mellitus with neurological complications"	"Type 1"
"84381000006113"	"C108212"	"type 1 diabetes mellitus with neurological complications"	"Type 1"
"771381000006115"	"C108300"	"insulin dependent diabetes mellitus with multiple complicatn"	"Type 1"
"84731000006111"	"C108311"	"type i diabetes mellitus with multiple complications"	"Type 1"
"72651000006114"	"C108400"	"unstable insulin dependent diabetes mellitus"	"Type 1"
"72721000006113"	"C108411"	"unstable type i diabetes mellitus"	"Type 1"
"72711000006117"	"C108412"	"unstable type 1 diabetes mellitus"	"Type 1"
"771421000006113"	"C108500"	"insulin dependent diabetes mellitus with ulcer"	"Type 1"
"84821000006118"	"C108511"	"type i diabetes mellitus with ulcer"	"Type 1"
"84451000006112"	"C108512"	"type 1 diabetes mellitus with ulcer"	"Type 1"
"771351000006111"	"C108600"	"insulin dependent diabetes mellitus with gangrene"	"Type 1"
"771411000006117"	"C108700"	"insulin dependent diabetes mellitus with retinopathy"	"Type 1"
"84811000006114"	"C108711"	"type i diabetes mellitus with retinopathy"	"Type 1"
"84441000006110"	"C108712"	"type 1 diabetes mellitus with retinopathy"	"Type 1"
"772181000006112"	"C108800"	"insulin dependent diabetes mellitus - poor control"	"Type 1"
"84661000006111"	"C108811"	"type i diabetes mellitus - poor control"	"Type 1"
"84291000006117"	"C108812"	"type 1 diabetes mellitus - poor control"	"Type 1"
"772151000006116"	"C108900"	"insulin dependent diabetes maturity onset"	"Other"
"84671000006116"	"C108911"	"type i diabetes mellitus maturity onset"	"Other"
"84301000006116"	"C108912"	"type 1 diabetes mellitus maturity onset"	"Other"
"746791000006111"	"C108A00"	"insulin-dependent diabetes without complication"	"Type 1"
"84831000006115"	"C108A11"	"type i diabetes mellitus without complication"	"Type 1"
"771371000006118"	"C108B00"	"insulin dependent diabetes mellitus with mononeuropathy"	"Type 1"
"84721000006113"	"C108B11"	"type i diabetes mellitus with mononeuropathy"	"Type 1"
"771401000006115"	"C108C00"	"insulin dependent diabetes mellitus with polyneuropathy"	"Type 1"
"84791000006110"	"C108C11"	"type i diabetes mellitus with polyneuropathy"	"Type 1"
"771391000006117"	"C108D00"	"insulin dependent diabetes mellitus with nephropathy"	"Type 1"
"84741000006118"	"C108D11"	"type i diabetes mellitus with nephropathy"	"Type 1"
"771361000006113"	"C108E00"	"insulin dependent diabetes mellitus with hypoglycaemic coma"	"Type 1"
"84711000006117"	"C108E11"	"type i diabetes mellitus with hypoglycaemic coma"	"Type 1"
"84341000006119"	"C108E12"	"type 1 diabetes mellitus with hypoglycaemic coma"	"Type 1"
"771341000006114"	"C108F00"	"insulin dependent diabetes mellitus with diabetic cataract"	"Type 1"
"84691000006115"	"C108F11"	"type i diabetes mellitus with diabetic cataract"	"Type 1"
"772141000006118"	"C108G00"	"insulin dependent diab mell with peripheral angiopathy"	"Type 1"
"771331000006116"	"C108H00"	"insulin dependent diabetes mellitus with arthropathy"	"Type 1"
"84681000006118"	"C108H11"	"type i diabetes mellitus with arthropathy"	"Type 1"
"772131000006111"	"C108J00"	"insulin dependent diab mell with neuropathic arthropathy"	"Type 1"
"84761000006119"	"C108J11"	"type i diabetes mellitus with neuropathic arthropathy"	"Type 1"
"84391000006111"	"C108J12"	"type 1 diabetes mellitus with neuropathic arthropathy"	"Type 1"
"13751000006117"	"C108y00"	"other specified diabetes mellitus with multiple comps"	"Other"
"292565014"	"C108z00"	"unspecified diabetes mellitus with multiple complications"	"Unknown"
"280571000006116"	"C109.00"	"non-insulin dependent diabetes mellitus"	"Type 2"
"493773010"	"C109.11"	"niddm - non-insulin dependent diabetes mellitus"	"Type 2"
"84471000006119"	"C109.12"	"type 2 diabetes mellitus"	"Type 2"
"84841000006113"	"C109.13"	"type ii diabetes mellitus"	"Type 2"
"587521000006111"	"C109000"	"non-insulin-dependent diabetes mellitus with renal comps"	"Type 2"
"84981000006114"	"C109011"	"type ii diabetes mellitus with renal complications"	"Type 2"
"84611000006113"	"C109012"	"type 2 diabetes mellitus with renal complications"	"Type 2"
"587111000006111"	"C109100"	"non-insulin-dependent diabetes mellitus with ophthalm comps"	"Type 2"
"84951000006118"	"C109111"	"type ii diabetes mellitus with ophthalmic complications"	"Type 2"
"84581000006117"	"C109112"	"type 2 diabetes mellitus with ophthalmic complications"	"Type 2"
"280591000006115"	"C109200"	"non-insulin-dependent diabetes mellitus with neuro comps"	"Type 2"
