"medcodeid"	"TermEMIS"	"EMIS"	"TermRead"	"READ"	"TermSNOMED"	"SNOMED"	"Group"
"1452014"	NA	NA	"Delusion of persecution"	"1BH0"	"Delusion of persecution (finding)"	"216004"	"other psychosis"
"155141000006116"	NA	NA	"Schizo-affective schizophrenia"	"E107"	"Schizo-affective schizophrenia"	"191567000"	"other psychosis"
"155151000006119"	NA	NA	"Schizo-affective schizophrenia in remission"	"E1075"	"Schizo-affective schizophrenia in remission"	"191574005"	"other psychosis"
"155161000006117"	NA	NA	"Schizo-affective schizophrenia NOS"	"E107z"	"Schizo-affective schizophrenia NOS"	"191567000"	"other psychosis"
"155281000006119"	NA	NA	"Schizotypal personality"	"E2122"	"Schizotypal personality"	"31027006"	"other psychosis"
"161371000006118"	NA	NA	"Sander's disease"	"E121-1"	"Sanders disease"	"268622001"	"other psychosis"
"1648881000000118"	NA	NA	"Lithium patient information booklet given"	"8CE90"	NA	NA	"bipolar"
"1648961000000116"	NA	NA	"Advice given about lithium side-effects and toxicity"	"8Cd5"	"Advice given about lithium side-effects and toxicity (situation)"	"750101000000105"	"bipolar"
"1658491000000117"	NA	NA	"Lithium annual review"	"8BM00"	"Annual review of lithium therapy (procedure)"	"753951000000101"	"bipolar"
"1662121000000117"	NA	NA	"Lithium level checked at 3 monthly intervals"	"665J"	NA	NA	"bipolar"
"1667141000000114"	NA	NA	"Lithium therapy record book completed"	"665K"	NA	NA	"bipolar"
"1667581000000114"	NA	NA	"[X]Paranoid state in remission"	"Eu223"	"[X]Paranoid state in remission"	"755301000000102"	"other psychosis"
"1667591000000111"	NA	NA	"[X]Nonorganic psychosis in remission"	"Eu26"	"[X]Nonorganic psychosis in remission"	"755311000000100"	"other psychosis"
"169061000006112"	NA	NA	"Restzustand - schizophrenia"	"E106-1"	"Restzustand - schizophrenia"	"26025008"	"schizophrenia"
"1747721000006112"	"Patient lithium therapy pack given"	"EMISNQPA105"	NA	NA	NA	NA	"bipolar"
"1780205015"	NA	NA	"H/O: manic depressive disorder"	"146D"	"H/O: manic depressive disorder"	"400998002"	"bipolar"
"1785851000006110"	NA	NA	"[X]Bipolar affective disorder type I"	"Eu318"	"[X]Bipolar affective disorder type I"	"371596008"	"bipolar"
"1785861000006112"	NA	NA	"[X]Bipolar affective disorder type II"	"Eu319"	"[X]Bipolar affective disorder type II"	"83225003"	"bipolar"
"1785871000006117"	NA	NA	"[X]Bipolar II disorder"	"Eu319-1"	"[X]Bipolar II disorder"	"83225003"	"bipolar"
"178723016"	NA	NA	"Catatonic schizophrenia in remission"	"E1025"	"Catatonic schizophrenia in remission"	"111483008"	"schizophrenia"
"182861000006110"	NA	NA	"\\"Recurrent manic episodes, partial or unspecified remission\\""	"E1115"	"\\"Recurrent manic episodes, partial or unspecified remission\\""	"764671000000105"	"bipolar"
"182871000006115"	NA	NA	"\\"Recurrent manic episodes, severe without mention psychosis\\""	"E1113"	"\\"Recurrent manic episodes, severe without mention psychosis\\""	"764621000000106"	"bipolar"
"1975081000006110"	"\\"Undifferentiated schizophrenia, complete remission\\""	"EMISICD10|F2035"	NA	NA	"\\"Undifferentiated schizophrenia, complete remission\\""	"1975081000006106"	"schizophrenia"
"1975211000006110"	"\\"Post-schizophrenic depression, episodic with progressive deficit\\""	"EMISICD10|F2041"	NA	NA	"\\"Post-schizophrenic depression, episodic with progressive deficit\\""	"1975211000006106"	"schizophrenia"
"1975441000006110"	"\\"Residual schizophrenia, incomplete remission\\""	"EMISICD10|F2054"	NA	NA	"\\"Residual schizophrenia, incomplete remission\\""	"1975441000006106"	"schizophrenia"
"1975601000006110"	"\\"Simple schizophrenia, complete remission\\""	"EMISICD10|F2065"	NA	NA	"\\"Simple schizophrenia, complete remission\\""	"1975601000006106"	"schizophrenia"
"1975851000006110"	"\\"Other acute and transient psychotic disorders, with associated acute stress\\""	"EMISICD10|F2381"	NA	NA	NA	NA	"other psychosis"
"1976891000006110"	"\\"Hebephrenic schizophrenia, other\\""	"EMISICD10|F2018"	NA	NA	"\\"Hebephrenic schizophrenia, other\\""	"1976891000006106"	"schizophrenia"
"1976961000006110"	"\\"Schizophrenia, unspecified, other\\""	"EMISICD10|F2098"	NA	NA	"\\"Schizophrenia, unspecified, other\\""	"1976961000006106"	"schizophrenia"
"2157096015"	NA	NA	"Manic mood"	"1S42"	"Manic mood"	"405273008"	"bipolar"
"215841000000114"	NA	NA	"[X]Delusional disorder"	"Eu220"	"[X]Delusional disorder"	"48500005"	"other psychosis"
"215851000000112"	NA	NA	"[X]Paranoid psychosis"	"Eu220-1"	"[X]Paranoid psychosis"	"191667009"	"other psychosis"
"215871000000115"	NA	NA	"[X]Paranoia"	"Eu220-5"	"[X]Paranoia"	"417233008"	"other psychosis"
"223601000000119"	NA	NA	"Manic psychoses"	"E11-3"	"Manic psychoses"	"231494001"	"bipolar"
"223611000000117"	NA	NA	"Nonorganic psychosis NOS"	"E13z"	"Nonorganic psychosis NOS"	"191525009"	"other psychosis"
"2322241000000116"	NA	NA	"Urine lithium concentration"	"46P30"	NA	NA	"bipolar"
"243361000006117"	NA	NA	"Paranoid states"	"E12"	"Paranoid states"	"191667009"	"other psychosis"
"2501011000006119"	"\\"Severe bipolar I disorder, most recent episode manic, without psychotic features\\""	"^ESCTSE250101"	NA	NA	"\\"Severe bipolar I disorder, most recent episode manic, without psychotic features\\""	"162004"	"bipolar"
"2501991000006111"	NA	NA	NA	NA	"Delusion of persecution (finding)"	"216004"	"other psychosis"
"2502001000006113"	NA	NA	NA	NA	"Delusion of persecution (finding)"	"216004"	"other psychosis"
"251628010"	NA	NA	"H/O: schizophrenia"	"1464"	"H/O: schizophrenia"	"161468000"	"schizophrenia"
"253124017"	NA	NA	NA	NA	"Morbid jealousy (disorder)"	"162313000"	"other psychosis"
"2531671000006114"	NA	NA	NA	NA	"Delusions (finding)"	"2073000"	"other psychosis"
"2531681000006112"	NA	NA	NA	NA	"Delusions (finding)"	"2073000"	"other psychosis"
"2532965018"	NA	NA	"[X]Erotomania"	"Eu528"	"[X]Erotomania"	"280949006"	"other psychosis"
"25461000006115"	NA	NA	"Other nonorganic psychoses"	"E13"	"Other nonorganic psychoses"	"191525009"	"other psychosis"
"2548181016"	NA	NA	"Paranoid ideation"	"1BH3"	"Paranoid ideation"	"417233008"	"other psychosis"
"2549129012"	NA	NA	"O/E - paranoid delusions"	"225E"	NA	NA	"other psychosis"
"2549426013"	NA	NA	"O/E - delusion of persecution"	"225F"	NA	NA	"other psychosis"
"2577941000006118"	"\\"Schizophrenia, in remission\\""	"^ESCTSC257794"	NA	NA	"\\"Schizophrenia, in remission\\""	"4926007"	"schizophrenia"
"2586801000006115"	"Brief psychotic disorder"	"^ESCTBR258680"	NA	NA	"Brief psychotic disorder"	"5464005"	"other psychosis"
"259417018"	NA	NA	"Lithium level therapeutic"	"44vE"	NA	NA	"bipolar"
"259418011"	NA	NA	"Lithium level high - toxic"	"44W81"	NA	NA	"bipolar"
"259419015"	NA	NA	"Lithium level low"	"44W82"	NA	NA	"bipolar"
"2632941000006110"	NA	NA	NA	NA	"Delusion of infidelity (finding)"	"8330006"	"other psychosis"
"264612016"	NA	NA	"Lithium stopped"	"665B"	NA	NA	"bipolar"
"2705561000006112"	"Chronic disorganised schizophrenia"	"^ESCTCH270556"	NA	NA	"Chronic disorganised schizophrenia"	"12939007"	"schizophrenia"
"2705571000006117"	"Chronic disorganized schizophrenia"	"^ESCTCH270557"	NA	NA	"Chronic disorganized schizophrenia"	"12939007"	"schizophrenia"
"2717981000006118"	"MDI - Manic-depressive illness"	"^ESCTMD271798"	NA	NA	"MDI - Manic-depressive illness"	"13746004"	"bipolar"
"2726261000006113"	"Subchronic disorganised schizophrenia with acute exacerbations"	"^ESCTSU272626"	NA	NA	"Subchronic disorganised schizophrenia with acute exacerbations"	"14291003"	"schizophrenia"
"2726271000006118"	"Subchronic disorganized schizophrenia with acute exacerbations"	"^ESCTSU272627"	NA	NA	"Subchronic disorganized schizophrenia with acute exacerbations"	"14291003"	"schizophrenia"
"2730051000000114"	NA	NA	NA	NA	"Mania with mood-congruent psychotic features (disorder)"	"1089661000000104"	"bipolar"
"2730071000000117"	NA	NA	NA	NA	"Mania with mood-incongruent psychotic features (disorder)"	"1089671000000106"	"bipolar"
"2730091000000118"	NA	NA	NA	NA	"Mania with psychotic features (disorder)"	"1089681000000108"	"bipolar"
"2730111000000111"	NA	NA	NA	NA	"Acute predominantly delusional psychotic disorder (disorder)"	"1089691000000105"	"other psychosis"
"2761681000006119"	"\\"Bipolar I disorder, most recent episode mixed\\""	"^ESCTBI276168"	NA	NA	"\\"Bipolar I disorder, most recent episode mixed\\""	"16506000"	"bipolar"
"28758018"	NA	NA	"Subchronic schizophrenia"	"E1001"	"Subchronic schizophrenia"	"16990005"	"schizophrenia"
"2916361000006118"	"Restzustand"	"^ESCTRE291636"	NA	NA	"Restzustand"	"26025008"	"schizophrenia"
"2938951000006113"	"Subchronic disorganised schizophrenia"	"^ESCTSU293895"	NA	NA	"Subchronic disorganised schizophrenia"	"27387000"	"schizophrenia"
"2938961000006110"	"Subchronic disorganized schizophrenia"	"^ESCTSU293896"	NA	NA	"Subchronic disorganized schizophrenia"	"27387000"	"schizophrenia"
"294724012"	NA	NA	"Non-organic psychoses"	"E1"	"Non-organic psychoses"	"191525009"	"other psychosis"
"294725013"	NA	NA	"Schizophrenic disorders"	"E10"	"Schizophrenic disorders"	"191526005"	"schizophrenia"
"294726014"	NA	NA	"Schizophrenia simplex"	"E100-1"	"Schizophrenia simplex"	"191527001"	"schizophrenia"
"294727017"	NA	NA	"Simple schizophrenia"	"E100"	"Simple schizophrenia"	"191527001"	"schizophrenia"
"294728010"	NA	NA	"Unspecified schizophrenia"	"E1000"	"Unspecified schizophrenia"	"58214004"	"schizophrenia"
"294730012"	NA	NA	"Acute exacerbation of subchronic schizophrenia"	"E1003"	"Acute exacerbation of subchronic schizophrenia"	"111482003"	"schizophrenia"
"294731011"	NA	NA	"Acute exacerbation of chronic schizophrenia"	"E1004"	"Acute exacerbation of chronic schizophrenia"	"191531007"	"schizophrenia"
"294734015"	NA	NA	"Simple schizophrenia NOS"	"E100z"	"Simple schizophrenia NOS"	"191527001"	"schizophrenia"
"294735019"	NA	NA	"Unspecified hebephrenic schizophrenia"	"E1010"	"Unspecified hebephrenic schizophrenia"	"35252006"	"schizophrenia"
"294736018"	NA	NA	"Subchronic hebephrenic schizophrenia"	"E1011"	"Subchronic hebephrenic schizophrenia"	"27387000"	"schizophrenia"
"294737010"	NA	NA	"Chronic hebephrenic schizophrenia"	"E1012"	"Chronic hebephrenic schizophrenia"	"12939007"	"schizophrenia"
"294738017"	NA	NA	"Acute exacerbation of subchronic hebephrenic schizophrenia"	"E1013"	"Acute exacerbation of subchronic hebephrenic schizophrenia"	"14291003"	"schizophrenia"
"294739013"	NA	NA	"Acute exacerbation of chronic hebephrenic schizophrenia"	"E1014"	"Acute exacerbation of chronic hebephrenic schizophrenia"	"191539009"	"schizophrenia"
"294740010"	NA	NA	"Hebephrenic schizophrenia in remission"	"E1015"	"Hebephrenic schizophrenia in remission"	"31373002"	"schizophrenia"
"294741014"	NA	NA	"Hebephrenic schizophrenia NOS"	"E101z"	"Hebephrenic schizophrenia NOS"	"35252006"	"schizophrenia"
"294742019"	NA	NA	"Catatonic schizophrenia"	"E102"	"Catatonic schizophrenia"	"191542003"	"schizophrenia"
"294743012"	NA	NA	"[X]Schizophrenic flexibilatis cerea"	"Eu202-4"	"[X]Schizophrenic flexibilatis cerea"	"191542003"	"schizophrenia"
"294744018"	NA	NA	"Unspecified catatonic schizophrenia"	"E1020"	"Unspecified catatonic schizophrenia"	"191542003"	"schizophrenia"
"294750011"	NA	NA	"Acute exacerbation of subchronic catatonic schizophrenia"	"E1023"	"Acute exacerbation of subchronic catatonic schizophrenia"	"191547009"	"schizophrenia"
"294751010"	NA	NA	"Acute exacerbation of chronic catatonic schizophrenia"	"E1024"	"Acute exacerbation of chronic catatonic schizophrenia"	"191548004"	"schizophrenia"
"294753013"	NA	NA	"Catatonic schizophrenia NOS"	"E102z"	"Catatonic schizophrenia NOS"	"191542003"	"schizophrenia"
"294754019"	NA	NA	"Unspecified paranoid schizophrenia"	"E1030"	"Unspecified paranoid schizophrenia"	"64905009"	"schizophrenia"
"294757014"	NA	NA	"Acute exacerbation of subchronic paranoid schizophrenia"	"E1033"	"Acute exacerbation of subchronic paranoid schizophrenia"	"191554003"	"schizophrenia"
"294758016"	NA	NA	"Acute exacerbation of chronic paranoid schizophrenia"	"E1034"	"Acute exacerbation of chronic paranoid schizophrenia"	"191555002"	"schizophrenia"
"294760019"	NA	NA	"Paranoid schizophrenia NOS"	"E103z"	"Paranoid schizophrenia NOS"	"64905009"	"schizophrenia"
"294764011"	NA	NA	"Latent schizophrenia"	"E105"	"Latent schizophrenia"	"191559008"	"other psychosis"
"294765012"	NA	NA	"Unspecified latent schizophrenia"	"E1050"	"Unspecified latent schizophrenia"	"191559008"	"other psychosis"
"294766013"	NA	NA	"Subchronic latent schizophrenia"	"E1051"	"Subchronic latent schizophrenia"	"191561004"	"other psychosis"
"294767016"	NA	NA	"Chronic latent schizophrenia"	"E1052"	"Chronic latent schizophrenia"	"191562006"	"other psychosis"
"294768014"	NA	NA	"Acute exacerbation of subchronic latent schizophrenia"	"E1053"	"Acute exacerbation of subchronic latent schizophrenia"	"191563001"	"other psychosis"
"294769018"	NA	NA	"Acute exacerbation of chronic latent schizophrenia"	"E1054"	"Acute exacerbation of chronic latent schizophrenia"	"191564007"	"other psychosis"
"294770017"	NA	NA	"Latent schizophrenia in remission"	"E1055"	"Latent schizophrenia in remission"	"191565008"	"other psychosis"
"294771018"	NA	NA	"Latent schizophrenia NOS"	"E105z"	"Latent schizophrenia NOS"	"191559008"	"other psychosis"
"294773015"	NA	NA	"Cyclic schizophrenia"	"E107-1"	"Cyclic schizophrenia"	"191567000"	"other psychosis"
"294787015"	NA	NA	"Coenesthopathic schizophrenia"	"E10y1"	"Coenesthopathic schizophrenia"	"191577003"	"schizophrenia"
"294788013"	NA	NA	"Cenesthopathic schizophrenia"	"E10y-1"	"Cenesthopathic schizophrenia"	"191577003"	"schizophrenia"
"294789017"	NA	NA	"Other schizophrenia NOS"	"E10yz"	"Other schizophrenia NOS"	"58214004"	"schizophrenia"
"294790014"	NA	NA	"Schizophrenia NOS"	"E10z"	"Schizophrenia NOS"	"58214004"	"schizophrenia"
"294802018"	NA	NA	"\\"Single manic episode, unspecified\\""	"E1100"	"\\"Single manic episode, unspecified\\""	"268619003"	"bipolar"
"294803011"	NA	NA	"\\"Single manic episode, mild\\""	"E1101"	"\\"Single manic episode, mild\\""	"191583000"	"bipolar"
"294804017"	NA	NA	"\\"Single manic episode, moderate\\""	"E1102"	"\\"Single manic episode, moderate\\""	"191584006"	"bipolar"
"294805016"	NA	NA	"\\"Single manic episode, severe without mention of psychosis\\""	"E1103"	"\\"Single manic episode, severe without mention of psychosis\\""	"764641000000104"	"bipolar"
"294806015"	NA	NA	"\\"Single manic episode, severe, with psychosis\\""	"E1104"	"\\"Single manic episode, severe, with psychosis\\""	"191586008"	"bipolar"
"294807012"	NA	NA	"Single manic episode in partial or unspecified remission"	"E1105"	"Single manic episode in partial or unspecified remission"	"764731000000103"	"bipolar"
"294808019"	NA	NA	"Single manic episode in full remission"	"E1106"	"Single manic episode in full remission"	"191588009"	"bipolar"
"294809010"	NA	NA	"\\"Manic disorder, single episode NOS\\""	"E110z"	"\\"Manic disorder, single episode NOS\\""	"268619003"	"bipolar"
"294810017"	NA	NA	"Recurrent manic episodes"	"E111"	"Recurrent manic episodes"	"191590005"	"bipolar"
"294811018"	NA	NA	"\\"Recurrent manic episodes, unspecified\\""	"E1110"	"\\"Recurrent manic episodes, unspecified\\""	"191590005"	"bipolar"
"294812013"	NA	NA	"\\"Recurrent manic episodes, mild\\""	"E1111"	"\\"Recurrent manic episodes, mild\\""	"191592002"	"bipolar"
"294813015"	NA	NA	"\\"Recurrent manic episodes, moderate\\""	"E1112"	"\\"Recurrent manic episodes, moderate\\""	"191593007"	"bipolar"
"294815010"	NA	NA	"\\"Recurrent manic episodes, severe, with psychosis\\""	"E1114"	"\\"Recurrent manic episodes, severe, with psychosis\\""	"191595000"	"bipolar"
"294817019"	NA	NA	"\\"Recurrent manic episodes, in full remission\\""	"E1116"	"\\"Recurrent manic episodes, in full remission\\""	"191597008"	"bipolar"
"294818012"	NA	NA	"Recurrent manic episode NOS"	"E111z"	"Recurrent manic episode NOS"	"191590005"	"bipolar"
"294847017"	NA	NA	"Manic-depressive - now manic"	"E114-1"	"Manic-depressive - now manic"	"191618007"	"bipolar"
"294848010"	NA	NA	"\\"Bipolar affective disorder, currently manic, unspecified\\""	"E1140"	"\\"Bipolar affective disorder, currently manic, unspecified\\""	"191618007"	"bipolar"
"294849019"	NA	NA	"\\"Bipolar affective disorder, currently manic, mild\\""	"E1141"	"\\"Bipolar affective disorder, currently manic, mild\\""	"191620005"	"bipolar"
"294850019"	NA	NA	"\\"Bipolar affective disorder, currently manic, moderate\\""	"E1142"	"\\"Bipolar affective disorder, currently manic, moderate\\""	"191621009"	"bipolar"
"294858014"	NA	NA	"\\"Bipolar affective disorder, currently manic, NOS\\""	"E114z"	"\\"Bipolar affective disorder, currently manic, NOS\\""	"191618007"	"bipolar"
"294860011"	NA	NA	"Manic-depressive - now depressed"	"E115-1"	"Manic-depressive - now depressed"	"191627008"	"bipolar"
"294861010"	NA	NA	"\\"Bipolar affective disorder, currently depressed, unspecified\\""	"E1150"	"\\"Bipolar affective disorder, currently depressed, unspecified\\""	"191627008"	"bipolar"
"294862015"	NA	NA	"\\"Bipolar affective disorder, currently depressed, mild\\""	"E1151"	"\\"Bipolar affective disorder, currently depressed, mild\\""	"191629006"	"bipolar"
"294863013"	NA	NA	"\\"Bipolar affective disorder, currently depressed, moderate\\""	"E1152"	"\\"Bipolar affective disorder, currently depressed, moderate\\""	"191630001"	"bipolar"
"294868016"	NA	NA	"\\"Bipolar affective disorder, currently depressed, NOS\\""	"E115z"	"\\"Bipolar affective disorder, currently depressed, NOS\\""	"191627008"	"bipolar"
"294869012"	NA	NA	"Mixed bipolar affective disorder"	"E116"	"Mixed bipolar affective disorder"	"191636007"	"bipolar"
"294870013"	NA	NA	"\\"Mixed bipolar affective disorder, unspecified\\""	"E1160"	"\\"Mixed bipolar affective disorder, unspecified\\""	"191636007"	"bipolar"
"294871012"	NA	NA	"\\"Mixed bipolar affective disorder, mild\\""	"E1161"	"\\"Mixed bipolar affective disorder, mild\\""	"191638008"	"bipolar"
"294872017"	NA	NA	"\\"Mixed bipolar affective disorder, moderate\\""	"E1162"	"\\"Mixed bipolar affective disorder, moderate\\""	"191639000"	"bipolar"
"294874016"	NA	NA	"\\"Mixed bipolar affective disorder, severe, with psychosis\\""	"E1164"	"\\"Mixed bipolar affective disorder, severe, with psychosis\\""	"191641004"	"bipolar"
"294876019"	NA	NA	"\\"Mixed bipolar affective disorder, in full remission\\""	"E1166"	"\\"Mixed bipolar affective disorder, in full remission\\""	"191643001"	"bipolar"
"294877011"	NA	NA	"\\"Mixed bipolar affective disorder, NOS\\""	"E116z"	"\\"Mixed bipolar affective disorder, NOS\\""	"191636007"	"bipolar"
"294880012"	NA	NA	"Unspecified bipolar affective disorder"	"E117"	"Unspecified bipolar affective disorder"	"13746004"	"bipolar"
"294881011"	NA	NA	"\\"Unspecified bipolar affective disorder, unspecified\\""	"E1170"	"\\"Unspecified bipolar affective disorder, unspecified\\""	"13746004"	"bipolar"
"294882016"	NA	NA	"\\"Unspecified bipolar affective disorder, mild\\""	"E1171"	"\\"Unspecified bipolar affective disorder, mild\\""	"13313007"	"bipolar"
"294883014"	NA	NA	"\\"Unspecified bipolar affective disorder, moderate\\""	"E1172"	"\\"Unspecified bipolar affective disorder, moderate\\""	"79584002"	"bipolar"
"294887010"	NA	NA	"\\"Unspecified bipolar affective disorder, in full remission\\""	"E1176"	"\\"Unspecified bipolar affective disorder, in full remission\\""	"41836007"	"bipolar"
"294888017"	NA	NA	"\\"Unspecified bipolar affective disorder, NOS\\""	"E117z"	"\\"Unspecified bipolar affective disorder, NOS\\""	"13746004"	"bipolar"
"294891017"	NA	NA	"Other and unspecified manic-depressive psychoses"	"E11y"	"Other and unspecified manic-depressive psychoses"	"13746004"	"bipolar"
"294892012"	NA	NA	"Unspecified manic-depressive psychoses"	"E11y0"	"Unspecified manic-depressive psychoses"	"13746004"	"bipolar"
"294893019"	NA	NA	"Atypical manic disorder"	"E11y1"	"Atypical manic disorder"	"191658009"	"bipolar"
"294895014"	NA	NA	"Other mixed manic-depressive psychoses"	"E11y3"	"Other mixed manic-depressive psychoses"	"16506000"	"bipolar"
"294896010"	NA	NA	"Other and unspecified manic-depressive psychoses NOS"	"E11yz"	"Other and unspecified manic-depressive psychoses NOS"	"13746004"	"bipolar"
"294897018"	NA	NA	"Other and unspecified affective psychoses"	"E11z"	"Other and unspecified affective psychoses"	"441704009"	"bipolar"
"294898011"	NA	NA	"Unspecified affective psychoses NOS"	"E11z0"	"Unspecified affective psychoses NOS"	"441704009"	"bipolar"
"294902017"	NA	NA	"Other affective psychosis NOS"	"E11zz"	"Other affective psychosis NOS"	"441704009"	"bipolar"
"294904016"	NA	NA	"Simple paranoid state"	"E120"	"Simple paranoid state"	"191668004"	"other psychosis"
"294908018"	NA	NA	"Folie a deux"	"E123-1"	"Folie a deux"	"191670008"	"other psychosis"
"294909014"	NA	NA	"Shared paranoid disorder"	"E123"	"Shared paranoid disorder"	"191670008"	"other psychosis"
"294910016"	NA	NA	"Other paranoid states"	"E12y"	"Other paranoid states"	"191667009"	"other psychosis"
"294911017"	NA	NA	"Paranoia querulans"	"E12y0"	"Paranoia querulans"	"191672000"	"other psychosis"
"294912012"	NA	NA	"Other paranoid states NOS"	"E12yz"	"Other paranoid states NOS"	"191667009"	"other psychosis"
"294913019"	NA	NA	"Paranoid psychosis NOS"	"E12z"	"Paranoid psychosis NOS"	"191667009"	"other psychosis"
"294924017"	NA	NA	"Psychogenic paranoid psychosis"	"E134"	"Psychogenic paranoid psychosis"	"191680007"	"other psychosis"
"294926015"	NA	NA	"Other reactive psychoses"	"E13y"	"Other reactive psychoses"	"231437006"	"other psychosis"
"294927012"	NA	NA	"Psychogenic stupor"	"E13y0"	"Psychogenic stupor"	"191683009"	"other psychosis"
"294929010"	NA	NA	"Other reactive psychoses NOS"	"E13yz"	"Other reactive psychoses NOS"	"231437006"	"other psychosis"
"294949018"	NA	NA	"Other specified non-organic psychoses"	"E1y"	"Other specified non-organic psychoses"	"191525009"	"other psychosis"
"296022017"	NA	NA	"\\"[X]Schizophrenia, schizotypal and delusional disorders\\""	"Eu2"	"\\"[X]Schizophrenia, schizotypal and delusional disorders\\""	"417601000000102"	"other psychosis"
"296031017"	NA	NA	"[X]Undifferentiated schizophrenia"	"Eu203"	"[X]Undifferentiated schizophrenia"	"111484002"	"schizophrenia"
"296040018"	NA	NA	"\\"[X]Schizophrenia, unspecified\\""	"Eu20z"	"\\"[X]Schizophrenia, unspecified\\""	"58214004"	"schizophrenia"
"2960491000006119"	NA	NA	NA	NA	"Severe manic bipolar I disorder with psychotic features (disorder)"	"28663008"	"bipolar"
"296066015"	NA	NA	"\\"[X]Persistent delusional disorder, unspecified\\""	"Eu22z"	"\\"[X]Persistent delusional disorder, unspecified\\""	"231487004"	"other psychosis"
"296083012"	NA	NA	"[X]Other acute and transient psychotic disorders"	"Eu23y"	"[X]Other acute and transient psychotic disorders"	"231489001"	"other psychosis"
"296095012"	NA	NA	"[X]Other schizoaffective disorders"	"Eu25y"	"[X]Other schizoaffective disorders"	"68890003"	"other psychosis"
"296096013"	NA	NA	"\\"[X]Schizoaffective disorder, unspecified\\""	"Eu25z"	"\\"[X]Schizoaffective disorder, unspecified\\""	"68890003"	"other psychosis"
"296110017"	NA	NA	"[X]Mania without psychotic symptoms"	"Eu301"	"[X]Mania without psychotic symptoms"	"231494001"	"bipolar"
"296118012"	NA	NA	"[X]Other manic episodes"	"Eu30y"	"[X]Other manic episodes"	"231494001"	"bipolar"
"296130018"	NA	NA	"\\"[X]Bipolar affective disorder, currently in remission\\""	"Eu317"	"\\"[X]Bipolar affective disorder, currently in remission\\""	"85248005"	"bipolar"
"296135011"	NA	NA	"\\"[X]Bipolar affective disorder, unspecified\\""	"Eu31z"	"\\"[X]Bipolar affective disorder, unspecified\\""	"13746004"	"bipolar"
"3000261000006112"	"Schizoptypal disorder"	"^ESCTSC300026"	NA	NA	"Schizoptypal disorder"	"31027006"	"other psychosis"
"300411000000110"	NA	NA	"H/O: psychosis"	"146H"	"H/O: psychosis"	"198991000000103"	"other psychosis"
"3005591000006114"	"Disorganised schizophrenia in remission"	"^ESCTDI300559"	NA	NA	"Disorganised schizophrenia in remission"	"31373002"	"schizophrenia"
"3005601000006118"	"Disorganized schizophrenia in remission"	"^ESCTDI300560"	NA	NA	"Disorganized schizophrenia in remission"	"31373002"	"schizophrenia"
