"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"DPP4i"
"69459"	0	"Alogliptin 25mg tablets (Ennogen Healthcare Ltd)"	"Alogliptin"	"25mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Alogliptin"
"46665"	1020818	"Linagliptin 5mg tablets"	"Linagliptin"	"5mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Linagliptin"
"50087"	3457	"Januvia 50mg tablets (Merck Sharp & Dohme (UK) Ltd)"	"Sitagliptin"	"50mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"59385"	8744	"Vipdomet 12.5mg/1000mg tablets (Takeda UK Ltd)"	"Alogliptin"	"1gram + 12.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Alogliptin"
"83089"	3	"Glyxambi 10mg/5mg tablets (Boehringer Ingelheim Ltd)"	"Linagliptin"	"10mg + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Gliptins"	"Linagliptin"
"60681"	2768	"Vipidia 12.5mg tablets (Takeda UK Ltd)"	"Alogliptin"	"12.5mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Alogliptin"
"60682"	13510	"Vipidia 25mg tablets (Takeda UK Ltd)"	"Alogliptin"	"25mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Alogliptin"
"78293"	0	"Alogliptin 12.5mg / Metformin 1g tablets (Colorama Pharmaceuticals Ltd)"	"Alogliptin"	"1gram + 12.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Alogliptin"
"52449"	4367	"Linagliptin 2.5mg / Metformin 850mg tablets"	"Linagliptin"	"850mg + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Linagliptin"
"68258"	0	"Alogliptin 25mg tablets (Colorama Pharmaceuticals Ltd)"	"Alogliptin"	"25mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Alogliptin"
"54973"	517	"Saxagliptin 2.5mg / Metformin 850mg tablets"	"Saxagliptin"	"850mg + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Saxagliptin"
"69654"	1505	"Qtern 5mg/10mg tablets (AstraZeneca UK Ltd)"	"Saxagliptin"	"5mg + 10mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Gliptins"	"Saxagliptin"
"38551"	5369	"Eucreas 50mg/1000mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Vildagliptin"	"50mg + 1gram"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Vildagliptin"
"54891"	4301	"Saxagliptin 2.5mg / Metformin 1g tablets"	"Saxagliptin"	"1gram + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Saxagliptin"
"35462"	60912	"Januvia 100mg tablets (Merck Sharp & Dohme (UK) Ltd)"	"Sitagliptin"	"100mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"37902"	40193	"Vildagliptin 50mg / Metformin 1g tablets"	"Vildagliptin"	"50mg + 1gram"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Vildagliptin"
"41204"	370767	"Saxagliptin 5mg tablets"	"Saxagliptin"	"5mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Saxagliptin"
"91432"	0	"Alogliptin 25mg tablets (Takeda UK Ltd)"	"Alogliptin"	"25mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Alogliptin"
"39203"	4255	"Eucreas 50mg/850mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Vildagliptin"	"850mg + 50mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Vildagliptin"
"90375"	1	"Sitagliptin 125mg/5ml oral solution sugar free"	"Sitagliptin"	"25mg/1ml"	"Oral solution"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"46716"	13024	"Trajenta 5mg tablets (Boehringer Ingelheim Ltd)"	"Linagliptin"	"5mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Linagliptin"
"54150"	136	"Jentadueto 2.5mg/850mg tablets (Boehringer Ingelheim Ltd)"	"Linagliptin"	"850mg + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Linagliptin"
"59177"	406316	"Alogliptin 25mg tablets"	"Alogliptin"	"25mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Alogliptin"
"73150"	0	"Sitagliptin 100mg tablets (Waymade Healthcare Plc)"	"Sitagliptin"	"100mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"50682"	1035	"Jentadueto 2.5mg/1000mg tablets (Boehringer Ingelheim Ltd)"	"Linagliptin"	"1000mg + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Linagliptin"
"48401"	164735	"Sitagliptin 50mg tablets"	"Sitagliptin"	"50mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"
"59809"	15350	"Alogliptin 6.25mg tablets"	"Alogliptin"	"6.25mg"	"Oral tablet"	"Oral"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Alogliptin"
