"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antipsychotic"
"595441000033112"	"Fluphenazine 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"1.000mg"	"04020100"	"Fluphenazine"
"595641000033114"	"Fluphenazine 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"2.500mg"	"04020100"	"Fluphenazine"
"595741000033117"	"Fluphenazine 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"5.000mg"	"04020100"	"Fluphenazine"
"658341000033110"	"Haloperidol 500microgram capsules"	"Capsule/ Oral capsule"	"Oral"	"Haloperidol"	"500.000microgram"	"04020100"	"Haloperidol"
"659241000033113"	"Haloperidol  Elixir  2 mg/5 ml"	NA	NA	"Haloperidol"	NA	NA	"Haloperidol"
"659441000033114"	"Haldol Decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"100.000mg/1.000ml"	NA	"Haloperidol"
"659541000033110"	"Haldol Decanoate 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"50.000mg/1.000ml"	NA	"Haloperidol"
"659641000033111"	"Haloperidol 20mg/2ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular"	"Haloperidol"	"10.000mg/1.000ml"	"04020100"	"Haloperidol"
"659741000033119"	"Haloperidol decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"100.000mg/1.000ml"	"04020200"	"Haloperidol"
"659841000033112"	"Haloperidol decanoate 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"50.000mg/1.000ml"	"04020200"	"Haloperidol"
"659941000033116"	"Haloperidol  Injection  5 mg/ml"	"Solution for injection"	"Intramuscular"	"Haloperidol"	NA	NA	"Haloperidol"
"660041000033118"	"Haldol  Injection  5 mg/ml"	"Solution for injection"	"Intramuscular"	"Haloperidol"	NA	NA	"Haloperidol"
"660341000033116"	"Haloperidol 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Haloperidol"	"1.000mg/1.000ml"	"04020100"	"Haloperidol"
"660441000033110"	"Haloperidol  Liquid  2mg/ml"	NA	NA	"Haloperidol"	NA	NA	"Haloperidol"
"661341000033112"	"Haloperidol 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Haloperidol"	"2.000mg/1.000ml"	"04020100"	"Haloperidol"
"661441000033118"	"Haloperidol  Oral liquid conc.  10 mg/ml"	"Oral solution"	"Oral"	"Haloperidol"	NA	NA	"Haloperidol"
"661541000033117"	"Haldol 2mg/ml oral solution"	"Oral solution"	"Oral"	"Haloperidol"	"2.000mg/1.000ml"	NA	"Haloperidol"
"661641000033116"	"Haldol  Oral liquid conc.  10 mg/ml"	"Oral solution"	"Oral"	"Haloperidol"	NA	NA	"Haloperidol"
"662341000033115"	"Haloperidol 1.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"1.500mg"	"04020100"	"Haloperidol"
"662441000033114"	"Haloperidol 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"20.000mg"	"04020100"	"Haloperidol"
"662541000033110"	"Haloperidol 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"5.000mg"	"04020100"	"Haloperidol"
"663241000033118"	"Haloperidol 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"10.000mg"	"04020100"	"Haloperidol"
"663341000033111"	"Haloperidol 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"500.000microgram"	"04020100"	"Haloperidol"
"663441000033117"	"Haldol 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"10.000mg"	NA	"Haloperidol"
"663541000033116"	"Haldol 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"5.000mg"	NA	"Haloperidol"
"757541000033111"	"Integrin 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Oxypertine"	"10.000mg"	NA	"Oxypertine"
"769641000033110"	"Integrin  Tablets  40 mg"	"Tablet"	"Oral"	"Oxypertine"	NA	NA	"Oxypertine"
"811041000033116"	"Largactil 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	"25.000mg/1.000ml"	NA	"Chlorpromazine"
"813341000033115"	"Largactil  Suppositories  100 mg"	"Suppository"	"Rectal"	"Chlorpromazine"	NA	NA	"Chlorpromazine"
"813441000033114"	"Largactil Forte 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Chlorpromazine"	"20.000mg/1.000ml"	NA	"Chlorpromazine"
"813741000033119"	"Largactil 25mg/5ml syrup"	"Oral solution"	"Oral"	"Chlorpromazine"	"5.000mg/1.000ml"	NA	"Chlorpromazine"
"815741000033115"	"Largactil 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"10.000mg"	NA	"Chlorpromazine"
"815841000033113"	"Largactil 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"100.000mg"	NA	"Chlorpromazine"
"815941000033117"	"Largactil 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"25.000mg"	NA	"Chlorpromazine"
"816041000033110"	"Largactil 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"50.000mg"	NA	"Chlorpromazine"
"840741000033115"	"Loxapine 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Loxapine"	"10.000mg"	"04020100"	"Loxapine"
"840841000033113"	"Loxapine 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Loxapine"	"25.000mg"	"04020100"	"Loxapine"
"840941000033117"	"Loxapine 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Loxapine"	"50.000mg"	"04020100"	"Loxapine"
"842041000033117"	"Loxapac 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Loxapine"	"10.000mg"	NA	"Loxapine"
"842141000033118"	"Loxapac 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Loxapine"	"25.000mg"	NA	"Loxapine"
"842241000033113"	"Loxapac 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Loxapine"	"50.000mg"	NA	"Loxapine"
"892141000033114"	"Melleril 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Thioridazine"	"20.000mg/1.000ml"	NA	"Thioridazine"
"892241000033119"	"Melleril 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Thioridazine"	"5.000mg/1.000ml"	NA	"Thioridazine"
"893741000033115"	"Melleril 25mg/5ml syrup"	"Oral solution"	"Oral"	"Thioridazine"	"5.000mg/1.000ml"	NA	"Thioridazine"
"894141000033116"	"Melleril  Syrup  3mg/10 ml"	"Oral solution"	"Oral"	"Thioridazine"	NA	NA	"Thioridazine"
"895841000033114"	"Melleril 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Thioridazine"	"10.000mg"	NA	"Thioridazine"
"895941000033118"	"Melleril 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Thioridazine"	"100.000mg"	NA	"Thioridazine"
"896041000033111"	"Melleril 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Thioridazine"	"25.000mg"	NA	"Thioridazine"
"896141000033110"	"Melleril 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Thioridazine"	"50.000mg"	NA	"Thioridazine"
"924241000033110"	"Modecate 25mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"
"924341000033117"	"Modecate 50mg/2ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"
"925341000033116"	"Modecate 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"
"925841000033113"	"Modecate 12.5mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"
"925941000033117"	"Modecate Concentrate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	NA	"Fluphenazine"
"926041000033110"	"Moditen Enanthate  Injection  25 mg/ml"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	NA	NA	"Fluphenazine"
"927741000033110"	"Modecate 250mg/10ml solution for injection vials"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"
"927841000033117"	"Modecate Concentrate 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	NA	"Fluphenazine"
"934841000033111"	"Modecate 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	NA	"Fluphenazine"
"935041000033115"	"Moditen 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"1.000mg"	NA	"Fluphenazine"
"935141000033116"	"Moditen 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"2.500mg"	NA	"Fluphenazine"
"935241000033111"	"Moditen 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"5.000mg"	NA	"Fluphenazine"
"938841000033118"	"Motipress tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"1.500mg + 30.000mg"	NA	"Fluphenazine"
"938941000033114"	"Motival 10mg/500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"500.000microgram + 10.000mg"	NA	"Fluphenazine"
"965041000033112"	"Neulactil Forte syrup"	"Oral solution"	"Oral"	"Pericyazine"	"2.000mg/1.000ml"	NA	"Pericyazine"
"965541000033119"	"Neulactil 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pericyazine"	"10.000mg"	NA	"Pericyazine"
"965641000033118"	"Neulactil 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pericyazine"	"2.500mg"	NA	"Pericyazine"
"965741000033110"	"Neulactil  Tablets  25 mg"	"Tablet"	"Oral"	"Pericyazine"	NA	NA	"Pericyazine"
"981641000033117"	"Nozinan 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"Levomepromazine"	"25.000mg/1.000ml"	NA	"Levomepromazine"
"1003641000033113"	"Olanzapine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Olanzapine"	"10.000mg"	"04020100"	"Olanzapine"
"1003741000033116"	"Olanzapine 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Olanzapine"	"5.000mg"	"04020100"	"Olanzapine"
"1003841000033114"	"Olanzapine 7.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Olanzapine"	"7.500mg"	"04020100"	"Olanzapine"
"1016341000033111"	"Orap  Tablets  10 mg"	"Tablet"	"Oral"	"Pimozide"	NA	NA	"Pimozide"
"1016441000033117"	"Orap 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pimozide"	"2.000mg"	NA	"Pimozide"
"1016541000033116"	"Orap 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pimozide"	"4.000mg"	NA	"Pimozide"
"1022741000033116"	"Oxypertine 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Oxypertine"	"10.000mg"	"04020100"	"Oxypertine"
"1026941000033117"	"Oxypertine 40mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Oxypertine"	"40.000mg"	"04020100"	"Oxypertine"
"1052041000033118"	"Perphenazine  Injection  5 mg/ml"	"Solution for injection"	"Intramuscular"	"Perphenazine"	NA	NA	"Perphenazine"
"1063541000033113"	"Pericyazine 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Pericyazine"	"2.000mg/1.000ml"	"04020100"	"Pericyazine"
"1065141000033117"	"Perphenazine 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perphenazine"	"2.000mg"	"04020100"	"Perphenazine"
"1065241000033112"	"Perphenazine 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perphenazine"	"4.000mg"	"04020100"	"Perphenazine"
"1065341000033119"	"Perphenazine  Tablets  8 mg"	"Tablet"	"Oral"	"Perphenazine"	NA	NA	"Perphenazine"
"1066741000033111"	"Pericyazine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pericyazine"	"10.000mg"	"04020100"	"Pericyazine"
"1067041000033110"	"Pericyazine 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pericyazine"	"2.500mg"	"04020100"	"Pericyazine"
"1067141000033114"	"Pericyazine  Tablets  25 mg"	"Tablet"	"Oral"	"Pericyazine"	NA	NA	"Pericyazine"
"1086741000033114"	"Piportil Depot 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Pipotiazine"	"50.000mg/1.000ml"	NA	"Pipotiazine"
"1087341000033110"	"Piportil Depot 100mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Pipotiazine"	"50.000mg/1.000ml"	NA	"Pipotiazine"
"1090841000033118"	"Pimozide  Tablets  10 mg"	"Tablet"	"Oral"	"Pimozide"	NA	NA	"Pimozide"
"1090941000033114"	"Pimozide 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pimozide"	"2.000mg"	"04020100"	"Pimozide"
"1091041000033116"	"Pimozide 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pimozide"	"4.000mg"	"04020100"	"Pimozide"
"1116541000033114"	"Prochlorperazine Mesylate  Injection  25 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Prochlorperazine"	NA	NA	"Prochlorperazine"
"1116941000033115"	"Prochlorperazine Maleate  Injection  12.5 mg/ml"	"Solution for injection"	"Intramuscular"	"Prochlorperazine"	NA	NA	"Prochlorperazine"
"1117541000033112"	"Promazine Hydrochloride  Injection  50 mg/ml"	"Solution for injection"	"Intramuscular"	"Promazine"	NA	NA	"Promazine"
"1127741000033112"	"Prochlorperazine Maleate  Spansules  10 mg"	"Modified-release capsule"	"Oral"	"Prochlorperazine"	NA	NA	"Prochlorperazine"
"1127841000033119"	"Prochlorperazine Maleate  Spansules  15 mg"	"Modified-release capsule"	"Oral"	"Prochlorperazine"	NA	NA	"Prochlorperazine"
"1128641000033119"	"Prochlorperazine 25mg suppositories"	"Suppository"	"Rectal"	"Prochlorperazine"	"25.000mg"	"04060000"	"Prochlorperazine"
"1128741000033111"	"Prochlorperazine 5mg suppositories"	"Suppository"	"Rectal"	"Prochlorperazine"	"5.000mg"	"04060000"	"Prochlorperazine"
"1129141000033118"	"Promazine Hydrochloride  Suspension  50 mg/5 ml"	NA	NA	"Promazine"	NA	NA	"Promazine"
"1129641000033111"	"Promazine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Promazine"	"5.000mg/1.000ml"	"04020100"	"Promazine"
"1130941000033113"	"Proziere 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prochlorperazine"	"5.000mg"	NA	"Prochlorperazine"
"1133541000033114"	"Prochlorperazine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prochlorperazine"	"25.000mg"	"04060000"	"Prochlorperazine"
"1133641000033110"	"Prochlorperazine 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prochlorperazine"	"5.000mg"	"04060000"	"Prochlorperazine"
"1134241000033114"	"Promazine Hydrochloride  Tablets  100 mg"	"Tablet"	"Oral"	"Promazine"	NA	NA	"Promazine"
"1134341000033116"	"Promazine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Promazine"	"25.000mg"	"04020100"	"Promazine"
"1134441000033110"	"Promazine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Promazine"	"50.000mg"	"04020100"	"Promazine"
"1139841000033114"	"Prochlorperazine 3mg buccal tablets"	"Buccal tablet"	"Buccal"	"Prochlorperazine"	"3.000mg"	"04060000"	"Prochlorperazine"
"1150041000033111"	"Quetiapine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quetiapine"	"100.000mg"	"04020100"	"Quetiapine"
"1150141000033110"	"Quetiapine 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quetiapine"	"200.000mg"	"04020100"	"Quetiapine"
"1150241000033115"	"Quetiapine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quetiapine"	"25.000mg"	"04020100"	"Quetiapine"
