"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Other Antidiabetic"
"15955"	"Starlix 120mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Nateglinide"	"120mg"	"Meglitinides (Glinides)"	"Nateglinide"
"5678"	"Nateglinide 120mg tablets"	"Oral tablet"	"Oral"	"Nateglinide"	"120mg"	"Meglitinides (Glinides)"	"Nateglinide"
"72163"	"Pioglitazone 45mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"45mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"48120"	"Avandia 2mg Tablet (GlaxoSmithKline UK Ltd)"	"Tablet"	"Oral"	"Rosiglitazone"	"2mg"	"Other Antidiabetic Products"	"Rosiglitazone"
"63421"	"Pioglitazone 30mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"63107"	"Pioglitazone 45mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Pioglitazone"	"45mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"11321"	"NovoNorm 1mg tablets (Novo Nordisk Ltd)"	"Oral tablet"	"Oral"	"Repaglinide"	"1mg"	"Meglitinides (Glinides)"	"Repaglinide"
"71020"	"Acarbose 50mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Acarbose"	"50mg"	"Other Antidiabetic Products"	"Acarbose"
"5989"	"Nateglinide 180mg tablets"	"Oral tablet"	"Oral"	"Nateglinide"	"180mg"	"Meglitinides (Glinides)"	"Nateglinide"
"11366"	"NovoNorm 2mg tablets (Novo Nordisk Ltd)"	"Oral tablet"	"Oral"	"Repaglinide"	"2mg"	"Meglitinides (Glinides)"	"Repaglinide"
"9105"	"Glucobay 100mg tablets (Bayer Plc)"	"Oral tablet"	"Oral"	"Acarbose"	"100mg"	"Other Antidiabetic Products"	"Acarbose"
"18220"	"Pioglitazone 15mg / Metformin 850mg tablets"	"Oral tablet"	"Oral"	"Pioglitazone"	"850mg + 15mg"	"Glitazones Plus Metformin"	"Pioglitazone"
"31077"	"Competact 15mg/850mg tablets (Neon Healthcare Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"850mg + 15mg"	"Glitazones Plus Metformin"	"Pioglitazone"
"20287"	"Actos 15mg tablets (Neon Healthcare Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"15mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"11610"	"Metformin with rosiglitazone 500mg + 2mg Tablet"	"Tablet"	"Oral"	"Rosiglitazone"	"500mg + 2mg"	"Biguanides (Metformin)/Other Antidiabetic Products"	"Rosiglitazone"
"11717"	"Rosiglitazone 2mg / Metformin 1g tablets"	"Oral tablet"	"Oral"	"Rosiglitazone"	"2mg + 1gram"	"Glitazones Plus Metformin"	"Rosiglitazone"
"79854"	"Pioglitazone 15mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"15mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"9662"	"Avandia 4mg tablets (GlaxoSmithKline UK Ltd)"	"Oral tablet"	"Oral"	"Rosiglitazone"	"4mg"	"Unknown"	"Rosiglitazone"
"35561"	"Prandin 2mg tablets (Novo Nordisk Ltd)"	"Oral tablet"	"Oral"	"Repaglinide"	"2mg"	"Meglitinides (Glinides)"	"Repaglinide"
"69885"	"Pioglitazone 30mg tablets (Krka UK Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"37617"	"Rosiglitazone 2mg tablet"	"Tablets"	"Oral"	"Rosiglitazone"	"2mg"	"Other Antidiabetic Products"	"Rosiglitazone"
"11737"	"Metformin with rosiglitazone 1000mg + 4mg Tablet"	"Tablet"	"Oral"	"Rosiglitazone"	"1000mg + 4mg"	"Biguanides (Metformin)/Other Antidiabetic Products"	"Rosiglitazone"
"11604"	"Rosiglitazone 1mg / Metformin 500mg tablets"	"Oral tablet"	"Oral"	"Rosiglitazone"	"1mg + 500mg"	"Glitazones Plus Metformin"	"Rosiglitazone"
"83476"	"Acarbose 100mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Acarbose"	"100mg"	"Other Antidiabetic Products"	"Acarbose"
"63046"	"Pioglitazone 45mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"45mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"479"	"Acarbose 50mg tablets"	"Oral tablet"	"Oral"	"Acarbose"	"50mg"	"Other Antidiabetic Products"	"Acarbose"
"27125"	"Starlix 180mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Nateglinide"	"180mg"	"Meglitinides (Glinides)"	"Nateglinide"
"7325"	"Avandamet 4mg/1000mg tablets (GlaxoSmithKline UK Ltd)"	"Oral tablet"	"Oral"	"Rosiglitazone"	"1gram + 4mg"	"Unknown"	"Rosiglitazone"
"469"	"Rosiglitazone 4mg tablets"	"Oral tablet"	"Oral"	"Rosiglitazone"	"4mg"	"Thiazolidinedione (Glitazones)"	"Rosiglitazone"
"65563"	"Pioglitazone 15mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"15mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"11760"	"Metformin with rosiglitazone 1000mg + 2mg Tablet"	"Tablet"	"Oral"	"Rosiglitazone"	"1000mg + 2mg"	"Biguanides (Metformin)/Other Antidiabetic Products"	"Rosiglitazone"
"9748"	"Repaglinide 2mg tablets"	"Oral tablet"	"Oral"	"Repaglinide"	"2mg"	"Meglitinides (Glinides)"	"Repaglinide"
"78258"	"Pioglitazone 15mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Pioglitazone"	"3mg/1ml"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"61925"	"NovoNorm 500microgram tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Repaglinide"	"500microgram"	"Meglitinides (Glinides)"	"Repaglinide"
"57659"	"Pioglitazone 30mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"11483"	"Nateglinide 60mg tablets"	"Oral tablet"	"Oral"	"Nateglinide"	"60mg"	"Meglitinides (Glinides)"	"Nateglinide"
"36774"	"Prandin 1mg tablets (Novo Nordisk Ltd)"	"Oral tablet"	"Oral"	"Repaglinide"	"1mg"	"Meglitinides (Glinides)"	"Repaglinide"
"14164"	"Avandamet 2mg/1000mg tablets (GlaxoSmithKline UK Ltd)"	"Oral tablet"	"Oral"	"Rosiglitazone"	"2mg + 1gram"	"Unknown"	"Rosiglitazone"
"64900"	"Glidipion 30mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"48139"	"Pioglitazone 30mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"6855"	"Avandamet 2mg/500mg tablets (GlaxoSmithKline UK Ltd)"	"Oral tablet"	"Oral"	"Rosiglitazone"	"2mg + 500mg"	"Unknown"	"Rosiglitazone"
"84958"	"Pioglitazone 15mg / Metformin 850mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"850mg + 15mg"	"Glitazones Plus Metformin"	"Pioglitazone"
"23945"	"Starlix 60mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Nateglinide"	"60mg"	"Meglitinides (Glinides)"	"Nateglinide"
"65562"	"Pioglitazone 30mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"17580"	"Avandamet 1mg/500mg tablets (GlaxoSmithKline UK Ltd)"	"Oral tablet"	"Oral"	"Rosiglitazone"	"1mg + 500mg"	"Unknown"	"Rosiglitazone"
"62426"	"Pioglitazone 30mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"10051"	"Pioglitazone 45mg tablets"	"Oral tablet"	"Oral"	"Pioglitazone"	"45mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"11316"	"NovoNorm 500microgram tablets (Novo Nordisk Ltd)"	"Oral tablet"	"Oral"	"Repaglinide"	"500microgram"	"Meglitinides (Glinides)"	"Repaglinide"
"7375"	"Rosiglitazone 4mg / Metformin 1g tablets"	"Oral tablet"	"Oral"	"Rosiglitazone"	"1gram + 4mg"	"Glitazones Plus Metformin"	"Rosiglitazone"
"83456"	"Acarbose 50mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Acarbose"	"50mg"	"Other Antidiabetic Products"	"Acarbose"
"5174"	"Acarbose 100mg tablets"	"Oral tablet"	"Oral"	"Acarbose"	"100mg"	"Other Antidiabetic Products"	"Acarbose"
"56208"	"Pioglitazone 15mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"15mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"5621"	"Glucobay 50mg tablets (Bayer Plc)"	"Oral tablet"	"Oral"	"Acarbose"	"50mg"	"Other Antidiabetic Products"	"Acarbose"
"82372"	"Competact 15mg/850mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Pioglitazone"	"850mg + 15mg"	"Glitazones Plus Metformin"	"Pioglitazone"
"52203"	"Enyglid 0.5mg tablets (Krka UK Ltd)"	"Oral tablet"	"Oral"	"Repaglinide"	"500microgram"	"Meglitinides (Glinides)"	"Repaglinide"
"19472"	"Actos 45mg tablets (Neon Healthcare Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"45mg"	"Thiazolidinedione (Glitazones)"	"Pioglitazone"
"36948"	"Prandin 0.5mg tablets (Novo Nordisk Ltd)"	"Oral tablet"	"Oral"	"Repaglinide"	"500microgram"	"Meglitinides (Glinides)"	"Repaglinide"
