"Read.code"	"Term"	"Group"	"Aurum.Medcode"	"Gold.Medcode"	"On.QOF"	"On.OHID"
"E1075"	"Schizo-affective schizophrenia in remission"	"other psychosis"	"155151000006119"	"56438"	"YES"	"YES"
"E107-99"	"Acute schizo affective psychosis"	"other psychosis"	"882301000006112"	"0"	"YES"	"YES"
"E107z"	"Schizo-affective schizophrenia NOS"	"other psychosis"	"155161000006117"	"10575"	"YES"	"YES"
"E10-98"	"Schizophrenic psychoses NOS"	"schizophrenia"	"882281000006113"	"0"	"YES"	"YES"
"E10-99"	"Schizophrenic psychoses"	"schizophrenia"	"882291000006111"	"0"	"YES"	"YES"
"E10y"	"Other schizophrenia"	"schizophrenia"	"401764014"	"39062"	"YES"	"YES"
"E10y0"	"Atypical schizophrenia"	"schizophrenia"	"1219653018"	"33338"	"YES"	"YES"
"E10y1"	"Coenesthopathic schizophrenia"	"schizophrenia"	"294787015"	"99070"	"YES"	"YES"
"E10y-1"	"Cenesthopathic schizophrenia"	"schizophrenia"	"294788013"	"92994"	"YES"	"YES"
"E10yz"	"Other schizophrenia NOS"	"schizophrenia"	"294789017"	"49761"	"YES"	"YES"
"E10z"	"Schizophrenia NOS"	"schizophrenia"	"294790014"	"8407"	"YES"	"YES"
"E110"	"\"Manic disorder, single episode\""	"bipolar"	"401765010"	"37070"	"YES"	"YES"
"E1100"	"\"Single manic episode, unspecified\""	"bipolar"	"294802018"	"20110"	"YES"	"YES"
"E1101"	"\"Single manic episode, mild\""	"bipolar"	"294803011"	"14728"	"YES"	"YES"
"E110-1"	"Hypomanic psychoses"	"bipolar"	"789221000006116"	"18909"	"YES"	"YES"
"E1102"	"\"Single manic episode, moderate\""	"bipolar"	"294804017"	"24640"	"YES"	"YES"
"E1103"	"\"Single manic episode, severe without mention of psychosis\""	"bipolar"	"294805016"	"43093"	"YES"	"YES"
"E1104"	"\"Single manic episode, severe, with psychosis\""	"bipolar"	"294806015"	"50218"	"YES"	"YES"
"E1105"	"Single manic episode in partial or unspecified remission"	"bipolar"	"294807012"	"109485"	"YES"	"YES"
"E1106"	"Single manic episode in full remission"	"bipolar"	"294808019"	"70000"	"YES"	"YES"
"E110-99"	"Mania/hypomania"	"bipolar"	"882321000006119"	"0"	"YES"	"YES"
"E110z"	"\"Manic disorder, single episode NOS\""	"bipolar"	"294809010"	"36611"	"YES"	"YES"
"E111"	"Recurrent manic episodes"	"bipolar"	"294810017"	"26227"	"YES"	"YES"
"E11-1"	"Bipolar psychoses"	"bipolar"	"513871000006118"	"8567"	"NO"	"YES"
"E1110"	"\"Recurrent manic episodes, unspecified\""	"bipolar"	"294811018"	"19967"	"YES"	"YES"
"E1111"	"\"Recurrent manic episodes, mild\""	"bipolar"	"294812013"	"46425"	"YES"	"YES"
"E1112"	"\"Recurrent manic episodes, moderate\""	"bipolar"	"294813015"	"27739"	"YES"	"YES"
"E1113"	"\"Recurrent manic episodes, severe without mention psychosis\""	"bipolar"	"182871000006115"	"65811"	"YES"	"YES"
"E1114"	"\"Recurrent manic episodes, severe, with psychosis\""	"bipolar"	"294815010"	"32295"	"YES"	"YES"
"E1115"	"\"Recurrent manic episodes, partial or unspecified remission\""	"bipolar"	"182861000006110"	"58863"	"YES"	"YES"
"E1116"	"\"Recurrent manic episodes, in full remission\""	"bipolar"	"294817019"	"37178"	"YES"	"YES"
"E111z"	"Recurrent manic episode NOS"	"bipolar"	"294818012"	"46415"	"YES"	"YES"
"E11-3"	"Manic psychoses"	"bipolar"	"223601000000119"	"26161"	"NO"	"YES"
"E114"	"\"Bipolar affective disorder, currently manic\""	"bipolar"	"513801000006112"	"3702"	"YES"	"YES"
"E1140"	"\"Bipolar affective disorder, currently manic, unspecified\""	"bipolar"	"294848010"	"35738"	"YES"	"YES"
"E1141"	"\"Bipolar affective disorder, currently manic, mild\""	"bipolar"	"294849019"	"36126"	"YES"	"YES"
"E114-1"	"Manic-depressive - now manic"	"bipolar"	"294847017"	"17385"	"YES"	"YES"
"E1142"	"\"Bipolar affective disorder, currently manic, moderate\""	"bipolar"	"294850019"	"46434"	"YES"	"YES"
"E1143"	"\"Bipolar affect disord, currently manic, severe, no psychosis\""	"bipolar"	"513691000006116"	"16347"	"YES"	"YES"
"E1144"	"\"Bipolar affect disord, currently manic,severe with psychosis\""	"bipolar"	"513701000006116"	"55829"	"YES"	"YES"
"E1145"	"\"Bipolar affect disord,currently manic, part/unspec remission\""	"bipolar"	"513741000006119"	"59011"	"YES"	"YES"
"E1146"	"\"Bipolar affective disorder, currently manic, full remission\""	"bipolar"	"513811000006110"	"63784"	"YES"	"YES"
"E114z"	"\"Bipolar affective disorder, currently manic, NOS\""	"bipolar"	"294858014"	"57605"	"YES"	"YES"
"E115"	"\"Bipolar affective disorder, currently depressed\""	"bipolar"	"513751000006117"	"4677"	"YES"	"YES"
"E1150"	"\"Bipolar affective disorder, currently depressed, unspecified\""	"bipolar"	"294861010"	"15923"	"YES"	"YES"
"E1151"	"\"Bipolar affective disorder, currently depressed, mild\""	"bipolar"	"294862015"	"35734"	"YES"	"YES"
"E115-1"	"Manic-depressive - now depressed"	"bipolar"	"294860011"	"12831"	"YES"	"YES"
"E1152"	"\"Bipolar affective disorder, currently depressed, moderate\""	"bipolar"	"294863013"	"27890"	"YES"	"YES"
"E1153"	"\"Bipolar affect disord, now depressed, severe, no psychosis\""	"bipolar"	"513731000006112"	"35607"	"YES"	"YES"
"E1154"	"\"Bipolar affect disord, now depressed, severe with psychosis\""	"bipolar"	"513721000006114"	"63701"	"YES"	"YES"
"E1155"	"\"Bipolar affect disord, now depressed, part/unspec remission\""	"bipolar"	"513711000006118"	"72026"	"YES"	"YES"
"E1156"	"\"Bipolar affective disorder, now depressed, in full remission\""	"bipolar"	"513861000006113"	"57465"	"YES"	"YES"
"E115z"	"\"Bipolar affective disorder, currently depressed, NOS\""	"bipolar"	"294868016"	"37296"	"YES"	"YES"
"E116"	"Mixed bipolar affective disorder"	"bipolar"	"294869012"	"31316"	"YES"	"YES"
"E1160"	"\"Mixed bipolar affective disorder, unspecified\""	"bipolar"	"294870013"	"31535"	"YES"	"YES"
"E1161"	"\"Mixed bipolar affective disorder, mild\""	"bipolar"	"294871012"	"24689"	"YES"	"YES"
"E1162"	"\"Mixed bipolar affective disorder, moderate\""	"bipolar"	"294872017"	"63150"	"YES"	"YES"
"E1163"	"\"Mixed bipolar affective disorder, severe, without psychosis\""	"bipolar"	"701071000006111"	"63284"	"YES"	"YES"
"E1164"	"\"Mixed bipolar affective disorder, severe, with psychosis\""	"bipolar"	"294874016"	"54195"	"YES"	"YES"
"E1165"	"\"Mixed bipolar affective disorder, partial/unspec remission\""	"bipolar"	"701051000006118"	"63651"	"YES"	"YES"
"E1166"	"\"Mixed bipolar affective disorder, in full remission\""	"bipolar"	"294876019"	"55064"	"YES"	"YES"
"E116z"	"\"Mixed bipolar affective disorder, NOS\""	"bipolar"	"294877011"	"63583"	"YES"	"YES"
"E117"	"Unspecified bipolar affective disorder"	"bipolar"	"294880012"	"14784"	"YES"	"YES"
"E1170"	"\"Unspecified bipolar affective disorder, unspecified\""	"bipolar"	"294881011"	"49763"	"YES"	"YES"
"E1171"	"\"Unspecified bipolar affective disorder, mild\""	"bipolar"	"294882016"	"63698"	"YES"	"YES"
"E1172"	"\"Unspecified bipolar affective disorder, moderate\""	"bipolar"	"294883014"	"68647"	"YES"	"YES"
"E1173"	"\"Unspecified bipolar affective disorder, severe, no psychosis\""	"bipolar"	"82151000006114"	"73423"	"YES"	"YES"
"E1174"	"\"Unspecified bipolar affective disorder,severe with psychosis\""	"bipolar"	"82171000006116"	"68326"	"YES"	"YES"
"E1175"	"\"Unspecified bipolar affect disord, partial/unspec remission\""	"bipolar"	"82091000006116"	"70721"	"YES"	"YES"
"E1176"	"\"Unspecified bipolar affective disorder, in full remission\""	"bipolar"	"294887010"	"24230"	"YES"	"YES"
"E117z"	"\"Unspecified bipolar affective disorder, NOS\""	"bipolar"	"294888017"	"27986"	"YES"	"YES"
"E11-99"	"Manic-depressive psychoses"	"bipolar"	"882311000006110"	"0"	"NO"	"YES"
"E11y"	"Other and unspecified manic-depressive psychoses"	"bipolar"	"294891017"	"60178"	"YES"	"YES"
"E11y0"	"Unspecified manic-depressive psychoses"	"bipolar"	"294892012"	"11596"	"YES"	"YES"
"E11y1"	"Atypical manic disorder"	"bipolar"	"294893019"	"70925"	"YES"	"YES"
"E11y3"	"Other mixed manic-depressive psychoses"	"bipolar"	"294895014"	"70399"	"YES"	"YES"
"E11yz"	"Other and unspecified manic-depressive psychoses NOS"	"bipolar"	"294896010"	"33426"	"YES"	"YES"
"E11z"	"Other and unspecified affective psychoses"	"bipolar"	"294897018"	"41992"	"YES"	"YES"
"E11z0"	"Unspecified affective psychoses NOS"	"bipolar"	"294898011"	"54607"	"YES"	"YES"
"E11zz"	"Other affective psychosis NOS"	"bipolar"	"294902017"	"33425"	"YES"	"YES"
"E12"	"Paranoid states"	"other psychosis"	"243361000006117"	"4261"	"YES"	"YES"
"E120"	"Simple paranoid state"	"other psychosis"	"294904016"	"14743"	"YES"	"YES"
"E121"	"Chronic paranoid psychosis"	"other psychosis"	"401768012"	"3890"	"YES"	"YES"
"E121-1"	"Sander's disease"	"other psychosis"	"161371000006118"	"109634"	"YES"	"YES"
"E122"	"Paraphrenia"	"other psychosis"	"44335019"	"14971"	"YES"	"YES"
"E123"	"Shared paranoid disorder"	"other psychosis"	"294909014"	"62680"	"YES"	"YES"
"E123-1"	"Folie a deux"	"other psychosis"	"294908018"	"50868"	"YES"	"YES"
"E12-99"	"Paranoia"	"other psychosis"	"882331000006116"	"0"	"YES"	"YES"
"E12y"	"Other paranoid states"	"other psychosis"	"294910016"	"31589"	"YES"	"YES"
"E12y0"	"Paranoia querulans"	"other psychosis"	"294911017"	"66766"	"YES"	"YES"
"E12yz"	"Other paranoid states NOS"	"other psychosis"	"294912012"	"31455"	"YES"	"YES"
"E12z"	"Paranoid psychosis NOS"	"other psychosis"	"294913019"	"12771"	"YES"	"YES"
"E13"	"Other nonorganic psychoses"	"other psychosis"	"25461000006115"	"31984"	"YES"	"YES"
"E13-1"	"Reactive psychoses"	"other psychosis"	"346896012"	"20228"	"YES"	"YES"
"E133"	"Acute paranoid reaction"	"other psychosis"	"401770015"	"15053"	"YES"	"YES"
"E133-1"	"Bouffee delirante"	"other psychosis"	"523481000006114"	"68058"	"YES"	"YES"
"E134"	"Psychogenic paranoid psychosis"	"other psychosis"	"294924017"	"24345"	"YES"	"YES"
"E13y"	"Other reactive psychoses"	"other psychosis"	"294926015"	"16333"	"YES"	"YES"
"E13y0"	"Psychogenic stupor"	"other psychosis"	"294927012"	"22117"	"YES"	"YES"
"E13y1"	"Brief reactive psychosis"	"other psychosis"	"10122017"	"23538"	"YES"	"YES"
"E13yz"	"Other reactive psychoses NOS"	"other psychosis"	"294929010"	"26119"	"YES"	"YES"
"E13z"	"Nonorganic psychosis NOS"	"other psychosis"	"223611000000117"	"14965"	"YES"	"YES"
"E13z-1"	"Psychotic episode NOS"	"other psychosis"	"346895011"	"3636"	"YES"	"YES"
"E1y"	"Other specified non-organic psychoses"	"other psychosis"	"294949018"	"16537"	"YES"	"YES"
"E1z"	"Non-organic psychosis NOS"	"other psychosis"	"401771016"	"22188"	"NO"	"YES"
"E2122"	"Schizotypal personality"	"other psychosis"	"155281000006119"	"61969"	"YES"	"YES"
"Eu0z-2"	"[X]Symptomatic psychosis NOS"	"other psychosis"	"428451000006119"	"8766"	"NO"	"YES"
"Eu2"	"\"[X]Schizophrenia, schizotypal and delusional disorders\""	"other psychosis"	"296022017"	"17281"	"YES"	"YES"
"Eu20"	"[X]Schizophrenia"	"schizophrenia"	"425601000006114"	"34236"	"YES"	"YES"
"Eu200"	"[X]Paranoid schizophrenia"	"schizophrenia"	"418221000006118"	"16764"	"YES"	"YES"
"Eu200-1"	"[X]Paraphrenic schizophrenia"	"schizophrenia"	"418261000006112"	"50060"	"YES"	"YES"
"Eu201"	"[X]Hebephrenic schizophrenia"	"schizophrenia"	"388741000006110"	"43405"	"YES"	"YES"
"Eu201-1"	"[X]Disorganised schizophrenia"	"schizophrenia"	"378051000006119"	"53985"	"YES"	"YES"
"Eu202"	"[X]Catatonic schizophrenia"	"schizophrenia"	"370451000006110"	"61501"	"YES"	"YES"
"Eu202-1"	"[X]Catatonic stupor"	"schizophrenia"	"370461000006112"	"20572"	"YES"	"YES"
"Eu202-2"	"[X]Schizophrenic catalepsy"	"schizophrenia"	"425641000006111"	"64533"	"YES"	"YES"
"Eu202-3"	"[X]Schizophrenic catatonia"	"schizophrenia"	"425651000006113"	"35877"	"YES"	"YES"
"Eu202-4"	"[X]Schizophrenic flexibilatis cerea"	"schizophrenia"	"294743012"	"31493"	"YES"	"YES"
"Eu203"	"[X]Undifferentiated schizophrenia"	"schizophrenia"	"296031017"	"60013"	"YES"	"YES"
"Eu203-1"	"[X]Atypical schizophrenia"	"schizophrenia"	"366571000006114"	"91547"	"YES"	"YES"
"Eu204"	"[X]Post-schizophrenic depression"	"schizophrenia"	"423041000006119"	"20785"	"YES"	"YES"
"Eu205"	"[X]Residual schizophrenia"	"schizophrenia"	"424841000006113"	"64264"	"YES"	"YES"
"Eu205-1"	"[X]Chronic undifferentiated schizophrenia"	"schizophrenia"	"371031000006115"	"24107"	"YES"	"YES"
"Eu205-2"	"[X]Restzustand schizophrenic"	"schizophrenia"	"424931000006113"	"0"	"YES"	"YES"
"Eu206"	"[X]Simple schizophrenia"	"schizophrenia"	"426881000006111"	"35848"	"YES"	"YES"
"Eu20y"	"[X]Other schizophrenia"	"schizophrenia"	"401855010"	"49420"	"YES"	"YES"
"Eu20y-1"	"[X]Cenesthopathic schizophrenia"	"schizophrenia"	"370631000006117"	"0"	"YES"	"YES"
"Eu20y-2"	"[X]Schizophreniform disord NOS"	"schizophrenia"	"425681000006117"	"94001"	"YES"	"YES"
"Eu20y-3"	"[X]Schizophrenifrm psychos NOS"	"schizophrenia"	"425711000006116"	"18053"	"YES"	"YES"
"Eu20z"	"\"[X]Schizophrenia, unspecified\""	"schizophrenia"	"296040018"	"34966"	"YES"	"YES"
"Eu21"	"[X]Schizotypal disorder"	"other psychosis"	"401856011"	"39316"	"YES"	"YES"
"Eu21-1"	"[X]Latent schizophrenic reaction"	"other psychosis"	"395031000006114"	"91511"	"YES"	"YES"
"Eu21-2"	"[X]Borderline schizophrenia"	"other psychosis"	"367951000006113"	"54387"	"YES"	"YES"
"Eu21-3"	"[X]Latent schizophrenia"	"other psychosis"	"395021000006111"	"64993"	"YES"	"YES"
"Eu21-4"	"[X]Prepsychotic schizophrenia"	"other psychosis"	"423271000006116"	"62449"	"YES"	"YES"
"Eu21-5"	"[X]Prodromal schizophrenia"	"other psychosis"	"423471000006117"	"40386"	"YES"	"YES"
"Eu21-6"	"[X]Pseudoneurotic schizophrenia"	"other psychosis"	"423731000006114"	"49852"	"YES"	"YES"
"Eu21-7"	"[X]Pseudopsychopathic schizophrenia"	"other psychosis"	"423741000006116"	"71250"	"YES"	"YES"
"Eu21-8"	"[X]Schizotypal personality disorder"	"other psychosis"	"425731000006110"	"26859"	"YES"	"YES"
"Eu22"	"[X]Persistent delusional disorders"	"other psychosis"	"419861000006117"	"28562"	"YES"	"YES"
"Eu220"	"[X]Delusional disorder"	"other psychosis"	"215841000000114"	"34389"	"YES"	"YES"
"Eu220-1"	"[X]Paranoid psychosis"	"other psychosis"	"215851000000112"	"2113"	"YES"	"YES"
"Eu220-2"	"[X]Paranoid state"	"other psychosis"	"418231000006115"	"11172"	"YES"	"YES"
"Eu220-3"	"[X]Paraphrenia - late"	"other psychosis"	"418251000006110"	"47947"	"YES"	"YES"
"Eu220-4"	"[X]Sensitiver Beziehungswahn"	"other psychosis"	"425921000006114"	"65127"	"YES"	"YES"
"Eu220-5"	"[X]Paranoia"	"other psychosis"	"215871000000115"	"4843"	"YES"	"YES"
"Eu221"	"[X]Delusional misidentification syndrome"	"other psychosis"	"914471000006113"	"62405"	"YES"	"YES"
"Eu221-1"	"[X]Capgras syndrome"	"other psychosis"	"914461000006118"	"55221"	"YES"	"YES"
"Eu223"	"[X]Paranoid state in remission"	"other psychosis"	"1667581000000114"	"101720"	"YES"	"YES"
"Eu22y"	"[X]Other persistent delusional disorders"	"other psychosis"	"401857019"	"66077"	"YES"	"YES"
"Eu22y-1"	"[X]Delusional dysmorphophobia"	"other psychosis"	"376501000006110"	"40981"	"YES"	"YES"
"Eu22y-2"	"[X]Involutional paranoid state"	"other psychosis"	"394461000006110"	"50248"	"YES"	"YES"
"Eu22y-3"	"[X]Paranoia querulans"	"other psychosis"	"418181000006110"	"55236"	"YES"	"YES"
"Eu22z"	"\"[X]Persistent delusional disorder, unspecified\""	"other psychosis"	"296066015"	"49223"	"YES"	"YES"
"Eu23"	"[X]Acute and transient psychotic disorders"	"other psychosis"	"362271000006110"	"25019"	"YES"	"YES"
"Eu230"	"[X]Acute polymorphic psychot disord without symp of schizoph"	"other psychosis"	"362391000006117"	"36720"	"YES"	"YES"
"Eu230-1"	"[X]Bouffee delirante"	"other psychosis"	"367961000006110"	"50023"	"YES"	"YES"
"Eu230-2"	"[X]Cycloid psychosis"	"other psychosis"	"376271000006119"	"21455"	"YES"	"YES"
"Eu231"	"[X]Acute polymorphic psychot disord with symp of schizophren"	"other psychosis"	"362381000006115"	"21595"	"YES"	"YES"
"Eu231-1"	"[X]Bouffee delirante with symptoms of schizophrenia"	"other psychosis"	"367971000006115"	"115050"	"YES"	"YES"
"Eu231-2"	"[X]Cycloid psychosis with symptoms of schizophrenia"	"other psychosis"	"376281000006116"	"26143"	"YES"	"YES"
"Eu232"	"[X]Acute schizophrenia-like psychotic disorder"	"other psychosis"	"362421000006113"	"11778"	"YES"	"YES"
"Eu232-1"	"[X]Brief schizophreniform disorder"	"other psychosis"	"368001000006112"	"59096"	"YES"	"YES"
"Eu232-2"	"[X]Brief schizophrenifrm psych"	"other psychosis"	"368011000006110"	"70884"	"YES"	"YES"
"Eu232-3"	"[X]Oneirophrenia"	"other psychosis"	"403611000006116"	"0"	"YES"	"YES"
"Eu232-4"	"[X]Schizophrenic reaction"	"other psychosis"	"425671000006115"	"94604"	"YES"	"YES"
"Eu233"	"[X]Other acute predominantly delusional psychotic disorders"	"other psychosis"	"401859016"	"44307"	"YES"	"YES"
"Eu233-2"	"[X]Psychogenic paranoid psychosis"	"other psychosis"	"424071000006112"	"27770"	"YES"	"YES"
"Eu23y"	"[X]Other acute and transient psychotic disorders"	"other psychosis"	"296083012"	"44503"	"YES"	"YES"
"Eu23z"	"\"[X]Acute and transient psychotic disorder, unspecified\""	"other psychosis"	"401860014"	"34168"	"YES"	"YES"
"Eu23z-1"	"\"[X]Acute and transient psychotic disorder, unspecified\""	"other psychosis"	"367991000006119"	"31707"	"YES"	"YES"
"Eu23z-2"	"[X]Reactive psychosis"	"other psychosis"	"424511000006112"	"29651"	"YES"	"YES"
"Eu24"	"[X]Induced delusional disorder"	"other psychosis"	"389641000006110"	"51302"	"YES"	"YES"
"Eu24-1"	"[X]Folie a deux"	"other psychosis"	"387071000006117"	"105606"	"YES"	"YES"
"Eu24-2"	"[X]Induced paranoid disorder"	"other psychosis"	"389651000006112"	"47230"	"YES"	"YES"
"Eu24-3"	"[X]Induced psychotic disorder"	"other psychosis"	"389661000006114"	"11973"	"YES"	"YES"
"Eu25"	"[X]Schizoaffective disorders"	"other psychosis"	"425541000006110"	"9422"	"YES"	"YES"
"Eu250"	"\"[X]Schizoaffective disorder, manic type\""	"other psychosis"	"425511000006111"	"33847"	"YES"	"YES"
"Eu250-1"	"\"[X]Schizoaffective psychosis, manic type\""	"other psychosis"	"425571000006119"	"16905"	"YES"	"YES"
"Eu250-2"	"\"[X]Schizophreniform psychosis, manic type\""	"other psychosis"	"425701000006119"	"51903"	"YES"	"YES"
"Eu251"	"\"[X]Schizoaffective disorder, depressive type\""	"other psychosis"	"425501000006113"	"11055"	"YES"	"YES"
"Eu251-1"	"\"[X]Schizoaffective psychosis, depressive type\""	"other psychosis"	"425561000006114"	"35274"	"YES"	"YES"
"Eu251-2"	"\"[X]Schizophreniform psychosis, depressive type\""	"other psychosis"	"425691000006119"	"41022"	"YES"	"YES"
"Eu252"	"\"[X]Schizoaffective disorder, mixed type\""	"other psychosis"	"425521000006115"	"33693"	"YES"	"YES"
"Eu252-1"	"[X]Cyclic schizophrenia"	"other psychosis"	"376251000006112"	"104763"	"YES"	"YES"
"Eu252-2"	"[X]Mixed schizophrenic and affective psychosis"	"other psychosis"	"398631000006113"	"37580"	"YES"	"YES"
"Eu25y"	"[X]Other schizoaffective disorders"	"other psychosis"	"296095012"	"58532"	"YES"	"YES"
"Eu25z"	"\"[X]Schizoaffective disorder, unspecified\""	"other psychosis"	"296096013"	"37681"	"YES"	"YES"
"Eu25z-1"	"[X]Schizoaffective psychosis NOS"	"other psychosis"	"425551000006112"	"33410"	"YES"	"YES"
"Eu26"	"[X]Nonorganic psychosis in remission"	"other psychosis"	"1667591000000111"	"101987"	"YES"	"YES"
"Eu2y"	"[X]Other nonorganic psychotic disorders"	"other psychosis"	"412201000006113"	"30985"	"YES"	"YES"
"Eu2y-1"	"[X]Chronic hallucinatory psychosis"	"other psychosis"	"370981000006112"	"31738"	"YES"	"YES"
"Eu2z"	"[X]Unspecified nonorganic psychosis"	"other psychosis"	"401862018"	"11244"	"YES"	"YES"
