"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"DPP4i"
"8959841000033119"	"Alogliptin 12.5mg / Metformin 1g tablets"	"Tablet/ Oral Tablet"	"Oral"	"Alogliptin"	"12.500mg + 1.000gram"	"06010203"	"Alogliptin"
"8959941000033110"	"Vipdomet 12.5mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Alogliptin"	"12.500mg + 1.000gram"	NA	"Alogliptin"
"11898041000033111"	"Saxagliptin 5mg / Dapagliflozin 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Saxagliptin"	"10.000mg + 5.000mg"	"06010203"	"Saxagliptin"
"11898141000033110"	"Qtern 5mg/10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Saxagliptin"	"10.000mg + 5.000mg"	NA	"Saxagliptin"
"13116741000033112"	"Empagliflozin 10mg / Linagliptin 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Linagliptin"	"10.000mg + 5.000mg"	"06010203"	"Linagliptin"
"13116841000033119"	"Empagliflozin 25mg / Linagliptin 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Linagliptin"	"25.000mg + 5.000mg"	"06010203"	"Linagliptin"
"13116941000033110"	"Glyxambi 10mg/5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Linagliptin"	"10.000mg + 5.000mg"	NA	"Linagliptin"
"13117041000033111"	"Glyxambi 25mg/5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Linagliptin"	"25.000mg + 5.000mg"	NA	"Linagliptin"
"14121441000033118"	"Sitagliptin 100mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Sitagliptin"	"20.000mg/1.000ml"	"06010203"	"Sitagliptin"
"14219541000033113"	"Sitagliptin 125mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Sitagliptin"	"25.000mg/1.000ml"	"06010203"	"Sitagliptin"
