"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Psychotropic"	"group"
"249041000033117"	"Chlorpromazine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"10.000mg"	"04020100"	"Chlorpromazine"	"Antipsychotics"
"249141000033118"	"Chlorpromazine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"100.000mg"	"04020100"	"Chlorpromazine"	"Antipsychotics"
"249241000033113"	"Chlorpromazine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"25.000mg"	"04020100"	"Chlorpromazine"	"Antipsychotics"
"249341000033115"	"Chlorpromazine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpromazine"	"50.000mg"	"04020100"	"Chlorpromazine"	"Antipsychotics"
"259141000033116"	"Cipramil 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Citalopram"	"20.000mg"	NA	"Citalopram"	"Antidepressants"
"259241000033111"	"Citalopram 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Citalopram"	"20.000mg"	"04030300"	"Citalopram"	"Antidepressants"
"262041000033115"	"Clomipramine 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"10.000mg"	"04030100"	"Clomipramine"	"Antidepressants"
"262141000033116"	"Clomipramine 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"25.000mg"	"04030100"	"Clomipramine"	"Antidepressants"
"262241000033111"	"Clomipramine 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Clomipramine"	"50.000mg"	"04030100"	"Clomipramine"	"Antidepressants"
"273641000033114"	"Clopixol Acuphase 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"50.000mg/1.000ml"	NA	"Zuclopenthixol"	"Antipsychotics"
"274841000033112"	"Clopixol Acuphase 100mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"50.000mg/1.000ml"	NA	"Zuclopenthixol"	"Antipsychotics"
"275441000033113"	"Clomipramine Hydrochloride  Injection  12.5mg/ml"	"Solution for injection"	"Intramuscular"	"Clomipramine"	NA	NA	"Clomipramine"	"Antidepressants"
"276041000033113"	"Clopixol 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"200.000mg/1.000ml"	NA	"Zuclopenthixol"	"Antipsychotics"
"276141000033112"	"Clopixol Conc 500mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"500.000mg/1.000ml"	NA	"Zuclopenthixol"	"Antipsychotics"
"284741000033110"	"Clomipramine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Clomipramine"	"5.000mg/1.000ml"	"04030100"	"Clomipramine"	"Antidepressants"
"284941000033113"	"Clozaril 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"25.000mg"	NA	"Clozapine"	"Antipsychotics"
"285041000033113"	"Clozaril 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"100.000mg"	NA	"Clozapine"	"Antipsychotics"
"285741000033111"	"Clomipramine 75mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Clomipramine"	"75.000mg"	"04030100"	"Clomipramine"	"Antidepressants"
"286941000033115"	"Clopixol 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"10.000mg"	NA	"Zuclopenthixol"	"Antipsychotics"
"287041000033119"	"Clopixol 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"2.000mg"	NA	"Zuclopenthixol"	"Antipsychotics"
"287141000033115"	"Clopixol 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"25.000mg"	NA	"Zuclopenthixol"	"Antipsychotics"
"287541000033112"	"Clozapine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"100.000mg"	"04020100"	"Clozapine"	"Antipsychotics"
"287641000033113"	"Clozapine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clozapine"	"25.000mg"	"04020100"	"Clozapine"	"Antipsychotics"
"325841000033119"	"Convulex 150mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"150.000mg"	NA	"Valproic"	"Mood Stabilisers"
"325941000033110"	"Convulex 300mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"300.000mg"	NA	"Valproic"	"Mood Stabilisers"
"326041000033117"	"Convulex 500mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"500.000mg"	NA	"Valproic"	"Mood Stabilisers"
"419941000033113"	"Depixol Low Volume 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"200.000mg/1.000ml"	NA	"Flupentixol"	"Antipsychotics"
"420041000033111"	"Depixol  Injection  200 mg/10 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"	"Antipsychotics"
"420141000033110"	"Depixol 40mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20.000mg/1.000ml"	NA	"Flupentixol"	"Antipsychotics"
"420241000033115"	"Depixol  Injection (syringe)  20 mg/1 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"	"Antipsychotics"
"420341000033113"	"Depixol  Injection (syringe)  40 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"	"Antipsychotics"
"420441000033119"	"Depixol Conc 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100.000mg/1.000ml"	NA	"Flupentixol"	"Antipsychotics"
"420541000033118"	"Depixol Conc.  Injection  500 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"	"Antipsychotics"
"422941000033113"	"Depixol 20mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20.000mg/1.000ml"	NA	"Flupentixol"	"Antipsychotics"
"423041000033115"	"Depixol Conc 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100.000mg/1.000ml"	NA	"Flupentixol"	"Antipsychotics"
"431741000033118"	"Depixol 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"3.000mg"	NA	"Flupentixol"	"Antipsychotics"
"472141000033110"	"Dothapax 25 capsules"	"Capsule/ Oral capsule"	"Oral"	"Dosulepin"	"25.000mg"	NA	"Dosulepin"	"Antidepressants"
"473041000033119"	"Doxepin 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"10.000mg"	"04030100"	"Doxepin"	"Antidepressants"
"473141000033115"	"Doxepin 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"25.000mg"	"04030100"	"Doxepin"	"Antidepressants"
"473241000033110"	"Doxepin 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"50.000mg"	"04030100"	"Doxepin"	"Antidepressants"
"473341000033117"	"Doxepin 75mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Doxepin"	"75.000mg"	"04030100"	"Doxepin"	"Antidepressants"
"476541000033119"	"Dozic 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Haloperidol"	"1.000mg/1.000ml"	NA	"Haloperidol"	"Antipsychotics"
"476641000033118"	"Dozic  Liquid  2mg/ml"	NA	NA	"Haloperidol"	NA	NA	"Haloperidol"	"Antipsychotics"
"479641000033111"	"Dothapax 75 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Dosulepin"	"75.000mg"	NA	"Dosulepin"	"Antidepressants"
"479841000033112"	"Dolmatil 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sulpiride"	"400.000mg"	NA	"Sulpiride"	"Antipsychotics"
"480941000033116"	"Dolmatil 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sulpiride"	"200.000mg"	NA	"Sulpiride"	"Antipsychotics"
"483141000033112"	"Droperidol  Injection  5mg/ml"	"Solution for injection"	"Intramuscular"	"Droperidol"	NA	NA	"Droperidol"	"Antipsychotics"
"483341000033110"	"Droleptan  Injection  5mg/ml"	"Solution for injection"	"Intramuscular"	"Droperidol"	NA	NA	"Droperidol"	"Antipsychotics"
"483541000033115"	"Droperidol  Liquid  1mg/ml"	NA	NA	"Droperidol"	NA	NA	"Droperidol"	"Antipsychotics"
"483641000033119"	"Droleptan  Liquid  1mg/ml"	NA	NA	"Droperidol"	NA	NA	"Droperidol"	"Antipsychotics"
"484641000033117"	"Droleptan  Tablets  10 mg"	"Tablet"	"Oral"	"Droperidol"	NA	NA	"Droperidol"	"Antipsychotics"
"485041000033112"	"Droperidol  Tablets  10 mg"	"Tablet"	"Oral"	"Droperidol"	NA	NA	"Droperidol"	"Antipsychotics"
"489741000033113"	"Dutonin 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nefazodone"	"100.000mg"	NA	"Nefazodone"	"Antidepressants"
"489841000033115"	"Dutonin 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nefazodone"	"200.000mg"	NA	"Nefazodone"	"Antidepressants"
"496741000033118"	"Edronax 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Reboxetine"	"4.000mg"	NA	"Reboxetine"	"Antidepressants"
"498441000033112"	"Efexor XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"	"Antidepressants"
"498541000033113"	"Efexor XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"	"Antidepressants"
"498941000033119"	"Efalith ointment"	"Ointment/ Cutaneous ointment"	"Cutaneous"	"Lithium"	"80.000mg/1.000gram + 500.000microgram/1.000gram"	NA	"Lithium"	"Mood Stabilisers"
"499041000033111"	"Efexor 37.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"37.500mg"	NA	"Venlafaxine"	"Antidepressants"
"499141000033110"	"Efexor 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"	"Antidepressants"
"499241000033115"	"Efexor 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"50.000mg"	NA	"Venlafaxine"	"Antidepressants"
"529541000033117"	"Epilim Intravenous 400mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous"	"Valproate"	"400.000mg"	NA	"Valproate"	"Mood Stabilisers"
"529641000033116"	"Epilim 200mg/5ml liquid"	"Oral solution"	"Oral"	"Valproate"	"40.000mg/1.000ml"	NA	"Valproate"	"Mood Stabilisers"
"529841000033115"	"Epilim Chrono 200 tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"200.000mg"	NA	"Valproate"	"Mood Stabilisers"
"529941000033111"	"Epilim Chrono 300 tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"300.000mg"	NA	"Valproate"	"Mood Stabilisers"
"530041000033115"	"Epilim Chrono 500 tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"500.000mg"	NA	"Valproate"	"Mood Stabilisers"
"532141000033115"	"Epilim 200mg/5ml syrup"	"Oral solution"	"Oral"	"Valproate"	"40.000mg/1.000ml"	NA	"Valproate"	"Mood Stabilisers"
"532541000033112"	"Epilim 100mg crushable tablets"	"Tablet/ Oral Tablet"	"Oral"	"Valproate"	"100.000mg"	NA	"Valproate"	"Mood Stabilisers"
"532641000033113"	"Epilim 200 gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"200.000mg"	NA	"Valproate"	"Mood Stabilisers"
"532741000033116"	"Epilim 500 gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500.000mg"	NA	"Valproate"	"Mood Stabilisers"
"561941000033115"	"Faverin 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"100.000mg"	NA	"Fluvoxamine"	"Antidepressants"
"563341000033115"	"Faverin 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"50.000mg"	NA	"Fluvoxamine"	"Antidepressants"
"567141000033111"	"Fentazin  Injection  5 mg/ml"	"Solution for injection"	"Intramuscular"	"Perphenazine"	NA	NA	"Perphenazine"	"Antipsychotics"
"570941000033117"	"Fentazin 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perphenazine"	"2.000mg"	NA	"Perphenazine"	"Antipsychotics"
"571041000033110"	"Fentazin 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perphenazine"	"4.000mg"	NA	"Perphenazine"	"Antipsychotics"
"571141000033114"	"Fentazin  Tablets  8 mg"	"Tablet"	"Oral"	"Perphenazine"	NA	NA	"Perphenazine"	"Antipsychotics"
"577841000033114"	"Fluoxetine 20mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"20.000mg"	"04030300"	"Fluoxetine"	"Antidepressants"
"579041000033111"	"Fluoxetine 60mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"60.000mg"	"04030300"	"Fluoxetine"	"Antidepressants"
"582041000033112"	"Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"	"Antipsychotics"
"582141000033111"	"Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"	"Antipsychotics"
"584641000033111"	"Fluphenazine decanoate 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"	"Antipsychotics"
"584741000033119"	"Fluphenazine Enanthate  Injection  25 mg/ml"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	NA	NA	"Fluphenazine"	"Antipsychotics"
"584841000033112"	"Fluspirilene  Injection  2 mg/ ml"	"Solution for injection"	"Intramuscular"	"Fluspirilene"	NA	NA	"Fluspirilene"	"Antipsychotics"
"585041000033116"	"Flupenthixol Decanoate  Injection  200 mg/10 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"	"Antipsychotics"
"585241000033112"	"Flupenthixol Decanoate  Injection (syringe)  20 ml/1 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"	"Antipsychotics"
"585341000033119"	"Flupenthixol Decanoate  Injection (syringe)  40 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"	"Antipsychotics"
"585541000033114"	"Flupenthixol Decanoate  Injection  500 mg/5 ml"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"	"Antipsychotics"
"586641000033119"	"Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"	"Antipsychotics"
"586741000033111"	"Fluphenazine decanoate 250mg/10ml solution for injection vials"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"	"Antipsychotics"
"586841000033118"	"Fluphenazine decanoate 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"25.000mg/1.000ml"	"04020200"	"Fluphenazine"	"Antipsychotics"
"586941000033114"	"Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	"04020200"	"Fluphenazine"	"Antipsychotics"
"587641000033116"	"Flupenthixol Decanoate  Injection  100 mg/1 ml ampoule"	"Solution for injection"	"Intramuscular"	"Flupentixol"	NA	NA	"Flupentixol"	"Antipsychotics"
"587741000033113"	"Fluphenazine decanoate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Fluphenazine"	"100.000mg/1.000ml"	"04020200"	"Fluphenazine"	"Antipsychotics"
"592541000033118"	"Fluoxetine Hydrochloride  Liquid  20 mg/5 ml"	NA	NA	"Fluoxetine"	NA	NA	"Fluoxetine"	"Antidepressants"
"592841000033116"	"Fluvoxamine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"100.000mg"	"04030300"	"Fluvoxamine"	"Antidepressants"
"593441000033111"	"Fluanxol 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"1.000mg"	NA	"Flupentixol"	"Antipsychotics"
"593541000033112"	"Fluanxol 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"500.000microgram"	NA	"Flupentixol"	"Antipsychotics"
"595441000033112"	"Fluphenazine 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"1.000mg"	"04020100"	"Fluphenazine"	"Antipsychotics"
"595541000033113"	"Fluvoxamine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluvoxamine"	"50.000mg"	"04030300"	"Fluvoxamine"	"Antidepressants"
"595641000033114"	"Fluphenazine 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"2.500mg"	"04020100"	"Fluphenazine"	"Antipsychotics"
"595741000033117"	"Fluphenazine 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluphenazine"	"5.000mg"	"04020100"	"Fluphenazine"	"Antipsychotics"
"626241000033115"	"Gamanil 70mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Lofepramine"	"70.000mg"	NA	"Lofepramine"	"Antidepressants"
"658341000033110"	"Haloperidol 500microgram capsules"	"Capsule/ Oral capsule"	"Oral"	"Haloperidol"	"500.000microgram"	"04020100"	"Haloperidol"	"Antipsychotics"
